N	4gram	Bakhtin_Fr	Problema
1	не что иное как	1	14
2	есть не что иное	1	11
3	в той или иной	1	10
4	дело в том что	2	10
5	не имеет ничего общего	1	9
6	на самом же деле	1	8
7	заключается в том что	1	6
8	той или иной мере	1	6
9	взятый сам по себе	1	5
10	имеет ничего общего с	1	5
11	одним и тем же	1	4
12	в том числе и	2	4
13	в том или ином	2	4
14	одного и того же	1	3
15	с одной стороны и	1	3
16	но в то же	3	3
17	как мы уже сказали	1	2
18	о том что он	1	2
19	является одним из самых	1	2
20	мы имеем в виду	2	2
21	по себе и в	1	2
22	в связи с этой	1	2
23	все дело в том	1	2
24	как и во всяком	1	2
25	что в конце концов	1	2
26	и до сих пор	1	1
27	и прежде всего с	1	1
28	в том и в	1	1
29	до нас не дошло	2	1
30	том и в другом	1	1
31	так что в конце	1	1
32	человека а следовательно и	1	1
33	и с другой стороны	1	1
34	потому что он есть	1	1
35	таким образом и в	1	1
36	и до наших дней	2	1
37	в то же время	12	1
38	мы находим и в	1	1
39	бы оно ни было	2	1
40	в том что они	1	1
41	перехода от старого к	1	1
42	то же время это	1	1
43	у нас и нет	1	1
44	от старого к новому	1	1
45	это и есть то	1	1
46	как бы оно ни	1	1
47	в литературе и в	2	1
48	не обходится и без	1	1
49	по отношению к людям	1	1
50	и в литературе и	1	1
51	все эти образы и	1	1
52	дело не обходится и	1	1
53	в этом отношении не	1	1
54	есть прежде всего ее	1	1
55	в средневековой литературе мы	1	1
56	нас в конце концов	1	1
57	одной стороны и с	1	1
58	о том что в	1	1
59	при виде того как	1	1
60	с точки зрения их	1	1
61	и в том и	1	1
62	за то что тот	1	1
63	и в другом случае	1	1
64	никакого отношения к самому	1	1
65	можно прямо сказать что	1	1
66	как нечто само собой	1	1
67	сам по себе и	1	1
68	нечто само собой разумеющееся	1	1
69	в конце концов и	1	1
70	не подлежит никакому сомнению	1	1
71	и в средние века	1	1
72	и то обстоятельство что	1	1
73	здесь как и в	1	1
74	и в этом отношении	1	1
75	о том что море	1	1
