N	3gram	Vinokur_Vv	Komedia
1	в том что	15	29
2	в то же	6	16
3	то же время	6	16
4	до сих пор	7	16
5	в самом деле	6	13
6	о том что	13	13
7	и т п	5	11
8	для того чтобы	22	11
9	в свою очередь	2	10
10	по отношению к	4	9
11	вместе с тем	3	9
12	с одной стороны	4	9
13	с другой стороны	5	8
14	и в самом	3	8
15	так или иначе	4	7
16	бы то ни	1	7
17	в конце концов	2	7
18	дошедших до нас	1	7
19	то ни было	1	7
20	с самого начала	1	7
21	во всяком случае	5	7
22	в отличие от	4	6
23	говоря уже о	1	6
24	в том числе	1	6
25	в связи с	2	6
26	с точки зрения	4	6
27	до тех пор	1	6
28	не говоря уже	2	6
29	после того как	2	6
30	к этому времени	2	5
31	то же самое	3	5
32	и т д	39	5
33	в этом отношении	4	5
34	тем не менее	9	5
35	том что он	1	5
36	именно потому что	1	4
37	в обоих случаях	1	4
38	т е в	4	4
39	к тому что	1	4
40	но все же	4	4
41	по сравнению с	4	4
42	в достаточной степени	1	4
43	в первой половине	1	4
44	можно было бы	4	4
45	во второй половине	2	4
46	до н э	6	4
47	в том же	1	3
48	более или менее	1	3
49	в соответствии с	2	3
50	с этой целью	1	3
51	но и в	1	3
52	в чем же	3	3
53	состоит в том	2	3
54	наряду с этим	1	3
55	по меньшей мере	2	3
56	сомневаться в том	1	3
57	то обстоятельство что	1	3
58	с полным основанием	1	2
59	мере в какой	6	2
60	одной стороны и	3	2
61	как будто бы	2	2
62	не иначе как	1	2
63	в каждом из	1	2
64	в этом смысле	10	2
65	у меня в	1	2
66	того же автора	1	2
67	с этой точки	2	2
68	как видно из	1	2
69	о чем они	1	2
70	потому что в	1	2
71	в частности в	1	2
72	как мы помним	1	2
73	у него в	1	2
74	о том насколько	1	2
75	в первом случае	2	2
76	в зависимости от	3	2
77	точно так же	2	2
78	том что в	1	2
79	в нем не	1	2
80	каждой из них	2	2
81	к одной из	1	2
82	сплошь да рядом	1	2
83	и в том	4	2
84	как мы знаем	1	2
85	как это было	1	2
86	и в дальнейшем	1	2
87	этой точки зрения	2	2
88	только в том	2	2
89	в до н	2	2
90	не последнее место	1	2
91	подобно тому как	2	2
92	так же как	1	2
93	имеем в виду	1	2
94	только потому что	1	2
95	не только в	4	2
96	мы имеем в	1	2
97	в этом случае	6	2
98	как мы видели	3	2
99	представление о том	1	2
100	в разной степени	1	2
101	обычно мы имеем	1	1
102	в действительности дело	1	1
103	и как раз	1	1
104	тех пор пока	1	1
105	в и в	1	1
106	а в другом	1	1
107	не может служить	2	1
108	соответствии с этим	1	1
109	с этим и	1	1
110	вв до н	1	1
111	но вместе с	2	1
112	в применении к	6	1
113	никак не может	1	1
114	в той мере	6	1
115	не может быть	10	1
116	концу iv в	1	1
117	одной из этих	1	1
118	из дошедших до	1	1
119	себе отчет в	1	1
120	в их истории	1	1
121	в принципе для	1	1
122	имеется в виду	1	1
123	можно сказать что	3	1
124	во всех его	1	1
125	имеем дело с	1	1
126	легко представить себе	1	1
127	в собственном смысле	3	1
128	до наших дней	2	1
129	в руках у	1	1
130	его отношение к	1	1
131	таким образом для	1	1
132	для нашего времени	1	1
133	одного из наиболее	1	1
134	меньшей мере две	1	1
135	потому что она	1	1
136	не может представить	1	1
137	в качестве примера	1	1
138	того или иного	1	1
139	как мы уже	2	1
140	последнее место в	1	1
141	одного и того	2	1
