N	4gram	Tiupa_Hudo	formyVre
1	в то же время	11	18
2	и в то же	2	8
3	с одной стороны и	1	5
4	в том числе и	1	5
5	в связи с этим	2	4
6	одних и тех же	2	4
7	об амуре и психее	1	3
8	до сих пор еще	1	3
9	ни в чем не	1	3
10	но в то же	3	3
11	так же как и	1	3
12	и в этом случае	1	2
13	к себе самому и	1	2
14	все более и более	1	2
15	дело в том что	1	2
16	и т п все	1	2
17	одна и та же	1	2
18	в узком смысле слова	1	2
19	как это обычно у	1	1
20	с этой точки зрения	1	1
21	в том что в	1	1
22	на внешнее и внутреннее	1	1
23	никакого следа в жизни	1	1
24	самому и к другому	1	1
25	с самим собою в	1	1
26	в это же самое	1	1
27	мы уже говорили о	1	1
28	к жизни и смерти	3	1
29	только в том что	3	1
30	не только в том	2	1
31	том что он не	1	1
32	это же самое время	1	1
33	сводится к тому что	1	1
34	в том что он	1	1
35	как раз в том	1	1
36	дело не только в	2	1
37	то же время не	1	1
38	не только в литературе	1	1
39	во времени и пространстве	1	1
40	и т д он	1	1
41	же как и все	1	1
42	например в античной трагедии	1	1
43	не оставляет места для	1	1
44	дело разумеется не в	1	1
45	и в этом отношении	1	1
46	себе самому и к	1	1
