N	3gram	Trubetskoy	FransuaR
1	то же время	2	55
2	в то же	2	55
3	мы уже говорили	1	43
4	в том что	3	27
5	в том числе	5	27
6	до сих пор	5	27
7	с точки зрения	6	20
8	но в то	1	20
9	в этом отношении	2	20
10	для того чтобы	5	17
11	том числе и	4	17
12	о том что	4	17
13	в xvii веке	1	17
14	в связи с	3	16
15	сих пор еще	2	15
16	не может быть	1	13
17	с одной стороны	7	13
18	и в то	1	12
19	с другой стороны	1	12
20	в отличие от	1	11
21	можно сказать что	2	11
22	той или иной	2	10
23	в данном случае	1	10
24	в конце концов	3	10
25	мы видим что	1	9
26	по отношению к	1	9
27	так и в	1	9
28	до известной степени	1	9
29	в эту эпоху	1	9
30	таким образом в	2	8
31	более или менее	5	8
32	мы видели что	1	8
33	после того как	1	8
34	в самом деле	1	7
35	в то время	1	7
36	о том как	1	7
37	в настоящее время	1	7
38	в значительной мере	2	7
39	то есть о	1	6
40	к тому же	4	6
41	но все же	4	6
42	имеем в виду	1	6
43	в свою очередь	1	6
44	с самого начала	2	6
45	некоторые из них	2	5
46	до настоящего времени	1	5
47	друг с другом	5	5
48	то же самое	2	5
49	и в этой	1	5
50	по сравнению с	2	5
51	но все это	2	5
52	мы имеем в	1	5
53	во всяком случае	6	5
54	и тот же	1	5
55	в первом случае	1	5
56	только то что	1	5
57	как бы в	1	5
58	это и есть	1	5
59	сказать что в	1	4
60	в одном из	1	4
61	не только для	2	4
62	так же как	3	4
63	что и в	1	4
64	и связанные с	2	4
65	может быть и	2	4
66	по своему характеру	1	4
67	а следовательно и	1	4
68	один и тот	1	4
69	он как бы	1	3
70	в этом процессе	1	3
71	у него в	1	3
72	потому что в	1	3
73	смысле этого слова	1	3
74	не только не	1	3
75	и того же	1	3
76	уже говорили о	1	3
77	вместе с тем	8	3
78	с представлением о	1	3
79	рождение и смерть	1	3
80	ни с одним	1	3
81	что касается до	1	3
82	и не могут	1	3
83	но и для	2	3
84	одного и того	1	3
85	именно потому что	1	3
86	те и другие	2	3
87	а с другой	5	3
88	бы то ни	2	3
89	и в этом	2	3
90	с одним из	2	3
91	но в общем	1	3
92	свидетельствует о том	1	3
93	и те и	2	3
94	может быть в	1	2
95	в одном и	1	2
96	в том или	1	2
97	оказывается что все	1	2
98	не представляется возможным	1	2
99	что и у	1	2
100	и превращается в	1	2
101	совершенно так же	1	2
102	в этой роли	1	2
103	верхом и низом	3	2
104	и некоторые другие	1	2
105	но при этом	1	2
106	не потому что	1	2
107	и вместе с	4	2
108	между этими двумя	2	2
109	и в общем	1	2
110	во всех других	1	2
111	то ни было	2	2
112	пор еще недостаточно	1	2
113	в их чистом	1	2
114	то что он	2	2
115	и только в	1	2
116	это связано с	1	2
117	в следующий период	1	2
118	в нашем смысле	1	2
119	несмотря на его	1	2
120	никогда не могут	1	2
121	главным образом в	3	2
122	притом не только	1	2
123	том или ином	1	2
124	же что и	1	2
125	сих пор не	1	2
126	так и от	2	2
127	отправной точкой для	1	2
128	связан и с	1	2
129	и есть то	1	2
130	все более и	1	2
131	но по существу	1	2
132	говорили о том	2	2
133	только тогда когда	1	2
134	по тому же	1	2
135	между человеком и	1	2
136	же время он	1	2
137	связанные с ним	1	2
138	в так называемой	1	2
139	ничего общего с	2	2
140	более и более	1	2
141	и в настоящее	1	2
142	что в том	1	2
143	и в сущности	1	2
144	друг к другу	1	2
145	все это мы	1	1
146	на все и	1	1
147	в соответствии с	1	1
148	можно только в	1	1
149	как в прямом	1	1
150	связан и другой	1	1
151	было конечно очень	1	1
152	представление о мире	1	1
153	из этих трех	1	1
154	таким образом уже	1	1
155	и что она	1	1
156	души от тела	1	1
157	мире как о	1	1
158	находит свое завершение	1	1
159	не совпадает с	1	1
160	в общем можно	1	1
161	точки соприкосновения с	1	1
162	границы между отдельными	1	1
163	которые мыслились как	1	1
164	совершенно ясно что	1	1
165	с тем и	2	1
166	и таким образом	3	1
167	в разные стороны	1	1
168	что в этой	1	1
169	но вместе с	2	1
170	с этого момента	1	1
171	совершенно иной характер	1	1
172	на этот раз	1	1
173	что даже в	1	1
174	таким образом он	1	1
175	характерны для эпохи	1	1
176	и здесь не	1	1
177	может и не	1	1
178	и даже некоторые	1	1
179	все те же	1	1
180	особенно важное значение	1	1
181	даже там где	1	1
182	чуть ли не	1	1
183	и том же	1	1
184	что связано с	1	1
185	а между тем	1	1
186	в этом целом	1	1
187	еще только в	2	1
188	в области отношения	1	1
189	одном из своих	1	1
190	продолжают жить в	1	1
191	и что он	1	1
192	одной из этих	1	1
193	одном и том	1	1
194	несколько иной характер	1	1
195	друг за друга	3	1
196	то или иное	2	1
197	атмосферу в которой	1	1
198	человека и в	1	1
199	которой не было	1	1
200	с тем чтобы	4	1
201	в первую очередь	1	1
202	тем или иным	1	1
203	том что они	1	1
204	с тем что	1	1
205	а так как	3	1
206	его с другими	1	1
207	здесь говорить не	1	1
208	в этом последнем	1	1
209	что в этом	1	1
210	греков и римлян	1	1
211	и по своим	1	1
212	а в области	1	1
213	отношение к религии	1	1
214	есть как бы	2	1
215	важно то что	1	1
216	начиная с конца	1	1
217	на германской почве	1	1
218	том что все	1	1
219	после его смерти	2	1
220	обстоит дело с	1	1
221	в котором он	1	1
222	тем не менее	3	1
223	сказать и о	1	1
224	оценке с точки	1	1
225	не в том	1	1
226	на нее не	1	1
227	лишь в этом	1	1
228	области отношения к	1	1
229	все священное писание	1	1
230	сами по себе	1	1
231	связанных с именем	1	1
232	том как бы	1	1
233	что все эти	1	1
234	он сам уже	1	1
235	но для этого	1	1
236	конечно очень много	1	1
237	в лесах и	1	1
238	а потому что	1	1
239	во всей своей	1	1
240	в которых он	1	1
241	из них не	1	1
242	которые по своему	1	1
243	состоит в том	1	1
244	физическая сила и	1	1
245	с тех пор	2	1
246	лицом к лицу	1	1
247	с богами и	1	1
248	и во время	1	1
249	в широком смысле	1	1
250	о мире как	1	1
251	одной стороны с	1	1
252	жизни то есть	1	1
253	всего существующего в	1	1
254	а отчасти и	1	1
255	в общем все	1	1
256	к нему в	1	1
257	тем что в	1	1
258	на то что	2	1
259	не только от	1	1
260	что один и	1	1
261	дело не исчерпывается	1	1
262	по своему значению	1	1
263	на этот путь	2	1
264	то что эти	1	1
265	в одну из	1	1
266	перестает быть тем	1	1
267	а не как	1	1
268	два с половиной	1	1
269	не имеет никакого	1	1
270	то что вполне	1	1
271	настоящее время он	1	1
272	всяком случае в	1	1
273	говорить не приходится	1	1
274	он участвовал в	1	1
275	с половиной века	1	1
276	речь идет о	1	1
277	и будущее он	1	1
278	всяком случае не	3	1
279	и т.д в	1	1
280	не к одному	1	1
281	связи и с	1	1
282	в этой области	1	1
283	не только как	1	1
284	один из этих	1	1
