N	4gram	Bakhtin_sl	EvropaiE
1	в то же время	15	14
2	и в то же	6	8
3	с одной стороны и	2	6
4	с этой точки зрения	1	5
5	бы то ни было	1	4
6	в той или иной	12	3
7	но в то же	6	2
8	и в отношении к	1	1
9	как не может быть	1	1
10	дело в том что	1	1
11	в том числе и	1	1
12	и с точки зрения	1	1
13	в начале xx века	1	1
14	той или иной степени	12	1
15	в большей или меньшей	3	1
16	и прежде всего в	1	1
17	то же время в	1	1
18	во всех этих случаях	1	1
19	именно к тому что	1	1
20	в то время как	2	1
21	сводится именно к тому	1	1
22	большей или меньшей степени	3	1
23	рассматривать с точки зрения	1	1
24	иначе обстоит дело в	1	1
25	на то или иное	1	1
26	в отношении к действительному	1	1
