N	2gram	Losev_Dial	slovoVRo
1	и в	35	92
2	и т	31	82
3	т п	3	72
4	то есть	1	64
5	может быть	30	59
6	и его	6	59
7	в нем	25	59
8	и не	51	51
9	не только	26	44
10	не может	16	41
11	но и	17	39
12	в этом	18	36
13	а не	24	34
14	во всех	3	32
15	точки зрения	25	30
16	так и	18	30
17	могут быть	6	29
18	и др	2	29
19	в его	4	27
20	все это	14	25
21	как бы	19	24
22	слова и	1	24
23	то же	21	23
24	в сущности	2	21
25	как в	3	21
26	не в	12	21
27	вовсе не	19	21
28	в то	10	20
29	его слово	1	19
30	прежде всего	14	19
31	как мы	5	19
32	с ним	9	18
33	как и	10	18
34	язык и	1	18
35	же время	9	18
36	себя в	2	18
37	или иной	4	18
38	таким образом	5	17
39	оно не	2	17
40	и даже	23	17
41	все же	9	17
42	в основе	4	17
43	в истории	1	17
44	все эти	4	17
45	при этом	2	16
46	в них	4	16
47	к своему	1	16
48	отличие от	1	16
49	но в	8	16
50	в той	4	15
51	и с	10	15
52	человек и	2	15
53	с точки	18	15
54	той или	11	15
55	там где	1	15
56	только в	7	14
57	так сказать	1	14
58	в узком	2	14
59	в особенности	6	13
60	отношении к	3	13
61	это не	18	13
62	с другой	10	13
63	точка зрения	3	13
64	и следовательно	7	13
65	и для	2	13
66	и к	8	12
67	в отношении	5	12
68	еще не	4	12
69	во всяком	5	12
70	никогда не	18	12
71	и потому	6	12
72	или в	2	12
73	точек зрения	3	12
74	а в	8	12
75	отношение к	5	12
76	и наконец	1	12
77	один из	3	11
78	в этих	6	11
79	с ними	4	11
80	для него	2	11
81	с одной	4	11
82	всех его	1	11
83	на его	1	11
84	одной стороны	3	11
85	зрения на	1	10
86	и их	5	10
87	и все	11	10
88	уже не	3	10
89	все они	2	10
90	его слова	1	10
91	т д	28	10
92	в своем	7	10
93	может не	1	10
94	в том	20	10
95	с другими	2	10
96	она не	10	10
97	в себе	23	10
98	далеко не	2	10
99	в него	2	10
100	всех этих	4	10
101	поэтому и	3	9
102	более или	5	9
103	в своей	9	9
104	конечно не	9	9
105	сказать что	19	9
106	на почве	2	9
107	так как	24	9
108	здесь в	3	9
109	его в	3	9
110	одна из	1	9
111	в их	5	9
112	в смысле	5	9
113	или менее	5	9
114	и других	1	9
115	он не	5	9
116	быть и	7	9
117	и от	5	9
118	но не	9	9
119	к нему	12	9
120	в самом	6	8
121	для нас	1	8
122	не на	1	8
123	не могут	4	8
124	может стать	1	8
125	зависимости от	2	8
126	все время	4	8
127	для понимания	1	8
128	с этим	5	8
129	в предмете	1	8
130	в зависимости	2	8
131	всяком случае	3	8
132	в одной	4	8
133	человека и	2	8
134	и часто	3	8
135	на мир	2	8
136	в ней	4	8
137	во всем	3	7
138	от него	4	7
139	же и	11	7
140	еще более	3	7
141	кроме того	2	7
142	но все	5	7
143	смысла и	3	7
144	например в	2	7
145	связанные с	3	7
146	том что	18	7
147	перед нами	3	7
