N	4gram	Kanaev_Sov	Myshleni
1	одной и той же	1	15
2	один и тот же	1	12
3	в такой же мере	1	10
4	с одной стороны и	1	10
5	все более и более	1	8
6	то же самое что	1	7
7	не что иное как	1	6
8	совершенно так же как	1	5
9	одни и те же	1	4
10	есть не что иное	1	4
11	дело в том что	1	3
12	бы то ни было	1	3
13	не подлежит никакому сомнению	1	3
14	одна и та же	1	3
15	но тем не менее	1	2
16	не хотим сказать что	1	2
17	в то же время	1	2
18	развития в зависимости от	1	2
19	подлежит никакому сомнению что	1	2
20	с помощью которых он	1	2
21	но мы знаем что	1	2
22	развития с точки зрения	1	2
23	во всяком случае не	1	1
24	в этом смысле можно	1	1
25	не может не быть	1	1
26	ясно что при таком	1	1
27	друг с другом мы	1	1
28	в том что эта	1	1
29	до сих пор в	1	1
30	по самому своему существу	1	1
31	с самого начала от	1	1
32	как и во всей	1	1
33	к которому они относятся	1	1
34	мы видели далее что	1	1
35	в конце развития мы	1	1
36	не только ничего не	1	1
37	одному и к другому	1	1
38	и в то же	1	1
39	когда мы говорим о	1	1
40	таким образом ясно что	1	1
41	мы знаем что это	1	1
42	и во всех деталях	1	1
43	то же самое в	1	1
44	таким образом один и	1	1
45	что это совершенно невозможно	1	1
46	образом один и тот	1	1
47	в наших экспериментах мы	1	1
48	к одному и к	1	1
49	только и могут быть	1	1
