N	3gram	Losev_Prob	Sotsiolo
1	по отношению к	2	2
2	в том что	13	2
3	в конце концов	7	2
4	не в том	1	2
5	это и есть	2	1
6	в то же	2	1
7	с одной стороны	5	1
8	в связи с	11	1
9	то же самое	2	1
10	и должно было	1	1
11	чуть ли не	1	1
12	то что в	2	1
13	по крайней мере	8	1
14	о том как	1	1
15	в этой области	1	1
16	то же время	1	1
17	в результате его	1	1
18	в наше время	1	1
19	как то что	1	1
20	сама по себе	2	1
21	а с другой	3	1
22	это вовсе не	1	1
23	во всяком случае	6	1
24	должно было бы	1	1
25	и в этом	1	1
26	и никак не	2	1
27	на точке зрения	1	1
28	в настоящее время	7	1
