N	4gram	Bakhtin_fo	Stilisti
1	в то же время	10	7
2	одно и то же	4	5
3	все больше и больше	1	2
4	одном и том же	1	2
5	но для того чтобы	2	2
6	и для того чтобы	1	2
7	вместе с тем и	1	2
8	одну и ту же	1	2
9	в тех случаях когда	1	2
10	но в то же	2	2
11	и в то же	6	2
12	в связи с этим	4	2
13	всего того что было	1	1
14	вне всякой связи с	1	1
15	с нашей точки зрения	3	1
16	как мы уже знаем	1	1
17	но все же и	1	1
18	в жизни и в	1	1
19	в одном и том	1	1
20	как мы увидим дальше	1	1
21	не связанных между собой	1	1
22	но вместе с тем	1	1
23	для того чтобы не	1	1
24	всего бросается в глаза	1	1
25	одна и та же	2	1
26	одного и того же	6	1
27	одних и тех же	2	1
