N	3gram	Propp_Isto	Narrotol
1	в том что	6	18
2	не только в	5	13
3	в отличие от	3	11
4	по отношению к	6	11
5	к тому же	1	9
6	о том что	5	9
7	не может быть	8	8
8	тем не менее	7	8
9	в соответствии с	1	8
10	в этом отношении	1	8
11	мы имеем дело	1	6
12	с одной стороны	7	6
13	для того чтобы	1	5
14	но и в	4	5
15	на самом деле	2	5
16	подобно тому как	3	5
17	к тому что	1	4
18	на другой день	1	4
19	в том как	1	3
20	друг на друга	1	3
21	до сих пор	11	3
22	в первом случае	1	3
23	иметь в виду	2	3
24	в зависимости от	3	3
25	при встрече с	1	3
26	точно так же	8	3
27	не было и	1	3
28	в связи с	5	3
29	то же самое	3	3
30	при всей своей	1	3
31	пока еще не	1	3
32	едва ли не	1	3
33	внимание на то	1	3
34	того или иного	1	3
35	на то что	5	3
36	дело в том	3	3
37	дело не только	1	2
38	и т п	1	2
39	в силу своей	1	2
40	не в том	1	2
41	более или менее	5	2
42	и то же	1	2
43	что у него	1	2
44	сами по себе	1	2
45	так и по	1	2
46	не только на	2	2
47	не только не	1	2
48	чем иным как	1	2
49	есть на самом	1	2
50	но и здесь	1	2
51	но все же	7	2
52	здесь мы имеем	2	2
53	тому или иному	1	2
54	все же не	2	2
55	и для нас	2	2
56	можно было бы	5	2
57	так же как	6	2
58	не зависит от	1	2
59	в начале рассказа	1	2
60	тем или иным	1	2
61	на первый взгляд	2	2
62	что иное как	3	2
63	что это за	5	2
64	одной стороны и	1	1
65	именно это и	1	1
66	и когда он	3	1
67	и тот же	2	1
68	и от его	1	1
69	в меньшей степени	1	1
70	и она уходит	1	1
71	причислен к их	1	1
72	мы уже знаем	3	1
73	в этом направлении	1	1
74	по себе а	2	1
75	о том как	2	1
76	никак не может	1	1
77	до известной степени	1	1
78	то что он	1	1
79	и многие другие	1	1
80	в большинстве случаев	4	1
81	это делает и	1	1
82	но забота о	1	1
83	в этом смысле	1	1
84	с большей или	1	1
85	смерть и воскресение	1	1
86	ничего не доказывает	1	1
87	что они не	1	1
88	то что обычно	1	1
89	не должен был	1	1
90	об этом не	1	1
91	друг от друга	1	1
92	но они не	3	1
93	но и с	1	1
94	не только с	1	1
95	так или иначе	1	1
96	сам по себе	1	1
97	друг с другом	3	1
98	не непосредственно а	1	1
99	в том случае	1	1
100	он живет в	1	1
101	одно без другого	1	1
102	в то что	1	1
103	большей или меньшей	2	1
104	само по себе	2	1
105	не само по	1	1
106	еще в году	1	1
107	том что в	1	1
108	и не мог	1	1
109	не сами по	1	1
110	будет сказано ниже	1	1
111	из них не	1	1
112	так как это	1	1
113	далеко еще не	1	1
114	то ни было	2	1
115	бы быть и	1	1
116	относится и к	1	1
117	по себе но	1	1
118	какой бы то	1	1
119	в конечном итоге	2	1
120	это своего рода	1	1
121	мере того как	4	1
122	только то что	1	1
123	в стороне от	1	1
124	с другой стороны	7	1
125	в этой связи	1	1
126	не сливаются в	1	1
127	бы то ни	2	1
128	да и не	1	1
129	как мы увидим	2	1
130	а не только	1	1
131	никогда не было	1	1
132	хотя оно и	1	1
133	это могло бы	1	1
134	в значительной степени	1	1
135	ответ на него	1	1
136	может быть только	1	1
137	восходит к обряду	2	1
138	и т д	35	1
139	он имеет право	1	1
140	том как он	1	1
141	жизнью и смертью	1	1
142	есть не что	2	1
143	в этих случаях	10	1
144	и тем не	2	1
145	же обстоит дело	2	1
146	является не только	1	1
147	к тому или	1	1
148	связаны между собой	1	1
149	к нему в	1	1
150	отнюдь не означает	1	1
151	в противном случае	1	1
152	дело не с	1	1
153	в саду и	1	1
154	один и тот	2	1
155	но в целом	1	1
156	в реальной действительности	1	1
157	как один из	2	1
158	на котором он	1	1
159	с того что	3	1
160	в то время	3	1
161	на этот вопрос	2	1
162	и не должен	1	1
163	ни один человек	1	1
164	в большей или	1	1
165	но еще не	1	1
166	может быть вполне	1	1
167	начинается с того	2	1
168	тем что они	2	1
169	и не только	1	1
170	вот как в	1	1
171	не означает что	2	1
172	не что иное	3	1
173	и здесь мы	1	1
174	ответ на этот	1	1
175	представляет собой очень	1	1
176	содержит в себе	1	1
177	том что и	1	1
178	порой в качестве	1	1
179	на основании которых	1	1
180	то время как	3	1
181	с самого начала	4	1
182	том что он	1	1
183	же как и	1	1
184	в нее входит	1	1
185	она может быть	1	1
186	видит в нем	1	1
187	по его мнению	2	1
188	вместо того чтобы	2	1
189	как это делает	1	1
190	это свидетельствует о	1	1
191	видит не только	1	1
192	по мере того	4	1
193	должен был бы	1	1
194	уже не только	1	1
195	что и в	1	1
196	в виду что	1	1
197	мы не можем	3	1
198	не говорится но	1	1
199	если бы не	1	1
