N	3gram	Bakhtin_Pr	Marksizm
1	с точки зрения	6	46
2	не может быть	11	25
3	в самом деле	3	19
4	по отношению к	19	15
5	то же время	3	15
6	в то же	3	15
7	в том что	3	14
8	в связи с	1	14
9	и не может	2	12
10	то ни было	2	12
11	в высшей степени	5	12
12	бы то ни	3	12
13	для того чтобы	2	11
14	до сих пор	1	11
15	в отличие от	5	10
16	в большинстве случаев	5	9
17	но в то	1	9
18	в настоящее время	1	8
19	то же самое	2	8
20	может быть и	1	8
21	смысле этого слова	1	7
22	с другой стороны	4	7
23	в свою очередь	1	7
24	как мы уже	1	6
25	на то что	1	6
26	на самом деле	3	6
27	с одной стороны	3	6
28	отнюдь не является	1	5
29	и как бы	1	5
30	должна опираться на	1	5
31	к тому что	1	5
32	самом же деле	1	5
33	на самом же	1	5
34	той или иной	2	5
35	в этом отношении	2	5
36	внутреннего и внешнего	1	4
37	в первом случае	1	4
38	в нем нет	1	4
39	и прежде всего	5	4
40	и пр в	1	4
41	одной из важнейших	2	4
42	можно сказать что	2	4
43	в узком смысле	1	4
44	лишь там где	2	4
45	не только в	2	3
46	в применении к	3	3
47	тем не менее	3	3
48	одной стороны и	1	3
49	хотя бы и	1	3
50	в двух направлениях	1	3
51	точки зрения самого	2	3
52	не могут быть	2	3
53	лежащая в основе	1	3
54	в значительной степени	1	3
55	или хотя бы	1	3
56	и в этом	1	3
57	в этом последнем	1	3
58	в ее целом	1	3
59	но и в	2	3
60	выходят за пределы	1	3
61	на первый план	2	3
62	и не в	1	3
63	на этот вопрос	1	3
64	не было бы	1	3
65	в нашу задачу	1	3
66	ни в какой	1	3
67	можно было бы	3	3
68	именно в том	1	3
69	в следующей главе	1	3
70	из важнейших проблем	1	3
71	а в этом	1	2
72	из всего сказанного	1	2
73	в этом направлении	1	2
74	является как бы	1	2
75	до известной степени	1	2
76	в этом смысле	3	2
77	в коем случае	2	2
78	только в пределах	1	2
79	от него он	1	2
80	только на основе	1	2
81	так и в	2	2
82	в нашем примере	2	2
83	дело идет о	1	2
84	а между тем	1	2
85	мы можем сказать	2	2
86	между тем как	5	2
87	в данном случае	4	2
88	при этом условии	1	2
89	и в других	1	2
90	в пределах его	1	2
91	лицом к лицу	1	2
92	с ними в	1	2
93	в его целом	5	2
94	и в том	1	2
95	со всех сторон	2	2
96	в нашем случае	1	2
97	к нему и	2	2
98	сами по себе	1	2
99	того или иного	2	2
100	отнюдь не может	1	2
101	только по отношению	4	2
102	к себе самому	1	2
103	а иногда и	1	2
104	как и в	1	2
105	а следовательно и	1	2
106	не следует что	2	2
107	совершенно независимо от	2	2
108	несмотря на то	1	2
109	во всех своих	2	2
110	таким образом в	1	2
111	в противном случае	3	2
112	ни в коем	2	2
113	и между ними	1	2
114	хотя бы в	1	2
115	совершенно еще не	1	2
116	с тем что	1	2
117	как мы увидим	3	2
118	не есть вещь	1	2
119	и в самом	1	2
120	в нем и	1	2
121	вопрос о том	1	2
122	это и есть	1	2
123	только при этом	1	2
124	конечно отнюдь не	1	1
125	что у нас	1	1
126	является таким образом	1	1
127	звуковой стороны слова	1	1
128	быть не может	1	1
129	совершенно правомерно но	1	1
130	другой же стороны	2	1
131	противном случае оно	1	1
132	все то что	3	1
133	точка зрения на	1	1
134	становится как бы	1	1
135	превращает его в	1	1
136	в конечном счете	4	1
137	можем сказать что	1	1
138	в нем не	1	1
139	на ее почве	1	1
140	который мог бы	1	1
141	как одна из	1	1
142	во избежание недоразумений	1	1
143	снова и снова	1	1
144	как бы ничего	2	1
145	по сравнению с	1	1
146	вот на почве	1	1
147	мы можем назвать	1	1
148	конечно не следует	1	1
149	то что не	1	1
150	и в другом	1	1
151	имеется в виду	1	1
152	ни в один	1	1
153	то или иное	2	1
154	что язык в	1	1
155	свою связь с	1	1
156	о которых мы	1	1
157	может иметь лишь	1	1
158	язык в его	1	1
159	большинстве случаев он	1	1
160	в таком положении	2	1
161	говоря уже о	1	1
162	при втором направлении	1	1
163	в том же	2	1
164	может войти в	1	1
165	не только его	1	1
166	в ней в	1	1
167	и город и	1	1
168	по отношению ко	1	1
169	в его состав	1	1
170	что не имеет	1	1
171	в строгом смысле	2	1
172	этой проблемы мы	1	1
173	может быть только	3	1
174	говорить об особой	1	1
175	к единству языка	1	1
176	всего сказанного нами	1	1
177	начало и конец	2	1
178	ни один культурный	1	1
179	бытия в этом	1	1
180	в иных случаях	3	1
181	мы уже указывали	1	1
182	на себя самого	1	1
183	не совпадает с	2	1
184	не чем иным	1	1
185	в особенности же	1	1
186	чем иным как	1	1
187	что все эти	1	1
188	по аналогии с	1	1
189	как в других	2	1
190	познания должна опираться	1	1
191	следует что в	1	1
192	и не с	2	1
193	контексте в научном	1	1
194	может обойтись без	1	1
195	а в том	1	1
196	и как мы	1	1
197	позиции по отношению	1	1
198	в основных чертах	1	1
199	может быть понята	1	1
200	остается за бортом	5	1
201	иметь место в	1	1
202	имеет место в	2	1
203	хотя бы только	1	1
204	мы увидим далее	1	1
205	на логику и	1	1
206	не подлежит конечно	1	1
207	не нуждается в	1	1
208	к вопросу о	1	1
209	одна из важнейших	1	1
210	в другом направлении	1	1
211	отнюдь не следует	1	1
212	таким образом и	1	1
213	едва ли может	1	1
214	в равной степени	1	1
215	явление языка что	1	1
216	могли бы быть	1	1
217	коем случае не	2	1
218	конечно совершенно невозможно	1	1
219	со словом в	1	1
220	это находит свое	1	1
221	право говорить об	1	1
222	никогда не может	2	1
223	вовсе не как	1	1
224	широком смысле слова	1	1
225	должно строго различать	3	1
226	не проникает в	1	1
227	то есть в	1	1
228	строгом смысле этого	1	1
229	равно как и	1	1
230	не в его	1	1
231	таком положении находится	1	1
232	и должно быть	1	1
233	к чему не	1	1
234	как высказывание другого	1	1
235	в какой мере	2	1
236	и есть та	1	1
237	случаях например при	1	1
238	история не знает	1	1
239	что иное как	1	1
240	особый характер носит	1	1
241	и следовательно не	1	1
242	contradictio in adjecto	3	1
243	психология познания должна	1	1
244	с другими областями	1	1
245	можно определить как	1	1
246	то что в	1	1
247	может быть лишь	1	1
248	к выводу что	1	1
249	мы здесь не	2	1
250	который как бы	1	1
251	конечно не в	1	1
252	в начале главы	1	1
253	именно то что	1	1
254	в слове как	1	1
255	принципиальный отказ от	1	1
256	в то время	1	1
257	проникают друг друга	1	1
258	отношению к нему	1	1
259	лежит не в	1	1
260	и с точки	1	1
261	не может стать	1	1
262	это возможно лишь	1	1
263	не говоря уже	1	1
264	быть понято в	1	1
265	ли может быть	1	1
266	не что иное	1	1
267	и быть не	1	1
268	в других областях	1	1
269	дело в том	1	1
270	оно ощущается как	1	1
271	в лучшем случае	2	1
272	познания художественного творчества	1	1
273	может быть объяснено	1	1
274	подобно тому как	1	1
275	бы ничего не	2	1
276	с другой же	2	1
277	вообще не имеет	1	1
278	здесь не касаемся	1	1
279	и не менее	1	1
280	но отнюдь не	7	1
281	то есть его	2	1
282	бы они ни	1	1
283	относится к миру	1	1
284	они ни были	1	1
285	и в свою	1	1
286	тем или иным	1	1
287	не может обойтись	1	1
288	зрения не может	1	1
289	выходит за пределы	1	1
290	которое как мы	1	1
291	как бы они	1	1
292	может быть признано	1	1
293	вот несколько примеров	1	1
294	а вовсе не	1	1
295	и потому в	1	1
296	не выходит за	1	1
297	ни к чему	1	1
298	притом не только	1	1
299	и в нем	3	1
300	в основе своей	3	1
301	такова в основных	1	1
302	не должна быть	1	1
303	не имеет дела	4	1
304	оно может быть	1	1
305	в виду что	1	1
306	в другом случае	1	1
307	и вот на	1	1
