N	3gram	Bakhtin_Pr	Russkaja
1	друг с другом	4	14
2	то же время	10	10
3	в то же	10	10
4	с точки зрения	21	9
5	в том что	10	7
6	на самом деле	4	6
7	во всяком случае	3	6
8	для того чтобы	3	6
9	до сих пор	3	5
10	не может быть	8	4
11	более или менее	1	4
12	бы то ни	3	4
13	во что бы	1	3
14	что бы то	1	3
15	при том условии	1	3
16	той или иной	3	3
17	в конце концов	7	3
18	можно было бы	4	3
19	может быть признан	1	3
20	в данном случае	3	3
21	в лучшем случае	3	3
22	в этом случае	1	3
23	и то что	1	3
24	и не может	3	3
25	то ни стало	1	3
26	с самим собой	1	2
27	в том и	2	2
28	и в том	2	2
29	ни одна из	1	2
30	того или иного	1	2
31	и во всяком	1	2
32	точно так же	1	2
33	в большинстве случаев	3	2
34	о том что	5	2
35	в себе и	1	2
36	сама по себе	3	2
37	не только к	1	2
38	к тому что	1	2
39	а следовательно и	1	2
40	друг от друга	2	2
41	она не может	3	2
42	мы говорили в	1	2
43	быть не может	1	1
44	здесь мы подходим	1	1
45	но для нас	1	1
46	в противном случае	1	1
47	его лежит не	1	1
48	в самом деле	5	1
49	так чтобы в	1	1
50	не может на	1	1
51	и как бы	3	1
52	и в частности	1	1
53	что оно есть	1	1
54	может быть назван	1	1
55	дело в том	1	1
56	смысле этого слова	2	1
57	о котором мы	1	1
58	по себе еще	2	1
59	но в то	5	1
60	себе еще не	2	1
61	это конечно не	1	1
62	каждая из них	1	1
63	котором мы говорили	1	1
64	что же это	1	1
65	не могло бы	1	1
66	том числе и	1	1
67	различны в зависимости	1	1
68	до известной степени	1	1
69	так же как	4	1
70	и только в	1	1
71	его жизни и	1	1
72	тех или иных	1	1
73	по отношению к	17	1
74	есть то что	1	1
75	и вот в	1	1
76	во всех этих	1	1
77	как бы ни	1	1
78	и видеть в	1	1
79	в том чтобы	1	1
80	по крайней мере	3	1
81	прежде всего в	1	1
82	заключается в том	2	1
83	единство все же	1	1
84	а в том	1	1
85	и в других	1	1
86	с самого начала	3	1
87	свою точку зрения	1	1
88	явление в области	1	1
89	не может иметь	1	1
90	но на самом	1	1
91	и что в	1	1
92	всяком случае не	1	1
93	второстепенную роль и	1	1
94	то ни было	2	1
95	и того же	1	1
96	то что для	1	1
97	может в этом	1	1
98	в некоторых из	1	1
99	на первый взгляд	1	1
100	тем что он	1	1
101	о себе самом	9	1
102	он не может	2	1
103	то же самое	1	1
104	конечно не может	1	1
105	мы подходим к	1	1
106	показать что и	1	1
107	в том числе	1	1
108	что все это	1	1
109	тем не менее	1	1
110	в своем стремлении	1	1
111	но все же	3	1
112	только то что	2	1
113	в другом месте	1	1
114	эта идея на	1	1
115	по этому пути	1	1
116	говорить о том	1	1
117	в этом отношении	7	1
118	перед нами не	1	1
119	то есть не	3	1
120	с другом в	2	1
121	жизни и в	1	1
122	прежде всего необходимо	1	1
123	и не только	1	1
124	только с точки	1	1
125	что он есть	3	1
126	точку зрения все	1	1
127	это и есть	3	1
128	приходится признать что	1	1
129	в его целом	8	1
130	тем более что	2	1
131	ко всем этим	1	1
132	в значительной степени	1	1
133	в основе его	1	1
134	на этот вопрос	1	1
135	данном случае и	1	1
136	то и другое	1	1
137	зависит от того	1	1
138	с нею в	1	1
139	одного и того	1	1
140	потому что они	2	1
141	и в этом	8	1
142	в полной мере	1	1
143	идет не об	6	1
144	друг к другу	4	1
