N	3gram	Tiupa_Hudo	Stilisti
1	в то же	11	9
2	для того чтобы	2	7
3	то же время	11	7
4	того или иного	4	5
5	с точки зрения	5	5
6	в свою очередь	1	4
7	той или иной	1	4
8	то или иное	1	4
9	заключает в себе	1	4
10	ту или иную	2	4
11	о своей жизни	1	4
12	с самого начала	1	4
13	то же самое	3	4
14	то что мы	1	4
15	прежде всего в	1	4
16	на самом деле	1	3
17	в конце концов	1	3
18	не только в	4	3
19	в этом случае	1	3
20	но все же	2	3
21	как бы в	2	3
22	в самом деле	5	2
23	же самое время	1	2
24	не может быть	5	2
25	по отношению к	15	2
26	о том что	14	2
27	можно сказать что	1	2
28	связи с этим	2	2
29	но при этом	3	2
30	в казенной палате	1	2
31	но в то	3	2
32	мы не знаем	1	2
33	та же самая	1	2
34	только потому что	2	2
35	и в то	2	2
36	на первый взгляд	1	2
37	в связи с	3	2
38	к тому что	8	2
39	что же такое	1	2
40	в этом отношении	4	2
41	в значительной степени	3	2
42	тот или иной	1	2
43	не думал о	1	1
44	так и от	2	1
45	в том что	15	1
46	но то что	1	1
47	и в жизни	1	1
48	в том и	1	1
49	в одном из	1	1
50	друг друга и	1	1
51	мы уже знаем	2	1
52	в конечном счете	4	1
53	вследствие того что	1	1
54	и нельзя было	1	1
55	как по отношению	1	1
56	на наш взгляд	6	1
57	того чтобы не	1	1
58	в русской литературе	3	1
59	одних и тех	2	1
60	его места и	1	1
61	не происходит ли	1	1
62	автор и читатель	1	1
63	в гораздо большей	1	1
64	хотя бы и	1	1
65	в себе и	1	1
66	в жизни и	1	1
67	как и в	5	1
68	что говорит о	2	1
69	я до сих	1	1
70	что ведь и	1	1
71	можно заметить что	1	1
72	тем не менее	6	1
73	только в том	4	1
74	в литературном произведении	1	1
75	гораздо большей степени	1	1
76	и тех же	2	1
77	при этом не	1	1
78	более или менее	1	1
79	но и его	1	1
80	что же мы	1	1
81	и та же	1	1
82	лишь то что	1	1
83	так а не	1	1
84	до сих пор	3	1
85	именно потому что	1	1
86	не смог бы	1	1
87	это еще не	1	1
88	или иное место	1	1
89	а в действительности	1	1
90	жизни как бы	1	1
91	так и по	1	1
92	содержит в себе	2	1
93	при этом мы	1	1
94	здесь нет и	1	1
95	между этими двумя	1	1
96	этом не только	1	1
97	в этом разговоре	1	1
98	точкой зрения на	1	1
99	же как мы	1	1
100	в пределах одного	1	1
101	несет в себе	4	1
102	вполне достаточно чтобы	1	1
103	и по отношению	1	1
104	не только на	1	1
105	не только не	3	1
106	это же самое	1	1
107	ни единого слова	1	1
108	в своей жизни	2	1
109	не может не	1	1
110	обмен репликами со	1	1
111	в высшей степени	1	1
112	одна и та	1	1
113	как раз и	1	1
114	и все же	1	1
115	между тем в	2	1
116	та или иная	4	1
117	это отнюдь не	1	1
118	не нуждается в	1	1
119	на вопросе о	1	1
120	не останется и	1	1
121	с другой стороны	1	1
122	нет ничего удивительного	1	1
123	перед нами не	1	1
124	которой я до	1	1
125	но как только	1	1
126	это прежде всего	2	1
127	нет и не	1	1
128	можно было бы	5	1
129	что несмотря на	1	1
130	и в этом	3	1
131	прежде всего на	1	1
132	лежит в основе	1	1
133	быть может и	1	1
