N	3gram	Vinokur_Vv	Russkaja
1	то же время	6	10
2	в то же	6	10
3	с точки зрения	4	9
4	в том что	15	7
5	на самом деле	1	6
6	во всяком случае	5	6
7	для того чтобы	22	6
8	а между тем	2	5
9	до сих пор	7	5
10	не может быть	10	4
11	более или менее	1	4
12	бы то ни	1	4
13	той или иной	3	3
14	в конце концов	2	3
15	вместе с тем	3	3
16	можно было бы	4	3
17	в данном случае	4	3
18	в лучшем случае	1	3
19	в этом случае	6	3
20	и то что	3	3
21	не может не	1	3
22	лишь в том	1	2
23	и в том	4	2
24	того или иного	1	2
25	тот факт что	1	2
26	в значительной мере	2	2
27	о котором идет	1	2
28	точно так же	2	2
29	чтобы понять что	3	2
30	вся эта работа	1	2
31	о том что	13	2
32	только в том	2	2
33	не могут не	2	2
34	сама по себе	3	2
35	к тому что	1	2
36	все что может	1	2
37	в настоящее время	1	2
38	из которых каждый	1	2
39	в самом деле	6	1
40	так смотрят на	1	1
41	так чтобы в	1	1
42	том виде как	1	1
43	может оказаться для	1	1
44	беспристрастном взгляде на	1	1
45	может быть назван	1	1
46	могут не быть	1	1
47	дело в том	3	1
48	смысле этого слова	2	1
49	о котором мы	1	1
50	которая как мы	1	1
51	но в то	3	1
52	и те кто	1	1
53	не трудно видеть	6	1
54	при беспристрастном взгляде	1	1
55	мы уже знаем	2	1
56	ее отношения к	1	1
57	течение очень долгого	1	1
58	так же как	1	1
59	это есть та	1	1
60	от этого не	1	1
61	тех или иных	3	1
62	по отношению к	4	1
63	во многих случаях	1	1
64	и прежде всего	1	1
65	одной из этих	1	1
66	от того что	1	1
67	в том чтобы	5	1
68	но не к	1	1
69	по крайней мере	4	1
70	прежде всего в	1	1
71	было бы обозначить	1	1
72	в том виде	3	1
73	у разных народов	1	1
74	заключается в том	3	1
75	а в том	1	1
76	с самого начала	1	1
77	конкретно представить себе	1	1
78	чтобы сделать эти	1	1
79	есть только один	1	1
80	всяком случае не	2	1
81	то ни было	1	1
82	также и то	1	1
83	идет речь не	1	1
84	и того же	2	1
85	лишь к тому	1	1
86	совершенно ясно что	1	1
87	заключает в себе	1	1
88	но ведь в	1	1
89	смотреть как на	1	1
90	себя между прочим	1	1
91	жизни данного народа	1	1
92	что не только	1	1
93	и вопрос о	1	1
94	представить себе что	2	1
95	в связи с	2	1
96	то же самое	3	1
97	в нем все	1	1
98	в том же	1	1
99	но и обратно	1	1
100	в течение очень	1	1
101	же время в	1	1
102	не может ли	1	1
103	как видно из	1	1
104	ни к какому	1	1
105	в том числе	1	1
106	тем не менее	9	1
107	но все же	4	1
108	только то что	1	1
109	в другом месте	2	1
110	и это особенно	1	1
111	это то же	1	1
112	говорить о том	1	1
113	его можно было	1	1
114	между прочим и	1	1
115	в этом отношении	4	1
116	в начале этой	1	1
117	вопрос о том	5	1
118	потому что и	1	1
119	в свою очередь	2	1
120	в применении к	6	1
121	данной национальной культуры	2	1
122	только в этом	1	1
123	в значительной степени	1	1
124	народов и в	2	1
125	на этот вопрос	5	1
126	данном случае и	1	1
127	состоит в том	2	1
128	одного и того	2	1
129	потому что они	1	1
130	русского языка и	1	1
131	и в этом	4	1
132	с идеями национального	1	1
133	трудно видеть что	5	1
134	нечего и говорить	1	1
