N	4gram	Voloshinov	StatiiOP
1	дело в том что	1	9
2	в то же время	6	9
3	заключается в том что	2	6
4	говорит о том что	1	5
5	в том что в	1	4
6	во всяком случае не	1	3
7	в том что он	2	3
8	и тем не менее	2	3
9	в том что она	2	2
10	как говорит об этом	1	2
11	ни на чем не	1	2
12	в данном случае в	1	2
13	и в то же	1	2
14	само собою разумеется что	1	2
15	том что он не	1	2
16	но в то же	3	2
17	бы то ни было	2	2
18	во всяком случае в	1	2
19	я не сомневаюсь что	1	1
20	ни в каком случае	2	1
21	с точки зрения его	1	1
22	одни и те же	1	1
23	эту эпоху его развития	1	1
24	только с точки зрения	1	1
25	во что бы то	1	1
26	в собственном смысле этого	1	1
27	что с точки зрения	1	1
28	на протяжении всей его	1	1
29	и в данном случае	1	1
30	каких бы то ни	1	1
31	сказать несколько слов о	1	1
32	не кем иным как	1	1
33	так и в отношении	1	1
34	в эту эпоху его	1	1
35	быть конечно и речи	1	1
36	в таких явлениях как	1	1
37	не может быть и	4	1
38	что бы то ни	1	1
39	что он не понял	1	1
40	в каком случае не	1	1
41	нам до сих пор	1	1
42	ничего общего с этим	1	1
43	же объясняется и то	1	1
44	одним из наиболее ярких	1	1
45	в нем может быть	1	1
46	протяжении всей его жизни	1	1
47	одной и той же	3	1
48	может быть и речи	3	1
49	но в целом это	1	1
50	и по отношению к	1	1
51	ответ на этот вопрос	1	1
52	не укладывается в рамки	1	1
53	на чем не основано	1	1
54	одно и то же	1	1
55	только потому что оно	1	1
56	говорит об этом сам	1	1
57	то что он сам	1	1
58	для того чтобы получить	1	1
59	бы то ни стало	1	1
60	до сих пор не	1	1
61	и в голову не	1	1
62	в одной из своих	1	1
63	говорить о том что	2	1
64	что можно сказать о	1	1
65	что же это за	1	1
66	вот как говорит об	1	1
