N	2gram	Medvedev_V	VeschiIm
1	и не	1	57
2	и в	2	45
3	потому что	1	25
4	только в	1	23
5	в этом	1	18
6	вещь и	1	18
7	так как	1	17
8	в том	2	15
9	но это	1	14
10	и то	1	14
11	в самом	1	13
12	том что	2	13
13	то же	1	12
14	и только	1	11
15	по крайней	1	10
16	крайней мере	1	10
17	ясно что	1	10
18	хотя бы	1	9
19	и его	1	9
20	все это	1	8
21	даже не	1	8
22	самом деле	1	7
23	я не	1	7
24	как же	1	6
25	дело в	1	6
26	одно и	1	6
27	да и	1	5
28	сводится к	1	4
29	в их	1	4
30	в конце	2	4
31	главным образом	1	4
32	ни к	1	3
33	а только	1	3
34	в другом	1	3
35	по существу	1	3
36	тем более	1	3
37	в частности	1	3
38	одном и	1	2
39	все то	1	2
40	именно в	1	2
41	другое дело	1	2
42	чего не	1	2
43	к этому	1	2
44	я занимаюсь	1	2
45	так в	1	2
46	совершенно ясно	1	2
47	к чему	1	2
48	далеко не	1	2
49	этом и	1	2
50	конце концов	2	2
51	гораздо более	1	2
52	и составляет	1	1
53	более к	1	1
54	все дело	1	1
55	в которых	1	1
56	и заключается	1	1
57	не хочу	1	1
58	достаточно но	1	1
59	но разве	1	1
60	все время	1	1
61	том же	1	1
62	по поводу	1	1
63	и том	1	1
64	стоит на	1	1
65	сказать чтобы	1	1
66	имеется в	1	1
67	на одном	1	1
68	что слово	1	1
69	от других	1	1
70	в теории	1	1
71	бы уже	1	1
72	ведь это	1	1
73	в книге	3	1
74	с большой	1	1
75	ничуть не	1	1
