N	4gram	Vinokur_Vv	DiskursI
1	в то же время	6	8
2	состоит в том что	2	7
3	с одной стороны и	3	5
4	дело в том что	3	5
5	одного и того же	2	4
6	в том что в	1	3
7	не говоря уже о	1	3
8	одно и то же	2	3
9	той мере в какой	6	2
10	в той мере в	6	2
11	как уже было сказано	2	2
12	в науке о литературе	1	2
13	одной и той же	2	2
14	бы то ни было	1	2
15	этим в частности объясняется	1	1
16	в тех или иных	1	1
17	того же автора и	1	1
18	не что иное как	5	1
19	это как будто бы	1	1
20	только после того как	2	1
21	и именно в этом	1	1
22	большей или меньшей степени	1	1
23	с данной точки зрения	1	1
24	в той или иной	1	1
25	в большей или меньшей	1	1
26	в том что не	1	1
27	в том что с	1	1
28	но в этом случае	1	1
29	только в одном отношении	1	1
30	в принципе не может	1	1
31	она во всяком случае	1	1
32	не может быть вполне	1	1
33	только в том что	1	1
34	не только в том	1	1
35	одном и том же	1	1
36	заключается в том что	2	1
37	в том что он	1	1
38	в соответствии с правилами	1	1
39	мы имеем дело с	1	1
40	тех или иных отношениях	1	1
41	по тем или иным	2	1
42	не одно и то	1	1
43	в том или ином	2	1
44	есть не что иное	3	1
