N	3gram	Bakhtin_Pr	VrazhdaK
1	то же время	10	4
2	в то же	10	4
3	в русской литературе	2	3
4	как и у	1	3
5	в том что	10	2
6	не может быть	8	2
7	в письме к	1	2
8	но в то	5	2
9	он не только	2	2
10	с точки зрения	21	2
11	и что в	1	2
12	по нашему убеждению	2	2
13	что он сам	2	1
14	письме к брату	1	1
15	достоевский в авторском	1	1
16	но для нас	1	1
17	не было бы	1	1
18	прежде всего художник	1	1
19	в этот период	1	1
20	к творчеству достоевского	1	1
21	каждый из них	1	1
22	достоевский и его	1	1
23	же время и	1	1
24	что он ищет	1	1
25	романа может быть	1	1
26	в то время	3	1
27	далеко не все	1	1
28	творчества достоевского в	1	1
29	в конце концов	7	1
30	можно говорить об	1	1
31	в россии где	1	1
32	отношение автора к	1	1
33	преступлении и наказании	2	1
34	о нем в	1	1
35	равно как и	1	1
36	он как бы	2	1
37	в той же	3	1
38	достоевский прежде всего	4	1
39	точно так же	1	1
40	так же как	4	1
41	но это не	3	1
42	по нашему мнению	3	1
43	и в то	3	1
44	из подполья но	1	1
45	что достоевский в	1	1
46	к достоевскому как	1	1
47	по крайней мере	3	1
48	и никогда не	1	1
49	он у себя	1	1
50	что они не	1	1
51	он и не	3	1
52	в этом смысле	12	1
53	преступления и наказания	2	1
54	но как в	2	1
55	заключается в том	2	1
56	в мире а	1	1
57	что в нем	1	1
58	говорит достоевский в	1	1
59	и то что	1	1
60	не только не	1	1
61	о том что	5	1
62	достоевского с ее	1	1
63	от того как	1	1
64	до сих пор	3	1
65	в высшей степени	2	1
66	преступление и наказание	2	1
67	в романе достоевского	6	1
68	сам достоевский в	1	1
69	в е годы	1	1
70	достоевского далеко не	1	1
71	во всяком случае	3	1
72	а следовательно и	1	1
73	во всех движениях	1	1
74	тем не менее	1	1
75	как он сам	2	1
76	и в самом	1	1
77	то что я	2	1
78	уже в конце	1	1
79	как бы в	3	1
80	с другой стороны	3	1
81	среди них он	1	1
82	в известном смысле	1	1
83	у него в	1	1
84	ее и в	1	1
85	в момент его	2	1
86	что у него	1	1
87	это и есть	3	1
88	тем более что	2	1
89	независимо от того	1	1
90	на первый взгляд	1	1
91	и уже по	1	1
92	тем что он	1	1
93	в этом отношении	7	1
94	все же не	1	1
95	в преступлении и	2	1
96	роман достоевского и	1	1
97	и не может	3	1
98	и в этом	8	1
99	идет не об	6	1
100	может быть и	1	1
