1	в нем нет	2	3
2	для того чтобы	2	3
3	и в этом	2	2
4	в этом он	1	2
5	это было бы	1	2
6	можно ли сказать	3	2
7	с тем что	1	2
8	не может быть	24	2
9	но и в	1	2
10	человеческой природы и	1	2
11	ни у кого	1	2
12	что у него	1	2
13	а не в	2	2
14	ли сказать что	3	2
15	и то что	5	1
16	не в сущности	1	1
17	с кем и	1	1
18	не есть просто	5	1
19	с вопросом о	1	1
20	по природе своей	2	1
21	кем и ни	1	1
22	что не в	1	1
23	в самом деле	7	1
24	есть не только	2	1
25	но может ли	1	1
26	вообще но и	2	1
27	ни с какими	1	1
28	самое главное в	1	1
29	одно из самых	1	1
30	должна быть не	1	1
31	есть момент в	1	1
32	хотя бы даже	2	1
33	сам по себе	4	1
34	как будто бы	1	1
35	во всяком случае	2	1
36	она и не	1	1
37	ни с чем	2	1
38	нем нет ничего	1	1
39	до последней глубины	1	1
40	само по себе	4	1
41	в самом последнем	1	1
42	ни с кем	1	1
43	даже и в	1	1
44	бы и не	1	1
45	и не может	1	1
46	в этом отношении	2	1
47	и все же	1	1
48	в конце я	1	1
49	но почему же	1	1
50	это не есть	2	1
51	есть для него	1	1
52	то что в	1	1
53	ни с какой	3	1
54	это потому что	1	1
55	о том что	4	1
56	не в том	1	1
57	все еще не	1	1
58	друг с другом	2	1
59	в том что	9	1
60	и ни с	2	1
61	да и то	1	1
62	от того что	4	1
63	он сам и	1	1
64	потому что у	1	1
65	не только одно	1	1
66	он и не	1	1
67	и прежде всего	1	1
68	и все эти	1	1
69	и не в	3	1
70	вместо того чтобы	1	1
71	а не только	2	1
72	т е от	1	1
73	о том как	4	1
74	и в самом	1	1
75	на то что	7	1
76	смысле этого слова	1	1
77	по сравнению с	7	1
78	и соединяет их	1	1
79	их во имя	1	1
80	всякий кто хочет	1	1
81	в самом начале	1	1
82	отличается от всех	1	1
