N	2gram	Tiupa_Narr	Freidism
1	таким образом	5	34
2	и не	34	34
3	точки зрения	8	31
4	не может	16	30
5	в этом	23	28
6	может быть	24	28
7	и в	22	28
8	прежде всего	7	26
9	в его	12	25
10	и его	12	22
11	с помощью	2	20
12	мы можем	2	20
13	как бы	11	19
14	как мы	3	18
15	то что	14	17
16	вовсе не	2	16
17	с точки	2	15
18	точка зрения	5	15
19	все эти	3	15
20	так как	1	15
21	с ним	6	14
22	в своей	8	14
23	так и	12	14
24	самом деле	4	14
25	в душе	3	13
26	и все	7	13
27	как и	15	13
28	по отношению	5	13
29	но в	10	13
30	во всех	2	13
31	в самом	8	12
32	то же	12	12
33	ни в	1	12
34	что он	7	12
35	том что	15	12
36	во внешнем	1	12
37	точку зрения	3	12
38	для него	8	12
39	все это	1	12
40	и потому	2	12
41	и наконец	2	12
42	мы видели	1	12
43	только в	23	11
44	сказать что	5	11
45	отношению к	5	11
46	его в	1	11
47	все что	4	10
48	один из	8	10
49	не только	50	10
50	и с	3	10
51	но и	39	10
52	тот же	1	10
53	никогда не	8	10
54	в том	20	10
55	мы уже	1	10
56	он не	8	10
57	за пределы	1	10
58	не в	12	10
59	и на	5	9
60	уже не	11	9
61	во всяком	2	9
62	совершенно не	1	9
63	мы не	5	9
64	с его	6	9
65	к этому	2	9
66	к нему	5	9
67	в чем	3	9
68	а не	27	9
69	мы должны	1	9
70	могут быть	1	9
71	при этом	31	8
72	все же	10	8
73	еще не	6	8
74	с этим	1	8
75	было бы	2	8
76	и вот	2	8
77	а в	19	8
78	по мнению	2	8
79	с другими	1	8
80	на этом	1	8
81	в ней	5	8
82	оно и	1	8
83	всяком случае	2	8
84	что в	6	7
85	и к	7	7
86	не могут	1	7
87	связь с	1	7
88	в жизни	9	7
89	роль в	4	7
90	так сказать	4	7
91	его жизни	5	7
92	хотя бы	4	7
93	в каком	1	7
94	до конца	2	7
95	что все	1	7
96	и для	4	7
97	из них	4	7
98	на протяжении	12	7
99	того что	7	7
100	не является	7	7
101	но не	7	7
102	об этом	8	7
103	и у	4	7
104	в нем	9	7
105	быть и	3	7
106	в этой	8	7
107	отношение к	2	7
108	в себе	14	7
109	жизни и	7	7
110	в то	9	7
111	и ее	3	7
112	более того	1	7
113	зрения на	2	6
114	в человеке	2	6
115	одно из	2	6
116	в корне	1	6
117	сознанием и	1	6
118	не менее	6	6
119	но мы	1	6
120	к тому	13	6
121	можно сказать	11	6
122	в основе	1	6
123	в свою	4	6
124	для того	4	6
125	же время	7	6
126	из этих	6	6
127	мы имеем	6	6
128	ни о	3	6
129	как раз	9	6
130	во время	2	6
131	на самом	1	6
132	сознания и	2	6
133	в таком	4	6
134	большинстве случаев	1	6
135	она не	2	6
136	и что	1	6
137	в пределах	2	6
138	и о	4	6
139	и только	2	6
140	для этого	1	6
141	не можем	2	6
142	что это	4	5
143	в более	1	5
144	со всеми	3	5
145	в своих	2	5
146	ее в	1	5
147	в процессе	2	5
148	с ними	5	5
149	вместе с	3	5
150	со стороны	14	5
151	в следующей	3	5
152	на первый	1	5
153	тех же	1	5
154	того чтобы	7	5
155	на основании	1	5
156	и до	1	5
157	чем не	1	5
158	что она	3	5
159	он сам	4	5
160	по поводу	3	5
161	той же	2	5
162	это не	6	5
163	в ее	4	5
164	что и	3	5
165	в которой	2	5
166	тому что	4	5
167	между ними	3	5
168	в этих	3	5
169	в себя	3	5
170	внутренней речи	3	5
171	и по	3	5
172	не было	3	5
173	другими словами	1	5
174	во второй	2	5
175	не знает	2	5
176	как это	7	5
177	далеко не	6	5
178	только то	1	5
179	в большинстве	1	5
180	что может	2	5
181	ничего не	8	5
182	в общем	1	5
