N	2gram	Nazirov_Tr	Vladivir
1	и в	18	116
2	то что	4	71
3	и не	7	67
4	в году	9	65
5	у него	6	65
6	не только	8	65
7	в этом	9	53
8	в том	2	52
9	том что	4	51
10	что в	4	48
11	но и	4	47
12	в конце	3	41
13	в его	3	40
14	и с	7	39
15	то есть	3	37
16	и даже	4	36
17	так что	2	35
18	потому что	2	33
19	что он	6	32
20	не может	5	31
21	о том	2	30
22	только в	1	30
23	как мы	1	29
24	никогда не	2	29
25	для него	3	29
26	не было	1	26
27	а к	1	25
28	в себе	4	25
29	но в	6	25
30	в то	5	25
31	и то	2	25
32	и его	6	25
33	а также	1	24
34	он не	2	23
35	может быть	7	23
36	он был	2	22
37	ни в	2	22
38	в виде	2	22
39	об этом	4	22
40	в своей	1	21
41	вместе с	1	21
42	и что	4	20
43	в своем	3	20
44	для нас	1	20
45	прежде всего	4	20
46	не менее	1	19
47	в дальнейшем	5	19
48	м м	1	19
49	по поводу	2	19
50	тем не	1	19
51	таким образом	1	19
52	так и	5	19
53	и потому	1	19
54	как и	5	18
55	не мог	2	18
56	не в	2	18
57	не был	2	18
58	как это	3	18
59	с его	2	18
60	что и	2	17
61	в этой	4	17
62	и если	1	17
63	а не	1	17
64	все же	5	16
65	уже не	2	16
66	к тому	2	16
67	не есть	1	16
68	и все	4	16
69	того что	1	16
70	в котором	1	16
71	то же	5	15
72	несмотря на	5	15
73	в связи	1	15
74	до конца	2	15
75	но это	4	15
76	это было	1	15
77	все эти	3	14
78	раз и	2	14
79	тут же	2	14
80	и на	7	14
81	уже в	3	14
82	и как	3	14
83	во всем	1	13
84	в результате	1	13
85	с тем	2	13
86	так же	4	13
87	не просто	2	13
88	на этот	1	13
89	и от	1	13
90	что это	5	13
91	по себе	1	12
92	только на	1	12
93	и это	2	12
94	и по	1	12
95	в нем	4	12
96	то в	1	12
97	содержит в	1	12
98	всяком случае	1	12
99	ничего не	2	12
100	во всяком	1	12
101	связи с	1	12
102	при этом	3	11
103	в данном	2	11
104	хотя бы	1	11
105	в которой	1	11
106	я не	4	11
107	и здесь	2	11
108	в основном	3	11
109	еще в	2	11
110	все это	4	11
111	и о	1	11
112	конце концов	1	11
113	в самом	2	10
114	вот что	1	10
115	что все	2	10
116	в петербурге	1	10
117	можно было	1	10
118	отнюдь не	3	10
119	к нему	3	10
120	с ним	3	10
121	в россии	1	10
122	еще не	4	10
