N	3gram	Ircho_Kome	KFilosof
1	по отношению к	4	22
2	не может быть	1	11
3	с точки зрения	6	10
4	может быть только	1	7
5	к нему в	1	4
6	по отношению ко	2	4
7	ни в чем	2	4
8	в чем не	2	4
9	но и здесь	2	3
10	один и тот	3	3
11	в котором он	1	3
12	в котором и	1	3
13	не было бы	1	3
14	и в своей	1	3
15	и тот же	3	3
16	в нем и	1	3
17	и в этом	1	3
18	в том что	15	2
19	имеем в виду	2	2
20	она могла бы	1	2
21	тем не менее	3	2
22	в то же	11	2
23	от себя а	1	2
24	в соответствии с	1	2
25	то ни было	3	2
26	а не в	1	2
27	для нас важно	1	2
28	бы то ни	3	2
29	вопрос о том	1	2
30	то же время	11	2
31	в этот момент	1	1
32	сих пор не	2	1
33	в свою очередь	10	1
34	каком-то безвоздушном пространстве	1	1
35	что и для	1	1
36	вместе с тем	5	1
37	признать что в	1	1
38	переходя теперь к	1	1
39	равно как и	3	1
40	в конечном счете	2	1
41	что и она	1	1
42	во всяком случае	3	1
43	то что и	1	1
44	на то что	1	1
45	он должен быть	1	1
46	на задний план	1	1
47	то же самое	3	1
48	во всех его	1	1
49	а тот в	1	1
50	мы не найдем	1	1
51	он не может	1	1
52	в том же	2	1
53	друг против друга	1	1
54	в каком-то безвоздушном	1	1
55	для того чтобы	8	1
56	только в том	1	1
57	здесь мы видим	1	1
58	все же будет	1	1
59	а с точки	1	1
60	потому что в	2	1
61	в настоящее время	1	1
62	независимо от того	1	1
63	всю свою жизнь	1	1
64	к которой мы	1	1
65	едва ли кто-нибудь	1	1
66	одного и того	1	1
67	несмотря на то	1	1
68	любви к человеку	1	1
69	отступает на задний	1	1
70	в противном случае	1	1
71	как это было	1	1
72	до сих пор	12	1
73	все это может	1	1
74	чтобы дать в	1	1
75	может быть таким	1	1
76	я оказался в	1	1
77	на которого и	1	1
78	в первом случае	1	1
79	не отличаются от	1	1
80	в лучшем случае	1	1
81	вместо того чтобы	1	1
82	и тем самым	1	1
83	и в то	2	1
84	не было и	1	1
85	не менее в	1	1
86	и всякий другой	1	1
87	ничем не отличаются	1	1
88	если он не	1	1
89	в нем не	1	1
90	в зависимости от	1	1
91	и того же	1	1
92	но в этом	1	1
93	сказать в какой	1	1
94	и все же	2	1
95	во второй половине	1	1
96	но только не	1	1
97	к тому что	1	1
98	со стороны его	1	1
99	и в его	1	1
100	и совершенно не	1	1
101	что и в	2	1
102	же самое что	1	1
103	мы не можем	1	1
104	и не знает	1	1
105	и не должен	1	1
106	как этот человек	1	1
107	в основе своей	2	1
108	если бы не	1	1
