N	3gram	Voloshinov	UchenyiS
1	в конечном счете	3	4
2	не может быть	14	4
3	то ни было	2	3
4	бы то ни	3	3
5	в то же	6	3
6	то же время	6	3
7	в том что	9	2
8	в самом деле	10	2
9	не могут быть	4	2
10	до сих пор	3	2
11	хотя бы и	2	2
12	а между тем	1	2
13	в конце концов	2	2
14	то же самое	2	2
15	т.е в конечном	1	2
16	в этом отношении	4	2
17	но даже и	1	2
18	по крайней мере	1	2
19	в этом смысле	2	2
20	еще ничего не	1	2
21	быть не может	1	1
22	для него не	1	1
23	у нас в	2	1
24	имеем в виду	1	1
25	друг с другом	1	1
26	не может обойтись	1	1
27	сам по себе	4	1
28	в широком и	1	1
29	содержания и формы	1	1
30	на своем месте	1	1
31	по меньшей мере	2	1
32	органического единства и	1	1
33	может пройти мимо	1	1
34	в своей совокупности	1	1
35	на первый взгляд	1	1
36	и быть не	1	1
37	но в то	3	1
38	или по крайней	1	1
39	сводится к следующему	1	1
40	с одной стороны	2	1
41	но прежде всего	1	1
42	можно сказать что	5	1
43	равно как и	2	1
44	конечно не в	1	1
45	не было бы	1	1
46	на первый план	4	1
47	оно все же	1	1
48	него не существует	1	1
49	уже знакомый нам	1	1
50	только в этом	1	1
51	является одним из	1	1
52	т.е то что	1	1
53	и прежде всего	7	1
54	и в то	1	1
55	в данном случае	4	1
56	мы имеем в	1	1
57	что он и	1	1
58	все же остается	1	1
59	в этом случае	1	1
60	в сторону от	1	1
61	том что она	2	1
62	все же не	1	1
63	мы полагаем что	2	1
64	не может пройти	1	1
65	это было бы	1	1
66	конечно не приходится	2	1
