N	2gram	Tiupa_Anal	Sovremen
1	не может	3	17
2	может быть	19	12
3	точки зрения	3	12
4	таким образом	4	11
5	мы не	4	9
6	в каждом	4	8
7	в этом	19	7
8	и в	36	7
9	не можем	1	7
10	мы можем	2	6
11	в результате	6	6
12	как и	27	6
13	ничего не	3	6
14	и не	14	6
15	с точки	2	5
16	прежде всего	7	5
17	что же	1	5
18	каждом отдельном	2	5
19	все эти	2	5
20	и наконец	1	5
21	отдельном случае	2	5
22	в дальнейшем	2	4
23	а в	17	4
24	вопрос о	1	4
25	это не	4	4
26	не только	40	4
27	мы должны	1	4
28	с помощью	1	4
29	как бы	14	4
30	если мы	1	4
31	в зависимости	1	4
32	их в	1	4
33	жизни и	2	4
34	вместе с	3	4
35	в целом	8	4
36	в том	16	4
37	зависимости от	1	4
38	из них	4	4
39	и к	7	3
40	и потому	3	3
41	когда мы	2	3
42	уже в	5	3
43	то же	7	3
44	при этом	19	3
45	не в	9	3
46	а не	16	3
47	в системе	1	3
48	для нас	1	3
49	все это	5	3
50	в одном	4	3
51	у нас	1	3
52	а все	1	3
53	в конце	6	3
54	ведь это	1	3
55	и т.д	3	3
56	было бы	6	3
57	в первом	2	3
58	у всех	2	3
59	в этой	10	3
60	из двух	1	3
61	и все	3	3
62	на две	3	3
63	в себе	7	3
64	что она	3	3
65	одна из	6	3
66	состоит из	1	3
67	все же	6	3
68	при таком	1	3
69	отличается от	1	3
70	между собой	1	3
71	отнюдь не	7	3
72	в нем	3	3
73	но в	8	3
74	еще не	7	3
75	с этим	4	2
76	что в	15	2
77	этих двух	2	2
78	тем не	3	2
79	в самом	7	2
80	совершенно не	3	2
81	мы видим	1	2
82	значение в	2	2
83	каждая из	1	2
84	и что	2	2
85	отличие от	5	2
86	которой он	1	2
87	с одной	3	2
88	в отличие	5	2
89	такого рода	11	2
90	в свою	9	2
91	из этих	4	2
92	в его	12	2
93	во всяком	6	2
94	не будем	2	2
95	мы знаем	1	2
96	еще более	1	2
97	то ни	1	2
98	всего только	1	2
99	что это	1	2
100	что при	2	2
101	по мнению	1	2
102	из которых	2	2
103	что такое	1	2
104	может иметь	1	2
105	если же	1	2
106	говорить о	6	2
107	на его	3	2
108	на их	1	2
109	у него	2	2
110	не могут	2	2
111	со всеми	2	2
112	а на	2	2
113	свою очередь	7	2
114	и даже	12	2
115	как известно	3	2
116	самом деле	2	2
117	в которой	1	2
118	ни одна	1	2
119	к чему	2	2
120	тот или	3	2
121	который как	2	2
122	как мы	4	2
123	наконец не	1	2
124	тем же	1	2
125	и во	1	2
126	той же	7	2
127	могут быть	4	2
128	в таком	2	2
129	развития но	1	2
130	в нашем	4	2
131	уже не	9	2
132	и есть	1	2
133	что все	1	2
134	или иной	9	2
135	на этот	1	2
136	такой же	2	2
137	на этом	2	2
138	роль в	5	2
139	не менее	9	2
140	так сказать	2	2
141	же мы	1	2
142	приводит к	5	2
143	и по	3	2
144	времени и	1	2
145	в и	1	2
146	между всеми	1	2
147	свою собственную	1	2
148	в один	1	2
149	тот же	3	2
150	всяком случае	6	2
151	он должен	1	2
152	жизни но	4	1
153	во всех	4	1
154	все они	2	1
155	только одно	1	1
156	с ю	1	1
157	этого и	1	1
158	к которому	2	1
159	это и	4	1
160	несколько времени	1	1
161	с новой	1	1
162	его и	1	1
163	этом случае	1	1
164	реагирует на	1	1
165	в свое	4	1
166	и составляет	1	1
167	только не	3	1
168	а потому	1	1
169	во втором	4	1
170	и все-таки	1	1
171	человека в	3	1
172	но как	4	1
173	не является	5	1
174	в данном	12	1
175	до сих	1	1
176	только к	2	1
177	все его	2	1
178	при условии	2	1
179	еще раз	1	1
180	и более	1	1
181	осуществляется в	2	1
182	та же	1	1
183	имеют место	1	1
184	по преимуществу	3	1
185	вытекает из	1	1
186	в действительности	2	1
187	в такого	1	1
188	все три	3	1
189	от его	2	1
190	что иное	1	1
191	которых в	1	1
192	видим что	1	1
193	данном случае	11	1
194	не отразиться	1	1
195	не имеют	1	1
196	связи с	1	1
197	раз и	1	1
198	в самый	1	1
199	если в	3	1
200	очень часто	1	1
201	должно быть	1	1
202	мы уже	2	1
203	окажется всего	1	1
204	идет о	2	1
205	она не	3	1
206	в течение	1	1
207	да еще	1	1
208	но еще	1	1
209	позволяет ему	1	1
210	что уже	1	1
211	одной стороны	3	1
212	ничто не	1	1
213	мы имеем	5	1
214	и у	1	1
215	быть в	1	1
216	в другом	3	1
217	совсем не	1	1
218	несмотря на	2	1
219	отразиться на	1	1
220	в ней	2	1
221	на второй	1	1
222	человека как	1	1
223	хотя и	4	1
224	всей совокупности	1	1
225	с другой	10	1
226	и тогда	1	1
227	в этот	1	1
228	подчеркнуть что	1	1
229	с ним	2	1
230	это уже	1	1
231	он не	9	1
232	сказано если	1	1
233	и из	1	1
234	себя самого	1	1
235	и т.п	7	1
236	и той	2	1
237	одной и	2	1
238	какой бы	1	1
239	не будет	3	1
240	ни другое	1	1
241	что с	1	1
242	те же	3	1
243	между двумя	1	1
244	вследствие этого	1	1
245	ей не	1	1
246	а затем	2	1
247	в область	1	1
248	как у	3	1
249	поэтому в	2	1
250	совпадают с	1	1
251	только на	1	1
252	но они	2	1
253	и их	3	1
254	все что	2	1
255	обратном порядке	1	1
256	для своего	3	1
257	и при	1	1
258	в известном	2	1
259	на самом	1	1
260	здесь в	2	1
261	на которой	2	1
262	что каждый	1	1
263	эта система	1	1
264	можно было	2	1
265	и должно	1	1
266	но только	1	1
267	а при	1	1
268	и от	3	1
269	в начале	10	1
270	факт что	1	1
271	по отношению	9	1
272	стороны и	1	1
273	и само	1	1
274	и тот	1	1
275	а далее	1	1
276	и те	1	1
277	только в	9	1
278	тот факт	1	1
279	отличать от	1	1
280	этот вопрос	1	1
281	углом зрения	2	1
282	же время	7	1
283	и может	2	1
284	не случайно	13	1
285	все равны	1	1
286	так же	1	1
287	его в	4	1
288	собственно и	1	1
289	то она	1	1
290	отчасти в	1	1
291	к живой	1	1
292	отметить что	1	1
293	мы по	1	1
294	или как	1	1
295	свободы и	1	1
296	себе в	1	1
297	в большинстве	2	1
298	должен был	2	1
299	с человеком	1	1
300	в конечном	5	1
301	элементы и	1	1
302	в своих	3	1
303	не было	3	1
304	в предыдущей	1	1
305	с его	15	1
306	один из	6	1
307	всегда и	2	1
308	готовом виде	1	1
309	не более	2	1
310	если бы	2	1
311	иного типа	1	1
312	ни то	1	1
313	не знает	2	1
314	или в	4	1
315	под углом	1	1
316	а о	2	1
317	становится его	1	1
318	основаниях и	1	1
319	ни одного	1	1
320	в обратном	1	1
321	к одному	2	1
322	без остатка	2	1
323	промежуток времени	1	1
324	и еще	1	1
325	внешнего слоя	2	1
326	новой силой	1	1
327	в гости	1	1
328	оно приобретает	1	1
329	как его	1	1
330	в эту	2	1
331	же природы	2	1
332	живой жизни	1	1
333	выбора не	1	1
334	но эта	2	1
335	дело в	3	1
336	крайней мере	5	1
337	известном смысле	2	1
338	одного из	4	1
339	же как	1	1
340	по существу	1	1
341	сказать что	2	1
342	дальнейшем мы	1	1
343	такой фактор	1	1
344	при одном	1	1
345	жизни как	4	1
346	за вычетом	1	1
347	мы надеемся	1	1
348	так называемое	1	1
349	именно в	4	1
350	уже на	1	1
351	и до	2	1
352	времени не	1	1
353	конечном счете	5	1
354	именно таковы	1	1
355	это делает	1	1
356	принадлежит и	1	1
357	обратимся к	2	1
358	отношению к	9	1
359	одной из	6	1
360	же мере	1	1
361	действительную роль	1	1
362	случае не	1	1
