N	2gram	Losev_Vlad	Stilisti
1	и в	56	42
2	как бы	5	30
3	не только	35	28
4	прежде всего	5	22
5	хотя бы	5	18
6	то же	10	16
7	но и	26	16
8	и не	33	14
9	может быть	12	13
10	не может	12	13
11	как и	7	12
12	что мы	2	11
13	мы уже	8	11
14	точки зрения	4	11
15	в этом	30	10
16	в себе	5	10
17	и как	7	10
18	мы должны	3	10
19	как мы	17	10
20	отнюдь не	3	10
21	мы не	2	9
22	при этом	5	9
23	все же	11	9
24	язык и	1	9
25	то что	30	9
26	для того	4	9
27	в то	15	9
28	таким образом	6	8
29	так как	11	8
30	с тем	4	8
31	и это	4	8
32	в ней	5	8
33	тем самым	2	8
34	что же	11	8
35	с его	15	8
36	ничего не	4	8
37	и на	7	7
38	так и	11	7
39	мы можем	1	7
40	только в	11	7
41	в которой	8	7
42	и его	12	7
43	потому что	16	7
44	того чтобы	4	7
45	другими словами	1	7
46	и тем	2	7
47	же время	7	7
48	было бы	7	7
49	и той	1	7
50	той же	6	7
51	и от	6	7
52	а не	5	7
53	никогда не	15	7
54	во всех	4	6
55	в его	18	6
56	не в	12	6
57	в нем	7	6
58	в конце	22	6
59	и так	3	6
60	на его	7	6
61	бы в	1	6
62	в свою	3	6
63	с помощью	1	6
64	если б	1	6
65	одно и	1	6
66	или как	1	6
67	когда мы	2	6
68	в этой	4	6
69	мы будем	4	6
70	в области	3	6
71	в той	2	5
72	в самом	3	5
73	связанных с	1	5
74	то есть	5	5
75	уже в	9	5
76	те же	2	5
77	самом деле	1	5
78	но все	3	5
79	и с	27	5
80	но в	19	5
81	тому что	1	5
82	вместе с	9	5
83	своей жизни	5	5
84	а с	5	5
85	мы увидим	4	5
86	как это	11	5
87	а в	20	5
88	у которого	3	5
89	же самое	1	5
90	в нашем	5	5
91	и то	13	5
92	независимо от	1	5
93	и наконец	2	5
94	мы видели	1	5
95	одной и	1	4
96	и к	10	4
97	один из	4	4
98	всех своих	2	4
99	что это	2	4
100	на него	3	4
101	что такое	3	4
