N	2gram	Tiupa_Narr	FransuaR
1	и в	22	367
2	то есть	15	209
3	в этом	23	112
4	и т.п	11	108
5	и не	34	101
6	таким образом	5	100
7	и его	12	99
8	в его	12	98
9	прежде всего	7	92
10	не только	50	87
11	мы уже	1	85
12	но и	39	84
13	как бы	11	82
14	все эти	3	79
15	вовсе не	2	77
16	в романе	3	77
17	как и	15	76
18	в нем	9	75
19	но в	10	75
20	и на	5	72
21	в том	20	71
22	как мы	3	71
23	то же	12	66
24	и все	7	66
25	в этой	8	65
26	так и	12	65
27	и с	3	64
28	в сущности	2	64
29	в то	9	63
30	во время	2	63
31	во всех	2	62
32	все это	1	62
33	же время	7	55
34	что в	6	52
35	в своем	7	51
36	только в	23	48
37	так как	1	46
38	и до	1	46
39	том что	15	45
40	в году	2	44
41	то что	14	41
42	у него	13	40
43	жизни и	7	40
44	в самом	8	38
45	точки зрения	8	37
46	в ней	5	37
47	с его	6	36
48	о том	5	35
49	он был	1	35
50	может быть	24	35
51	сказать что	5	34
52	и даже	4	34
53	в себе	14	34
54	до нас	1	34
55	мы видели	1	32
56	в конце	4	32
57	он не	8	32
58	для него	8	32
59	до конца	2	31
60	в литературе	8	31
61	в своей	8	31
62	нового времени	2	31
63	так же	2	30
64	но он	2	30
65	один из	8	30
66	потому что	7	30
67	той же	2	30
68	и потому	2	30
69	никогда не	8	30
70	в одном	5	29
71	еще не	6	29
72	связи с	3	29
73	в этих	3	29
74	что он	7	29
75	не может	16	29
76	в особенности	2	29
77	при этом	31	29
78	его в	1	29
79	не в	12	29
80	и к	7	28
81	из них	4	28
82	также и	4	28
83	в той	4	28
84	в основе	1	28
85	здесь и	1	28
86	сих пор	3	27
87	до сих	3	27
88	том числе	1	27
89	все же	10	27
90	по своему	3	27
91	роль в	4	27
92	в эпизоде	4	27
93	все они	1	26
94	на самом	1	25
95	в области	4	25
96	с помощью	2	25
97	но это	2	25
98	мира и	2	25
99	он и	2	24
100	но не	7	24
101	например в	2	24
102	в ее	4	24
103	и у	4	24
104	и от	3	24
105	как в	9	24
106	того чтобы	7	24
107	времени и	9	24
108	в частности	23	24
109	в большинстве	1	24
110	отношение к	2	24
111	большинстве случаев	1	23
112	так сказать	4	23
113	своего рода	17	23
114	и здесь	3	23
115	с ним	6	23
116	и для	4	23
117	в их	1	23
118	к нему	5	23
119	это не	6	23
120	еще и	1	23
121	даже в	1	22
122	не было	3	22
123	а в	19	22
124	границы между	2	22
125	тем что	1	22
126	что и	3	22
127	там где	1	22
128	вместе с	3	22
129	связь с	1	22
130	и о	4	22
131	в своих	2	21
132	именно в	5	21
133	в отношении	1	21
134	уже в	1	21
135	и как	4	21
136	есть в	1	21
137	в качестве	27	21
138	одним из	2	21
139	в себя	3	21
140	что это	4	21
141	ни в	1	21
142	и наконец	2	21
143	в виду	2	20
144	в связи	3	20
145	в значительной	1	20
146	одной из	2	20
