N	4gram	Propp_Isto	Literetu
1	состоит в том что	1	8
2	с этой точки зрения	3	5
3	бы то ни было	1	4
4	в полном соответствии с	1	3
5	с одной стороны и	1	3
6	но с другой стороны	1	3
7	не только в том	1	2
8	дело не только в	1	2
9	и вместе с ней	1	1
10	мысль о том что	1	1
11	в этом и нет	1	1
12	с другой стороны у	1	1
13	всегда так или иначе	1	1
14	и не может быть	1	1
15	вместе с тем она	1	1
16	с другой стороны он	2	1
17	начинается с того что	3	1
18	и вместе с тем	2	1
19	все новые и новые	2	1
20	в том что он	1	1
21	а в том чтобы	1	1
22	между мужчиной и женщиной	1	1
23	этом и нет необходимости	1	1
24	во всяком случае в	1	1
25	и тем более не	1	1
