N	3gram	Ircho_Kome	EvropaiE
1	с точки зрения	6	16
2	в то же	11	15
3	то же время	11	14
4	в отношении к	1	12
5	и в то	2	8
6	с одной стороны	4	8
7	в том что	15	6
8	одной стороны и	2	6
9	так же как	1	5
10	этой точки зрения	1	5
11	для того чтобы	8	5
12	с этой точки	1	5
13	не только в	1	4
14	то ни было	3	4
15	бы то ни	3	4
16	и в этом	1	4
17	друг с другом	3	3
18	можно было бы	1	3
19	в известной степени	2	3
20	во всяком случае	3	3
21	можно сказать что	1	3
22	в этом отношении	2	3
23	так и в	1	2
24	а тем более	1	2
25	и в частности	1	2
26	по своему характеру	1	2
27	мы можем сказать	1	2
28	как мы видели	1	2
29	не может быть	1	2
30	на то что	1	2
31	по себе не	1	2
32	по сравнению с	3	2
33	иначе обстоит дело	3	2
34	только в том	1	2
35	друг от друга	1	2
36	во второй половине	1	2
37	в свою очередь	10	2
38	с другой стороны	2	2
39	не более чем	1	2
40	и не имеет	1	2
41	не говоря уже	2	2
42	и т д	1	1
43	хотя и не	2	1
44	в противном случае	1	1
45	в одной из	1	1
46	именно потому что	2	1
47	тому же все	1	1
48	именно к этой	1	1
49	но и во	1	1
50	чуть ли не	2	1
51	мы находим у	1	1
52	мы знаем к	1	1
53	речь идет о	3	1
54	в лучшем случае	1	1
55	не сводится к	1	1
56	в других случаях	1	1
57	мы не можем	1	1
58	вместо того чтобы	1	1
59	к тому что	1	1
60	но и в	1	1
61	том числе и	2	1
62	глаза на то	1	1
63	можем сказать что	1	1
64	в полной мере	1	1
65	к ней в	1	1
66	и тем более	2	1
67	и тем самым	1	1
68	то время как	3	1
69	в соответствии с	1	1
70	как мы не	1	1
71	которое занимают в	1	1
72	в отличие от	3	1
73	что в смысле	1	1
74	или вовсе не	1	1
75	несмотря на то	1	1
76	и того же	1	1
77	тех случаях когда	1	1
78	один и тот	3	1
79	и в отношении	1	1
80	усиливается тем что	1	1
81	мы увидим что	1	1
82	в силу этого	1	1
83	на то чтобы	1	1
84	в связи с	3	1
85	в некоторых случаях	1	1
86	в том же	2	1
87	и тот же	3	1
88	далеко не в	1	1
89	в том числе	2	1
90	они относятся к	1	1
91	в свою пользу	1	1
92	закрывать глаза на	1	1
93	ставить вопрос о	1	1
94	в нем и	1	1
95	говоря уже о	2	1
96	в то время	3	1
97	чем в других	1	1
98	более или менее	2	1
99	принадлежат к числу	1	1
100	независимо от того	1	1
101	на этот раз	2	1
102	на этот вопрос	1	1
103	в течение которого	1	1
104	на свой счет	1	1
105	в тех случаях	1	1
106	к тому же	9	1
107	одного и того	1	1
108	как бы то	2	1
