N	4gram	Bakhtin_Pr	DiskursI
1	в то же время	3	8
2	с одной стороны и	1	5
3	дело в том что	1	5
4	не говоря уже о	1	3
5	и не может быть	1	2
6	и в то же	2	2
7	бы то ни было	2	2
8	трагическое и комическое суть	1	1
9	форма осуществляется определенными композиционными	1	1
10	именно в том что	1	1
11	диалог актовое членение и	1	1
12	в равной мере и	1	1
13	и проч но трагическое	1	1
14	не что иное как	1	1
15	приемы композиционного упорядочения словесного	1	1
16	в том и в	1	1
17	и трагедии как разновидностях	1	1
18	и в том и	1	1
19	и комическое суть архитектонические	1	1
20	формах комедии и трагедии	1	1
21	формам например жанровым соответствуют	1	1
22	той или иной области	1	1
23	том и в другом	1	1
24	а также и в	1	1
25	композиционным формам например жанровым	1	1
26	имея при этом в	1	1
27	сами по себе не	1	1
28	драматической имея при этом	1	1
29	но в большинстве случаев	1	1
30	формы завершения конечно можно	1	1
31	можно говорить и о	2	1
32	конечно можно говорить и	1	1
33	разновидностях драматической имея при	1	1
34	иметь в виду что	1	1
35	этом в виду приемы	1	1
36	композиционных формах комедии и	1	1
37	и о композиционных формах	1	1
38	ни в чем не	2	1
39	позицию по отношению к	3	1
40	осуществляется определенными композиционными приемами	1	1
41	проч но трагическое и	1	1
42	ни к чему не	1	1
43	о композиционных формах комедии	1	1
44	чего бы то ни	1	1
45	композиционного упорядочения словесного материала	1	1
46	важнейшим композиционным формам например	1	1
47	для науки и для	1	1
48	должны быть отнесены к	1	1
49	может быть признана вполне	1	1
50	завершения конечно можно говорить	1	1
51	виду приемы композиционного упорядочения	1	1
52	членение и проч но	1	1
53	композиционная форма диалог актовое	1	1
54	комедии и трагедии как	1	1
55	драма композиционная форма диалог	1	1
56	только по отношению к	4	1
57	комическое суть архитектонические формы	1	1
58	но оно может быть	1	1
59	мы имеем дело с	1	1
60	трагедии как разновидностях драматической	1	1
61	в виду приемы композиционного	1	1
62	архитектонические формы завершения конечно	1	1
63	но трагическое и комическое	1	1
64	не может быть признана	1	1
65	во всех его разновидностях	2	1
66	говорить и о композиционных	1	1
67	архитектоническая форма осуществляется определенными	1	1
68	форма диалог актовое членение	1	1
69	как разновидностях драматической имея	1	1
70	актовое членение и проч	1	1
71	суть архитектонические формы завершения	1	1
72	не в том что	1	1
73	при этом в виду	1	1
74	есть не что иное	1	1
