N	2gram	Potebnia_M	Hudozhes
1	то есть	53	26
2	в мире	3	24
3	и в	48	23
4	не только	32	20
5	состоит в	1	20
6	в том	47	20
7	при этом	6	19
8	может быть	46	19
9	и не	28	16
10	тогда как	8	15
11	но и	30	14
12	внутренней речи	1	14
13	а не	22	13
14	но не	8	13
15	а в	14	13
16	я в	1	13
17	в себе	26	13
18	в этом	19	12
19	то же	35	12
20	так и	17	12
21	и его	4	12
22	сводится к	1	11
23	как бы	10	11
24	точки зрения	4	11
25	в его	6	11
26	по отношению	12	10
27	но в	8	10
28	отношению к	10	10
29	своего рода	1	9
30	в душе	17	9
31	том что	28	9
32	с другой	8	9
33	в искусстве	6	9
34	не в	24	9
35	не может	18	9
36	себя в	1	8
37	в области	3	8
38	в то	16	8
39	что в	30	7
40	в самом	11	7
41	только в	29	7
42	в своей	2	7
43	и т.п	1	7
44	же время	8	7
45	отличие от	2	7
46	я и	3	7
47	не столько	2	7
48	как это	1	7
49	лишь в	2	7
50	отношение к	2	7
51	другой стороны	4	6
52	более или	6	6
53	уже не	11	6
54	можно сказать	4	6
55	с его	1	6
56	в ее	3	6
57	а также	1	6
58	или менее	6	6
59	в нем	16	6
60	искусства в	1	6
61	кто говорит	1	5
62	ни в	2	5
63	в виду	1	5
64	не на	1	5
65	что он	8	5
66	в художественном	1	5
67	не менее	9	5
68	не является	1	5
69	того чтобы	5	5
70	для того	8	5
71	со стороны	4	5
72	я с	1	5
73	для него	14	5
74	того что	24	5
75	прежде всего	6	5
76	с другими	9	5
77	в их	2	5
78	или иначе	1	5
79	говоря словами	2	5
80	между ними	4	5
81	я есть	1	5
82	тем самым	11	5
83	то что	37	5
84	могут быть	6	5
85	место в	4	5
86	порядка в	1	4
87	для себя	3	4
88	так или	2	4
89	не следует	6	4
90	например в	9	4
91	значении этого	1	4
92	отношения к	2	4
93	в слове	41	4
94	из которого	1	4
95	еще не	9	4
96	в данном	3	4
97	языка в	6	4
98	в воображении	1	4
99	входит в	3	4
100	говорить о	6	4
101	и т.д	1	4
102	сказать что	8	4
103	к которому	1	4
104	в своем	6	4
105	к тому	9	4
106	во времени	2	4
107	и то	13	4
108	это не	2	4
109	его в	6	4
110	не знает	4	4
111	и как	8	4
112	в этих	2	4
113	так в	4	4
114	в себя	1	4
115	а только	7	4
116	произведения искусства	2	4
117	между тем	19	4
118	он не	4	4
119	и тем	8	4
120	и что	13	4
121	в форме	2	4
122	далеко не	5	4
123	со своей	2	4
124	и о	6	4
125	однако в	1	4
126	художественного произведения	6	4
127	в силу	7	4
128	хотя и	3	4
129	в той	2	3
130	и к	5	3
131	к действительности	1	3
132	на деле	8	3
133	человеческой жизни	3	3
134	и на	5	3
135	с этой	2	3
136	даже в	3	3
137	была бы	5	3
138	говорит и	1	3
139	подобно тому	3	3
140	если бы	20	3
141	и сам	1	3
142	есть в	6	3
143	произведений искусства	2	3
144	а именно	1	3
145	одно слово	6	3
146	в жизни	1	3
147	как и	22	3
148	к его	2	3
149	их в	3	3
150	никто не	5	3
151	себя и	4	3
152	тем не	7	3
153	художественное произведение	6	3
154	и того	2	3
155	и состоит	2	3
156	сводятся к	2	3
157	к нему	7	3
158	потому что	82	3
159	одной стороны	4	3
160	искусства и	3	3
161	как совокупность	2	3
162	отношении к	3	3
163	в одном	4	3
164	другого в	2	3
165	известной степени	1	3
166	мог бы	1	3
167	от себя	1	3
168	и внешней	1	3
169	из этих	10	3
170	в системе	2	3
171	к содержанию	4	3
172	он должен	2	3
173	таким образом	24	3
174	на языке	2	3
175	человека к	1	3
176	по преимуществу	1	3
177	с одной	8	3
178	в произведении	4	3
179	в художественной	1	3
180	с точки	3	3
181	внешнего мира	1	3
182	и притом	3	3
183	связи с	6	3
184	но он	3	3
185	в таком	6	3
186	как говорит	1	3
187	в связи	1	3
188	или даже	1	3
189	по своему	2	3
190	во всех	1	3
191	однако если	1	3
192	тому как	6	3
193	субъекта и	1	3
194	принадлежит к	1	3
195	в свою	6	3
196	с языком	3	3
197	в которой	9	3
198	не будет	4	3
199	одно и	7	3
200	говоря о	5	3
201	в пределах	1	3
202	этом смысле	2	3
203	того же	5	3
204	человека с	2	3
205	что можно	1	3
206	одного и	2	3
207	слова в	7	3
208	чем и	1	3
209	в целом	5	3
210	и ее	1	3
211	ведет к	1	2
212	образом и	3	2
213	однако с	1	2
214	один из	7	2
215	таковы например	1	2
216	и который	1	2
217	о жизни	1	2
218	об искусстве	1	2
219	связей с	1	2
220	с ним	10	2
221	слуха и	1	2
222	из которых	1	2
223	не как	3	2
224	одно из	6	2
225	знаков в	1	2
226	не признает	1	2
227	том и	1	2
228	по себе	26	2
229	в них	9	2
230	оно не	7	2
231	самом деле	5	2
232	на мир	2	2
233	заключается в	2	2
234	на свою	2	2
235	все эти	1	2
236	к более	1	2
237	именно в	5	2
238	значения и	1	2
239	в порядке	1	2
240	лично для	1	2
241	значительной степени	2	2
242	с ними	6	2
243	в одно	8	2
244	как в	17	2
