N	3gram	Tiupa_Lite	PoTuStor
1	с точки зрения	4	6
2	на самом деле	1	4
3	по ту сторону	1	4
4	с самого начала	1	4
5	до сих пор	1	3
6	не может быть	5	3
7	в большинстве случаев	1	3
8	по крайней мере	2	3
9	может быть это	4	3
10	во всяком случае	2	3
11	все то что	1	2
12	в конечном счете	8	2
13	а потому и	1	2
14	по аналогии с	3	2
15	о том что	3	2
16	не могут быть	1	2
17	в самом деле	1	2
18	не нуждается в	1	2
19	и в этом	1	2
20	быть не может	1	1
21	в каком отношении	1	1
22	все же в	2	1
23	в том что	15	1
24	и вот она	1	1
25	а то и	2	1
26	мы не можем	1	1
27	в этом и	1	1
28	дело в том	2	1
29	мы узнаем о	1	1
30	а в конце	1	1
31	той или иной	1	1
32	вместе с ним	1	1
33	этом своем качестве	1	1
34	подобно тому как	4	1
35	во многих случаях	1	1
36	и только здесь	1	1
37	можно было бы	2	1
38	еще в году	4	1
39	и прежде всего	4	1
40	в данном случае	6	1
41	в этом своем	1	1
42	как мы знаем	1	1
43	как это было	1	1
44	быть может наиболее	1	1
45	герой нашего времени	1	1
46	в себя и	2	1
47	то ни было	1	1
48	и того же	1	1
49	этой точки зрения	3	1
50	один из моментов	1	1
51	в свое время	1	1
52	на первый взгляд	1	1
53	с этой точки	3	1
54	нуждается в объекте	1	1
55	а потому не	1	1
56	из того же	1	1
57	это приводит к	1	1
58	как один из	1	1
59	во внешнем мире	1	1
60	для того чтобы	1	1
61	однако в рамках	1	1
62	а с другой	2	1
63	с одной стороны	8	1
64	то что я	1	1
65	та сила которая	1	1
66	в этом отношении	5	1
67	на всю жизнь	1	1
68	бы то ни	1	1
69	и только то	1	1
70	но даже и	1	1
71	и др к	1	1
72	имеем дело с	1	1
73	и т.п наконец	1	1
74	одного и того	1	1
75	в связи с	4	1
