N	3gram	Voloshinov	VrazhdaK
1	и все же	1	5
2	то же время	6	4
3	в то же	6	4
4	в том что	9	2
5	не может быть	14	2
6	но в то	3	2
7	он не только	2	2
8	с точки зрения	15	2
9	что он сам	2	1
10	что к этому	1	1
11	не было бы	1	1
12	но при этом	1	1
13	в котором он	1	1
14	в этот период	3	1
15	в свою очередь	4	1
16	в глубине души	1	1
17	а между тем	1	1
18	лет тому назад	1	1
19	с помощью которых	4	1
20	в то время	1	1
21	в конце концов	2	1
22	одно и то	1	1
23	– это и	2	1
24	равно как и	2	1
25	во время сна	1	1
26	так же как	1	1
27	быть и речи	3	1
28	и в то	1	1
29	по крайней мере	1	1
30	и никогда не	1	1
31	– одна из	1	1
32	он и не	1	1
33	в этом смысле	2	1
34	заключается в том	2	1
35	а с другой	2	1
36	имеется в виду	1	1
37	не только не	1	1
38	о том что	3	1
39	его в том	1	1
40	но мы знаем	2	1
41	чтобы разобраться в	2	1
42	до сих пор	3	1
43	в высшей степени	6	1
44	мы знаем о	1	1
45	что как раз	1	1
46	его отношение к	2	1
47	в том же	1	1
48	или по крайней	1	1
49	в каком направлении	1	1
50	во всяком случае	8	1
51	а следовательно и	2	1
52	тем не менее	4	1
53	как бы в	1	1
54	едва ли не	1	1
55	на первый план	4	1
56	это и есть	2	1
57	но в целом	1	1
58	на первый взгляд	1	1
59	и то же	1	1
60	в этом отношении	4	1
61	и что он	1	1
62	все же не	1	1
63	и не может	3	1
64	но оказалось что	1	1
65	ответ на это	1	1
66	может быть и	6	1
