N	3gram	Voloshinov	VrazhdaK
1	в связи с	1	3
2	в том что	1	2
3	в этот момент	1	2
4	не может быть	3	2
5	с точки зрения	6	2
6	в году в	1	2
7	все же в	1	1
8	во время сна	1	1
9	так же как	2	1
10	в нашей статье	1	1
11	по крайней мере	3	1
12	шаг за шагом	1	1
13	что в этой	1	1
14	в этом смысле	3	1
15	а с другой	1	1
16	о том что	2	1
17	но мы знаем	1	1
18	до сих пор	3	1
19	в высшей степени	1	1
20	его отношение к	1	1
21	в каком направлении	1	1
22	говорить об их	1	1
23	во всяком случае	3	1
24	то что я	1	1
25	не лучше ли	1	1
26	на первый план	1	1
27	связи с этим	1	1
28	это и есть	1	1
29	на первый взгляд	1	1
30	в этом отношении	1	1
31	и что он	1	1
32	и в этом	2	1
