N	2gram	Tiupa_Lite	Poddanst
1	не только	29	17
2	и в	26	14
3	и не	19	12
4	в области	5	11
5	в этом	19	10
6	в отношении	2	10
7	в том	22	9
8	то же	13	9
9	в качестве	21	9
10	но в	5	9
11	хотя бы	3	8
12	в пределах	4	8
13	только в	8	7
14	же время	12	7
15	в то	12	7
16	в ней	4	6
17	xix века	6	6
18	быть может	2	6
19	было бы	4	6
20	но и	25	6
21	может быть	24	5
22	отношении к	2	5
23	россии в	1	5
24	с другой	11	5
25	не в	11	5
26	и о	1	5
27	в которых	1	5
28	а я	2	5
29	в русской	13	4
30	и к	1	4
31	что в	7	4
32	и политического	1	4
33	в котором	1	4
34	тех кто	3	4
35	и если	1	4
36	и потому	1	4
37	не может	10	4
38	а в	5	4
39	то что	14	4
40	как бы	8	4
41	если бы	1	4
42	а также	5	4
43	в своем	12	4
44	же в	6	4
45	том что	19	4
46	в сравнении	2	3
47	наряду с	1	3
48	в себе	8	3
49	сравнении с	2	3
50	с одной	9	3
51	мы не	5	3
52	это не	4	3
53	одной стороны	8	3
54	для того	2	3
55	между тем	2	3
56	с точки	4	3
57	с тем	2	3
58	потому что	5	3
59	прежде всего	14	3
60	вслед за	1	3
61	россия в	1	3
62	сводится к	4	3
63	тем самым	8	3
64	в россии	2	3
65	но не	8	3
66	могут быть	4	3
67	я и	10	3
68	и т	2	3
69	и как	2	3
70	столь же	5	3
71	россии как	2	3
72	в нем	4	3
73	и без	1	3
74	тот же	1	3
75	точки зрения	8	3
76	во всех	4	2
77	в перспективе	1	2
78	является в	1	2
79	мира нового	1	2
80	и других	4	2
81	в полной	1	2
82	и мы	2	2
83	ней не	1	2
84	если в	2	2
85	более чем	4	2
86	пути в	8	2
87	и вот	2	2
88	в значительной	1	2
89	том числе	2	2
90	хх века	12	2
91	для тех	1	2
92	и весьма	2	2
93	в ее	1	2
94	и тем	4	2
95	того что	7	2
96	никак не	2	2
97	как раз	6	2
98	в недрах	1	2
99	в частности	18	2
100	в его	9	2
101	xix веке	1	2
102	в глубинах	1	2
103	не о	1	2
104	а не	28	2
105	нужно было	1	2
106	для нас	3	2
107	говорить о	1	2
108	в тот	1	2
109	для них	2	2
110	может и	1	2
111	где в	2	2
112	и есть	3	2
113	стороны и	1	2
114	в виде	1	2
115	в них	1	2
116	творчества и	1	2
117	не было	5	2
118	и с	4	2
119	в начале	4	2
120	как на	3	2
121	в общем	1	2
122	полной мере	1	2
123	мысль о	2	2
124	которое в	1	2
125	в сфере	7	2
126	духа и	1	2
127	именно в	1	2
128	должно быть	1	2
129	в жизни	7	2
130	отношения к	1	2
131	во всей	1	2
132	есть нечто	1	2
133	в силу	4	2
134	одна из	8	2
135	между прочим	1	2
136	в мире	9	2
137	и достоевского	1	2
138	например в	3	2
139	не менее	11	2
140	в ряду	1	2
141	где бы	2	2
142	не столько	8	2
143	отнюдь не	4	2
144	со стороны	6	2
145	да и	3	2
146	исключительно в	1	2
147	в эту	1	2
148	культуры в	5	2
149	из них	5	2
150	есть не	2	2
151	тем более	2	2
152	есть в	1	2
153	и пусть	1	2
154	в е	3	2
155	переход от	1	2
156	не к	3	2
157	бы ни	1	2
158	в статье	2	2
159	в xix	1	2
160	ранее в	1	1
161	представить себе	1	1
162	нет ничего	2	1
163	как к	4	1
164	русской культуре	1	1
165	на россию	1	1
166	во всяком	3	1
167	могли бы	1	1
168	к истине	1	1
169	ни к	1	1
170	не есть	2	1
171	и то	3	1
172	но как	3	1
173	мы можем	1	1
174	к победе	1	1
175	а с	2	1
176	в данном	7	1
177	что от	1	1
178	с его	5	1
179	за то	2	1
180	в годы	3	1
181	и более	1	1
182	вместе с	5	1
183	и здесь	1	1
184	в жертву	1	1
185	и правит	1	1
186	россии не	1	1
187	основная задача	1	1
188	до тех	2	1
189	и на	5	1
190	отличие от	6	1
191	в самом	4	1
192	мир в	5	1
193	вопрос о	1	1
194	они не	1	1
195	в исторической	1	1
196	на территории	1	1
197	восходит к	2	1
198	в момент	1	1
199	только что	1	1
200	такова же	1	1
201	усомниться в	1	1
202	в психологии	1	1
203	в наши	1	1
204	интеллигенции и	1	1
205	к этой	2	1
206	о явлениях	1	1
207	переходит в	1	1
208	в основном	1	1
209	государства в	1	1
210	мира к	1	1
211	и который	1	1
212	прямо на	1	1
213	она не	1	1
214	уже в	7	1
215	должна быть	3	1
216	пор пока	2	1
