N	3gram	Kanaev_Sov	Komedia
1	в том что	1	29
2	в то же	1	16
3	то же время	1	16
4	до сих пор	1	16
5	в самом деле	1	13
6	в свою очередь	2	10
7	по отношению к	1	9
8	с одной стороны	1	9
9	бы то ни	1	7
10	то ни было	1	7
11	на этот раз	1	7
12	с самого начала	3	7
13	во всяком случае	2	7
14	в отличие от	2	6
15	в связи с	1	6
16	с точки зрения	5	6
17	то же самое	2	5
18	тем не менее	2	5
19	и тот же	1	4
20	в обоих случаях	1	4
21	в этой области	1	4
22	но все же	1	4
23	так как он	2	4
24	можно было бы	1	4
25	друг с другом	2	3
26	вместе с ним	1	3
27	равно как и	1	3
28	один и тот	1	3
29	в новое время	1	3
30	одной стороны и	1	2
31	а может быть	1	2
32	в конечном счете	1	2
33	к одному и	1	2
34	в этом смысле	1	2
35	сих пор в	1	2
36	в зависимости от	4	2
37	и в то	1	2
38	так же как	1	2
39	в этом случае	1	2
40	представление о том	1	2
41	и все же	1	2
42	по его мнению	1	2
43	одна из них	1	2
44	что в каждом	1	1
45	тот или другой	1	1
46	но все эти	1	1
47	в и в	1	1
48	как и во	1	1
49	в первом же	1	1
50	не дает нам	1	1
51	не может быть	4	1
52	до наших дней	1	1
53	нечто совсем иное	1	1
54	и во всех	1	1
55	друг на друга	1	1
56	к этому финалу	1	1
57	сказать несколько слов	1	1
58	может быть только	1	1
59	в том случае	1	1
60	может быть таким	1	1
61	все же это	1	1
62	по аналогии с	1	1
63	и прежде всего	1	1
64	мы помним что	1	1
65	в данном случае	1	1
66	дело если бы	1	1
67	мы уже знаем	1	1
68	в одном случае	1	1
69	в начале нашего	1	1
70	таким образом из	1	1
71	и не может	1	1
72	и в этом	1	1
73	все же в	1	1
74	той или иной	1	1
75	можем ли мы	1	1
76	по крайней мере	1	1
77	как и вся	1	1
78	в свое время	1	1
79	же самое что	1	1
80	может быть в	1	1
81	но уже в	1	1
82	ни в один	1	1
83	со всеми ее	1	1
84	с новой силой	1	1
85	в настоящее время	2	1
86	на этот вопрос	1	1
87	он может быть	1	1
88	не было бы	1	1
89	и до сих	1	1
90	и еще более	1	1
91	не что иное	1	1
92	и та же	1	1
93	легла в основу	1	1
94	же мере в	1	1
95	и для ее	1	1
96	и ничего не	1	1
97	том что эта	1	1
98	одна и та	1	1
99	но только не	1	1
100	что иное как	1	1
101	все это делает	1	1
102	мы не можем	6	1
