N	4gram	Bakhtin_Pr	Narrotol
1	в то же время	10	8
2	дело в том что	1	3
3	той мере в какой	1	2
4	в той мере в	1	2
5	по отношению к ним	1	2
6	и не может быть	1	2
7	и в то же	3	2
8	одного и того же	1	2
9	в той или иной	2	2
10	в ней не только	1	1
11	с этой точки зрения	1	1
12	отношению к себе самому	1	1
13	точке соприкосновения разных сознаний	1	1
14	но для того чтобы	1	1
15	по природе своей не	1	1
16	до сих пор еще	1	1
17	так и со стороны	1	1
18	но все же не	1	1
19	жизни и смерти каждого	1	1
20	в точке соприкосновения разных	1	1
21	а в то же	2	1
22	в данном случае в	1	1
23	бы то ни было	2	1
24	двух или нескольких сознаний	1	1
25	позицию по отношению к	2	1
26	в то время как	2	1
27	по отношению к себе	1	1
28	той или иной степени	2	1
29	и в художественной литературе	1	1
30	в том числе и	1	1
31	к себе самому и	1	1
32	в том что он	4	1
33	в своем собственном мире	1	1
34	по отношению к слову	1	1
35	в том что на	1	1
36	рождается в точке соприкосновения	1	1
37	в пределы одного сознания	3	1
38	от первого лица в	1	1
39	и рождается в точке	1	1
40	какой бы то ни	1	1
41	не в том что	1	1
