N	4gram	Trubetskoy	EvropaiE
1	в то же время	2	14
2	равноценности и качественной несоизмеримости	2	5
3	с этой точки зрения	1	5
4	бы то ни было	3	4
5	всех культур и народов	1	3
6	культур и народов земного	1	3
7	всеми или частью представителей	1	2
8	частью представителей данного народа	1	2
9	и народов земного шара	1	2
10	дают истинного решения проблемы	1	2
11	не дают истинного решения	1	2
12	и качественной несоизмеримости всех	1	2
13	нечто абсолютно высшее и	1	2
14	заключается в том что	3	2
15	решения проблемы и что	1	2
16	то ни было компромиссов	1	2
17	принцип равноценности и качественной	1	2
18	абсолютно высшее и совершенное	1	2
19	качественной несоизмеримости всех культур	1	2
20	или частью представителей данного	1	2
21	несоизмеримости всех культур и	1	2
22	и все другие народы	1	2
23	каких бы то ни	1	2
24	истинного решения проблемы и	1	2
25	того чтобы ответить на	1	1
26	арийцам не дают истинного	1	1
27	как бы то ни	2	1
28	насколько поклонение грубой силе	1	1
29	норма права и художественное	1	1
30	и наиболее распространенное доказательство	1	1
31	от гипноза благ цивилизации	1	1
32	из того что в	1	1
33	в своем развитии представителей	1	1
34	наивность этого доказательства должна	1	1
35	и культур по степеням	1	1
36	этого доказательства должна быть	1	1
37	индусов арабов негров и	1	1
38	должна быть ясна для	1	1
39	из русской истории и	1	1
40	ли объективно доказать что	2	1
41	проблемы и что истинное	1	1
42	культуры вполне могут очищать	1	1
43	своем развитии представителей человеческого	1	1
44	сравнению с культурой дикарей	1	1
45	очищать ее от эгоцентризма	1	1
46	и учреждение и техническое	1	1
47	и норма права и	1	1
48	бы обильно иллюстрировать примерами	1	1
49	могут очищать ее от	1	1
50	европейской культуры вполне могут	1	1
51	и наивность этого доказательства	1	1
52	все другие народы мира	1	1
53	победы европейцев над дикарями	1	1
54	всех элементах этой культуры	1	1
55	русской истории и русской	1	1
56	дело в том что	1	1
57	характера тех племен которые	1	1
58	сознание относительности того что	1	1
59	надо всегда и твердо	1	1
60	грубость и наивность этого	1	1
61	предметы военного снаряжения и	1	1
62	лестницы мы получаем горизонтальную	1	1
63	что прежде казалось безусловным	1	1
64	мира европа и человечество	1	1
65	и твердо помнить что	1	1
66	в том случае если	4	1
67	элементах этой культуры нечто	1	1
68	менее культурных чем побеждаемые	1	1
69	в том числе и	1	1
70	тех племен которые создали	1	1
71	воспринимании европейской культуры вполне	1	1
72	и с точки зрения	1	1
73	что победа весьма часто	1	1
74	чем побеждаемые ими туземцы	1	1
75	является сознание относительности того	1	1
76	другие народы мира европа	1	1
77	постоянно приходится признавать что	1	1
