N	4gram	Medvedev_F	KFilosof
1	бы то ни было	1	2
2	в то же время	13	2
3	должно быть соотнесено с	1	2
4	во всех своих моментах	2	2
5	во всей его конкретной	1	1
6	имеет место и в	1	1
7	какого бы то ни	1	1
8	а с точки зрения	1	1
9	не может войти в	2	1
10	и пр все это	1	1
11	и в этом его	1	1
12	бы оно было единственным	2	1
13	в этом смысле можно	1	1
14	в противном случае мы	1	1
15	в том смысле в	1	1
16	этом смысле можно говорить	1	1
17	перевести его на язык	1	1
18	не в том смысле	2	1
19	но в то же	3	1
20	отсюда отнюдь не следует	3	1
21	если бы оно было	2	1
22	тем не менее в	1	1
23	и в то же	4	1
