N	4gram	Bakhtin_Fr	KulturaY
1	в то же время	14	6
2	одного и того же	1	4
3	до сих пор еще	2	4
4	большей или меньшей степени	1	3
5	в большей или меньшей	1	3
6	а с другой стороны	1	3
7	только для того чтобы	2	3
8	так один из собеседников	1	2
9	в той или иной	1	2
10	находится в противоречии с	1	2
11	не что иное как	1	2
12	одной и той же	1	2
13	и в то же	3	2
14	один и тот же	1	2
15	в самом деле в	1	2
16	какое же значение имеют	1	1
17	но в разной степени	1	1
18	в огромном большинстве случаев	1	1
19	связи с вопросом о	1	1
20	ни в коем случае	1	1
21	но рано или поздно	1	1
22	в коем случае нельзя	1	1
23	той или иной форме	1	1
24	и дает нам право	1	1
25	и то же слово	1	1
26	сводится в сущности к	1	1
27	одно и то же	1	1
28	дело в том что	4	1
29	для того чтобы не	1	1
30	в то время когда	1	1
31	и не может быть	1	1
32	с другой стороны эта	1	1
33	с другой стороны в	1	1
34	если только они не	1	1
35	в связи с этим	3	1
36	все это конечно не	1	1
37	то же самое что	1	1
38	по отношению к которому	1	1
39	это и дает нам	1	1
40	одном и том же	1	1
41	и на самом деле	1	1
42	в одном и том	1	1
43	из того факта что	1	1
44	и с точки зрения	2	1
45	и целый ряд других	1	1
46	нас в том что	1	1
47	в каждом из этих	1	1
48	и если бы он	1	1
49	есть не что иное	1	1
