N	4gram	Trubetskoy	VeschiIm
1	бы то ни было	2	12
2	с этой точки зрения	2	4
3	в то же время	2	4
4	свидетельствует о том что	1	3
5	указывает на то что	1	3
6	и в то же	1	3
7	по крайней мере в	1	2
8	или по крайней мере	1	2
9	одном и том же	1	1
10	с тех пор как	1	1
11	в одном и том	1	1
12	одно из двух или	1	1
13	что так или иначе	1	1
14	одного и того же	1	1
15	а в том что	1	1
16	но в то же	1	1
17	к которым они относятся	1	1
18	и вместе с тем	3	1
19	еще и потому что	1	1
20	и в этом отношении	1	1
21	один и тот же	1	1
