N	2gram	Berdyaev_N	VrazhdaK
1	не только	5	9
2	в этом	7	8
3	и в	16	8
4	и что	2	8
5	что в	9	7
6	и все	4	7
7	но и	3	7
8	то что	4	7
9	как и	7	6
10	и даже	2	6
11	и с	2	6
12	в котором	1	6
13	в нем	5	6
14	но в	2	6
15	у него	2	5
16	в россии	3	5
17	и не	11	5
18	не было	4	5
19	в то	2	5
20	это не	4	4
21	с ним	1	4
22	все это	5	4
23	в виду	1	4
24	что он	1	4
25	уже в	1	4
26	о том	4	4
27	может быть	7	4
28	в ней	5	4
29	в истории	3	4
30	так же	2	4
31	во многом	1	4
32	в его	1	3
33	в том	8	3
34	но он	1	3
35	давно уже	1	3
36	я не	2	3
37	тем что	1	3
38	в чем	1	3
39	и у	1	3
40	человека в	1	3
41	эти слова	1	3
42	том что	2	3
43	в этот	1	3
44	он не	8	3
45	в конце	1	3
46	наряду с	3	3
47	в своем	1	3
48	с его	6	3
49	и его	1	3
50	и во	1	3
51	в той	1	2
52	к себе	1	2
53	нашего времени	2	2
54	в них	4	2
55	а также	1	2
56	права на	2	2
57	россии в	1	2
58	в мире	3	2
59	их в	1	2
60	же как	2	2
61	в своей	3	2
62	вместе с	2	2
63	в это	1	2
64	в известном	1	2
65	не менее	4	2
66	и это	2	2
67	в эту	1	2
68	еще не	3	2
69	в свою	1	2
70	отцы и	1	2
71	и т.п	2	2
72	в этой	1	2
73	а в	2	2
74	на это	1	2
75	и а	1	2
76	к ним	3	2
77	в одну	2	2
78	уже не	2	2
79	из них	1	2
80	в себе	2	2
81	не может	16	2
82	место в	2	2
83	одна из	2	2
84	в период	1	2
85	на место	1	2
86	в эти	1	2
87	но это	6	2
88	во время	1	2
89	никогда не	6	2
90	все в	1	1
91	своего рода	1	1
92	в самом	1	1
93	во всем	1	1
94	так и	2	1
95	истории к	4	1
96	все что	1	1
97	для всех	1	1
98	труд и	1	1
99	до сих	1	1
100	мире а	1	1
101	и этот	1	1
102	войне и	1	1
103	по всем	1	1
104	ближе к	1	1
105	они не	1	1
106	также что	1	1
107	к этой	1	1
108	еще до	2	1
109	не хотел	1	1
110	из всех	1	1
111	хотя и	2	1
112	а это	1	1
113	одному из	1	1
114	он и	1	1
115	и из	1	1
116	в ее	3	1
117	этом он	1	1
118	в недрах	1	1
119	от этой	1	1
120	сама жизнь	2	1
121	не хочет	1	1
122	прежде всего	4	1
123	к реальному	3	1
124	разобраться в	1	1
125	россия в	1	1
126	другой стороны	2	1
127	быть может	4	1
128	перед ними	1	1
129	нет ничего	1	1
130	в этих	1	1
131	лежал в	1	1
132	есть еще	1	1
133	просвещение и	1	1
134	в духе	3	1
135	этого не	1	1
136	равно как	2	1
137	на нее	1	1
138	не хотят	2	1
139	и начинается	2	1
140	в будущее	1	1
141	еще в	1	1
142	но не	2	1
143	в глубине	1	1
144	но для	2	1
145	приближаемся к	2	1
146	жизни и	8	1
147	то время	1	1
148	в жизни	5	1
149	уже давно	1	1
150	но ведь	1	1
151	не знал	2	1
152	не есть	3	1
153	это время	1	1
154	как в	3	1
155	роль в	2	1
156	в речах	1	1
157	по своему	4	1
158	по преимуществу	1	1
159	который не	1	1
160	ли он	1	1
161	это было	3	1
162	к вопросу	1	1
163	к своим	1	1
164	что образ	1	1
165	не имеет	4	1
166	сих пор	1	1
167	гораздо больше	1	1
168	чтобы разобраться	1	1
169	не был	1	1
170	тут нет	1	1
171	ему не	1	1
172	на них	1	1
173	с этим	2	1
174	во всех	3	1
175	во всяком	1	1
176	это и	2	1
177	то он	1	1
178	во все	1	1
179	это конечно	1	1
180	возвращается к	2	1
181	не могли	2	1
182	мыслей и	1	1
183	что этот	1	1
184	и русской	1	1
185	истории человечества	1	1
186	россию и	1	1
187	ли это	2	1
188	может идти	1	1
189	потому что	4	1
190	все свои	1	1
191	мы приближаемся	1	1
192	одну из	1	1
193	совсем не	12	1
194	он часто	1	1
195	более всего	1	1
196	не всегда	1	1
197	из их	1	1
198	вели к	1	1
199	которых не	2	1
200	не будет	7	1
201	с идеями	1	1
202	и их	1	1
203	говорить о	1	1
204	не с	1	1
205	не могла	2	1
206	это была	1	1
207	людей и	1	1
208	себя на	1	1
209	стремится быть	1	1
210	русский народ	1	1
211	этом смысле	2	1
212	привела к	1	1
213	по своей	1	1
214	от того	1	1
215	николая i	1	1
216	человека и	3	1
217	в каком	1	1
218	с другой	3	1
219	было бы	1	1
220	вопросу о	1	1
221	я думаю	1	1
222	как на	1	1
223	себя в	2	1
224	известном смысле	1	1
225	оба они	1	1
226	партии и	1	1
227	могут быть	2	1
228	не имел	1	1
229	в высшей	6	1
230	к которому	1	1
231	был в	1	1
232	есть по	1	1
233	и от	2	1
234	человечества и	1	1
235	и есть	10	1
236	в силу	1	1
237	всю жизнь	1	1
238	такой же	2	1
239	но я	2	1
240	времени а	1	1
241	во франции	1	1
242	всяком случае	1	1
243	в мировой	2	1
244	друг друга	1	1
245	с ее	5	1
246	того же	1	1
247	франции не	1	1
248	не должна	1	1
249	одного и	1	1
250	к нему	1	1
251	высшей степени	6	1
252	сам этот	1	1
