N	2gram	Medvedev_V	Hudozhes
1	в качестве	12	31
2	то есть	1	26
3	и в	26	23
4	не только	26	20
5	в том	15	20
6	может быть	23	19
7	в частности	12	18
8	художественной деятельности	2	17
9	и не	20	16
10	но и	10	14
11	а не	7	13
12	но не	2	13
13	а в	3	13
14	в себе	6	13
15	в этом	29	12
16	то же	10	12
17	так и	6	12
18	и его	6	12
19	сводится к	3	11
20	как бы	5	11
21	точки зрения	3	11
22	в его	15	11
23	по отношению	7	10
24	но в	2	10
25	отношению к	7	10
26	или иной	2	9
27	том что	8	9
28	с другой	11	9
29	в искусстве	6	9
30	не в	6	9
31	не может	17	9
32	в области	2	8
33	в то	6	8
34	что в	11	7
35	в самом	4	7
36	только в	8	7
37	в своей	4	7
38	в основе	1	7
39	же время	5	7
40	не столько	2	7
41	как это	12	7
42	лишь в	2	7
43	отношение к	1	7
44	другой стороны	8	6
45	более или	6	6
46	приводит к	6	6
47	уже не	1	6
48	можно сказать	4	6
49	с ее	1	6
50	художественного творчества	19	6
51	с его	4	6
52	мы имеем	3	6
53	в ее	4	6
54	а также	1	6
55	или менее	6	6
56	всего лишь	3	6
57	в нем	7	6
58	искусства в	1	6
59	ни в	1	5
60	в виду	4	5
61	конечном счете	5	5
62	что он	4	5
63	в художественном	10	5
64	не менее	2	5
65	не является	5	5
66	того чтобы	3	5
67	для того	3	5
68	со стороны	1	5
69	я с	1	5
70	для него	9	5
71	того что	3	5
72	прежде всего	13	5
73	с другими	2	5
74	в их	5	5
75	в конечном	7	5
76	или иначе	1	5
77	между ними	3	5
78	той или	1	5
79	героя и	1	5
80	то что	7	5
81	в ходе	1	5
82	могут быть	8	5
83	так или	1	4
84	не следует	8	4
85	например в	3	4
86	в слове	3	4
87	творческого акта	1	4
88	еще не	2	4
89	в данном	1	4
90	в воображении	2	4
91	входит в	1	4
92	в другом	2	4
93	сознания в	1	4
94	говорить о	2	4
95	сказать что	5	4
96	в своем	8	4
97	к тому	5	4
98	во времени	1	4
99	на почве	1	4
100	и то	1	4
101	это не	7	4
102	его в	3	4
103	и как	3	4
104	в этих	1	4
