N	2gram	Berdyaev_V	Otkroven
1	у него	1	22
2	человеческой природы	1	20
3	и в	16	19
4	и не	20	13
5	но и	5	13
6	в этом	4	12
7	человека в	1	11
8	а не	7	11
9	не только	2	11
10	не в	3	11
11	может быть	1	11
12	вопрос о	1	10
13	человека и	6	10
14	и все	4	10
15	в нем	4	10
16	к человеку	1	9
17	потому что	4	9
18	в человеке	1	9
19	прежде всего	2	9
20	не было	3	9
21	никогда не	3	9
22	он был	1	8
23	великий инквизитор	31	8
24	нет ничего	3	7
25	от него	2	7
26	в его	4	7
27	он всегда	1	7
28	ивана карамазова	2	7
29	лишь в	3	7
30	человеческой души	1	6
31	все это	5	6
32	великом инквизиторе	5	6
33	как и	4	6
34	о великом	4	6
35	в самом	1	5
36	в том	3	5
37	человеке и	1	5
38	для него	2	5
39	него в	1	5
40	в этой	1	5
41	а в	2	5
42	отношение к	1	5
43	то что	9	5
44	все в	1	4
45	что в	3	4
46	того чтобы	2	4
47	в божественном	1	4
48	что не	4	4
49	человек и	1	4
50	все эти	3	4
51	на земле	7	4
52	в легенде	1	4
53	с его	3	4
54	и от	1	3
55	жизни все	2	3
56	все что	4	3
57	что человек	1	3
58	и вот	1	3
59	хотя бы	3	3
60	это не	2	3
61	для того	1	3
62	более всего	1	3
63	с ним	2	3
64	легенде о	1	3
65	и великий	1	3
66	быть может	1	3
67	в этих	3	3
68	не могут	2	3
69	со злом	1	3
70	в своих	1	3
71	как бы	5	3
72	могут быть	2	3
73	человек был	1	3
74	и есть	4	3
75	во имя	32	3
76	что он	4	3
77	сделать людей	4	3
78	дороже всего	1	3
79	человеческого духа	1	3
80	свободной любви	6	3
81	нем нет	2	3
82	и ее	1	3
83	того что	5	3
84	к нему	1	3
85	еще не	8	3
86	свобода и	1	2
87	всего в	2	2
88	человека к	1	2
89	природы в	1	2
90	и потому	7	2
91	так и	4	2
92	что они	7	2
93	тогда уже	2	2
94	и то	2	2
95	человека есть	1	2
96	они испугались	2	2
97	и против	3	2
98	людей счастливыми	2	2
99	все же	1	2
100	никогда и	1	2
101	не могли	2	2
102	так как	9	2
103	и очень	1	2
104	должно быть	3	2
105	его не	2	2
106	для всякого	1	2
107	уже в	1	2
108	любовь к	3	2
109	этом мире	1	2
110	личности и	3	2
111	и любовь	1	2
112	ничего кроме	1	2
113	в своем	1	2
114	выше всего	2	2
115	с тем	2	2
116	в которой	1	2
117	ее в	2	2
118	о которой	1	2
119	что и	3	2
120	для человека	2	2
121	с богом	4	2
122	потребность в	1	2
123	и злом	1	2
124	можно ли	1	2
125	в истории	8	2
126	поступил как	2	2
127	свободы и	12	2
128	их не	1	2
129	ко всем	1	2
130	вместо того	2	2
131	этого мира	3	2
132	и с	1	2
133	те которые	2	2
134	инквизитор говорит	3	2
135	было для	1	2
136	природы и	1	2
137	тем что	2	2
138	него не	1	2
139	легенда о	2	2
140	что есть	5	2
141	из всего	1	2
142	жаждал свободной	2	2
143	ничего и	2	2
144	и на	1	2
145	взял все	1	2
146	что все	4	2
147	ничего не	1	2
148	зла в	1	2
149	человеческого благополучия	3	2
150	хотя и	5	2
151	не есть	6	2
152	для человеческого	1	2
153	в своей	3	2
154	жизни в	1	2
155	не имеет	3	2
156	к этому	1	2
157	и никогда	2	2
158	том что	2	2
159	и для	3	2
160	было всего	1	2
161	в ее	1	2
162	но в	3	2
163	и нет	1	2
164	иван карамазов	1	2
165	человека чтобы	1	1
166	в великом	1	1
167	влагает в	1	1
168	чтобы сделать	2	1
169	вечно неблагородного	1	1
170	что было	2	1
171	не сошел	2	1
172	и страшатся	1	1
173	боятся они	1	1
174	и мир	1	1
175	их веры	1	1
176	сошел с	1	1
177	во всем	1	1
178	но вспомни	1	1
179	слабого вечно	1	1
180	устроения и	1	1
181	во всяком	2	1
182	и человеческого	1	1
183	не так	2	1
184	рабских восторгов	1	1
185	лет назад	1	1
186	обременил ее	1	1
187	благополучия и	1	1
188	его и	2	1
189	ее еще	1	1
190	наша тайна	1	1
191	иному миру	1	1
192	страшных даров?	1	1
193	что опять-таки	1	1
194	а потому	1	1
195	и жаждал	1	1
196	дороги лишь	2	1
197	к счастью	3	1
198	и свободное	1	1
199	людского племени	1	1
200	и впрямь	1	1
201	ее и	2	1
202	лишь к	1	1
203	над ними	2	1
204	а с	2	1
205	и самое	1	1
206	и скажет	1	1
207	не существует	1	1
208	ужаснувшим но	1	1
209	человека вовеки	1	1
210	самой жизни	1	1
211	вдоволь для	1	1
212	один из	2	1
213	для нашего	1	1
214	людей свободы	1	1
215	осмыслить которого	1	1
216	в котором	4	1
217	из сторон	1	1
218	начала ведет	2	1
219	каким-то обетом	1	1
220	нам дороги	2	1
221	побороли свободу	1	1
222	не нужна	3	1
223	зло должно	1	1
224	они побороли	1	1
225	всего еще	1	1
226	тому кто	1	1
227	ты обещал	1	1
228	существует лишь	1	1
229	они и	2	1
230	к человеческой	1	1
231	что бог	1	1
232	и плененный	1	1
233	же и	1	1
234	людях слишком	1	1
235	христа в	3	1
236	после того	1	1
237	которым можно	2	1
238	ты хочешь	1	1
239	не имеют	1	1
240	ты ли	1	1
241	бытие не	1	1
242	свободой ты	1	1
243	и вечно	2	1
244	и сделали	1	1
245	свобода человека	1	1
246	человеколюбия и	1	1
247	человека не	1	1
248	в заслугу	1	1
249	обетом свободы	1	1
250	а остальные?	1	1
251	духа ты	1	1
252	разрушение и	1	1
253	чтобы человек	1	1
254	и хлеб	1	1
255	того как	1	1
256	эта не	1	1
