N	3gram	Losev_Vesc	Mirosoze
1	не может быть	22	28
2	в том что	9	9
3	а не в	2	9
4	это и есть	4	9
5	для того чтобы	2	7
6	в этом он	1	6
7	и в этом	2	6
8	вместе с тем	3	6
9	и в нем	1	6
10	о том что	4	6
11	есть прежде всего	4	6
12	есть не только	2	5
13	до сих пор	1	5
14	в отношении к	2	5
15	и вместе с	1	5
16	что и в	1	5
17	но и в	1	5
18	не было бы	1	5
19	может быть и	1	5
20	что он не	1	4
21	в конце концов	2	4
22	в нем нет	2	4
23	не мог бы	2	4
24	от того что	4	4
25	и в самом	1	4
26	на то что	7	4
27	в то время	4	4
28	не что иное	12	4
29	потому что он	1	4
30	можно было бы	3	4
31	то время как	4	4
32	у него нет	1	4
33	что иное как	12	4
34	один из самых	1	4
35	как будто бы	1	3
36	для него не	1	3
37	решения вопроса о	1	3
38	не может уже	1	3
39	потому что она	1	3
40	она не может	3	3
41	том что он	2	3
42	у нас все	1	3
43	есть не что	8	3
44	не может не	3	3
45	к тому что	2	3
46	а не только	2	3
47	и у нас	1	3
48	и не было	1	3
49	по сравнению с	7	3
50	это значит что	25	3
51	и ничего не	1	3
52	так же как	2	3
53	с тем что	1	3
54	во всяком случае	2	3
55	бы и не	1	2
56	это не значит	1	2
57	смысле этого слова	1	2
58	что она не	1	2
59	в этом они	1	2
60	на том основании	1	2
61	не только в	5	2
62	а не к	2	2
63	как и во	1	2
64	хотя бы и	2	2
65	ни у кого	1	2
66	нельзя было бы	2	2
67	его отношении к	1	2
68	он сам не	1	2
69	по природе своей	2	2
70	себя в своем	1	2
71	и в конце	1	2
72	именно потому что	1	2
73	и переходит в	1	2
74	в ней нет	1	2
75	но также и	1	2
76	в самом последнем	1	2
77	на то чтобы	1	2
78	ни к какому	1	2
79	и не может	1	2
80	никогда не есть	2	2
81	и во всяком	1	2
82	есть один из	1	2
83	это – очень	1	2
84	и только в	1	2
85	только это и	1	2
86	в том смысле	1	2
87	в себе и	1	2
88	может не быть	1	2
89	с самим собою	2	2
90	не будет уже	1	2
91	одно из самых	1	2
92	и в смысле	2	2
93	в его отношении	1	2
94	в движении в	1	2
95	подобно тому как	5	2
96	в ней есть	1	2
97	что оно не	1	2
98	как бы его	2	2
99	т е в	7	2
100	по своей природе	1	2
101	в этом отношении	2	2
102	от нее не	1	2
103	на себе это	1	1
104	в самом начале	1	1
105	это – одно	1	1
106	я и хочу	2	1
107	том что это	1	1
108	для него –	1	1
109	быть и речи	1	1
110	он думает что	1	1
111	несет с собой	1	1
112	но может ли	1	1
113	что это –	3	1
114	том смысле что	1	1
115	только и возможно	1	1
116	было в этом	1	1
117	только о том	2	1
118	ни с какой	2	1
119	как же это	1	1
120	она должна быть	2	1
121	в xix веке	1	1
122	между ними есть	1	1
123	должно было бы	1	1
124	и есть последняя	1	1
125	что они не	1	1
126	в самом деле	7	1
127	всегда в движении	1	1
128	и для всякой	1	1
129	указывает на то	3	1
130	для себя и	1	1
131	для этого нужно	2	1
132	потому и есть	1	1
133	что все это	1	1
134	я подхожу к	1	1
135	это не есть	2	1
136	я не знаю	1	1
137	все еще не	1	1
138	т е от	1	1
139	не значит что	1	1
140	отличает его от	1	1
141	когда мы говорим	1	1
142	ни с чем	2	1
143	значит ли это	5	1
144	и мы увидим	1	1
145	то в чем	1	1
146	если нет ничего	1	1
147	решить вопрос о	1	1
148	и есть то	2	1
149	во втором случае	1	1
150	что у него	1	1
151	на этом основании	1	1
152	сам по себе	4	1
153	и истории и	1	1
154	произошел от обезьяны	1	1
155	но не значит	1	1
156	ли сказать что	3	1
157	не в том	1	1
158	друг с другом	2	1
159	есть также и	1	1
160	что было в	1	1
161	оно есть не	4	1
162	не потому что	5	1
163	того что в	1	1
164	он ничего не	2	1
165	хотя бы даже	2	1
166	если оно есть	1	1
167	что я подхожу	1	1
168	речь идет о	1	1
169	том что дух	1	1
170	в зависимости от	1	1
171	вместо того чтобы	1	1
172	не могла бы	1	1
173	не как о	1	1
174	ее можно только	1	1
175	– все еще	1	1
176	и кажется что	1	1
177	даже и в	1	1
178	быть может наиболее	1	1
179	но даже и	2	1
180	самого себя и	1	1
181	и есть в	1	1
182	в себе в	4	1
183	ли в этом	1	1
184	по сравнению со	1	1
185	не может существовать	1	1
186	они должны быть	1	1
187	будет то что	2	1
188	что она есть	3	1
189	время как другие	1	1
190	несмотря на все	1	1
191	с другой стороны	3	1
