N	3gram	Tiupa_Hudo	StatiiOP
1	в том что	8	47
2	о том что	1	29
3	для того чтобы	5	19
4	с точки зрения	3	14
5	с другой стороны	6	13
6	не может быть	4	11
7	в самом деле	2	9
8	то же время	7	9
9	в то же	7	9
10	тем не менее	3	8
11	к тому что	2	8
12	в данном отношении	1	7
13	заключается в том	1	7
14	в то время	1	7
15	том что он	2	7
16	так же как	1	6
17	по отношению к	10	6
18	в этом смысле	3	6
19	я думаю что	1	6
20	речь идет о	1	6
21	по крайней мере	1	6
22	в том отношении	1	6
23	что он не	1	5
24	как раз в	1	5
25	в одной из	1	5
26	в свое время	1	5
27	мере в какой	1	4
28	в статье о	1	4
29	том отношении что	1	4
30	дело не в	1	4
31	так или иначе	4	4
32	с одной стороны	3	4
33	тем или иным	2	4
34	в связи с	3	4
35	того или иного	4	4
36	и в самом	3	4
37	иметь в виду	1	4
38	и в том	1	4
39	говорит что он	1	4
40	может быть это	1	3
41	в той мере	1	3
42	из этих двух	1	3
43	себе отчет в	1	3
44	можно сказать что	3	3
45	то или иное	1	3
46	в том числе	3	3
47	той мере в	1	3
48	более или менее	6	3
49	а с другой	2	3
50	к тому же	1	3
51	бы то ни	2	3
52	и тем же	1	3
53	в известном смысле	2	3
54	состоит в том	5	3
55	одним и тем	1	3
56	в лучшем случае	1	3
57	в значительной степени	2	3
58	в этом случае	1	3
59	в первую очередь	1	3
60	в русской литературе	2	3
61	прежде всего в	1	3
62	может быть назван	1	2
63	в сочетании с	1	2
64	в той или	2	2
65	во втором случае	1	2
66	в иных случаях	1	2
67	в зависимости от	1	2
68	том числе и	2	2
69	точно так же	1	2
70	и в то	2	2
71	в отличие от	7	2
72	то ни было	2	2
73	том что она	1	2
74	то же самое	1	2
75	века и в	1	2
76	в евгении онегине	1	2
77	в свою очередь	2	2
78	но он не	2	2
79	и др в	1	2
80	той или иной	5	2
81	вследствие того что	1	2
82	и который в	1	2
83	не могли быть	1	2
84	он не только	1	2
85	по большей части	2	2
86	в настоящее время	1	2
87	с которыми он	1	2
88	но в то	1	2
89	по тем или	1	2
90	мы имеем в	3	2
91	имеем дело с	1	2
92	как и в	1	2
93	может быть и	2	2
94	и со всеми	1	1
95	принадлежат к числу	1	1
96	не дай мне	1	1
97	к одному из	1	1
98	в известной степени	1	1
99	вопрос что такое	1	1
100	в самом начале	1	1
101	чтобы именно в	1	1
102	мне бог сойти	1	1
103	значении этого термина	2	1
104	мы говорим о	1	1
105	одной из своих	1	1
106	для которого он	1	1
107	или иной мере	1	1
108	в том и	2	1
109	с этой точки	2	1
110	для себя и	1	1
111	отдает себе отчет	1	1
112	сойти с ума	1	1
113	а в том	1	1
114	бог сойти с	1	1
115	на котором он	1	1
116	друг от друга	1	1
117	и то же	3	1
118	но у нас	1	1
119	так что она	1	1
120	при этом и	1	1
121	в том случае	1	1
122	и не могла	1	1
123	следует подчеркнуть что	1	1
124	в отношении к	2	1
125	в соответствии с	1	1
126	по ту сторону	1	1
127	не было и	1	1
128	не могло быть	2	1
129	можно сказать не	1	1
130	каждой из них	1	1
131	и по отношению	1	1
132	остаться самим собой	1	1
133	к особенностям его	1	1
134	является одним из	1	1
135	все же оно	1	1
136	только то что	1	1
137	на этом пути	1	1
138	имея в виду	1	1
139	искусства и что	1	1
140	ведь это не	1	1
141	а иной раз	1	1
142	мы имеем дело	2	1
143	быть не может	1	1
144	на вопрос что	1	1
145	если читатель не	1	1
146	и потому что	1	1
147	каждая из этих	1	1
148	даже сказать что	1	1
149	форма в которой	1	1
150	в жизненном поведении	1	1
151	они ни были	1	1
152	к вопросу о	1	1
153	в последние десятилетия	1	1
154	в литературных произведениях	1	1
155	этой точки зрения	2	1
156	ведет нас к	1	1
157	ту или иную	2	1
158	отчет в том	1	1
159	не все что	1	1
160	в стилистическом отношении	2	1
161	связи с этим	1	1
162	с легкой руки	2	1
163	речь идет не	1	1
164	дай мне бог	1	1
165	относится не только	1	1
166	не только к	1	1
167	для него не	1	1
168	и в частности	1	1
169	приводит к тому	2	1
170	именно в этом	1	1
171	одно и то	3	1
172	содержит в себе	1	1
173	прежде всего к	1	1
174	языка не может	1	1
175	однако и в	1	1
176	можно даже сказать	1	1
177	бы они ни	1	1
178	в поле зрения	1	1
179	же время оно	1	1
180	не могут быть	1	1
181	не может сомневаться	1	1
182	что несмотря на	1	1
183	думаю что в	1	1
184	в таких случаях	1	1
185	имеем перед собой	1	1
186	в виду что	1	1
187	тот или иной	3	1
