N	3gram	Trubetskoy	DiskursI
1	в том что	7	28
2	по отношению к	1	17
3	не может быть	4	12
4	в данном случае	3	12
5	то же время	10	10
6	той или иной	3	10
7	о том что	2	9
8	в то же	10	8
9	состоит в том	1	8
10	в этом отношении	1	8
11	и все же	1	7
12	к тому же	1	6
13	по крайней мере	1	6
14	с точки зрения	9	6
15	и как бы	1	5
16	но при этом	1	5
17	то же самое	1	5
18	в значительной степени	1	5
19	в свою очередь	1	5
20	дело в том	1	5
21	до известной степени	1	4
22	тем не менее	1	4
23	одного и того	1	4
24	в полной мере	1	4
25	и прежде всего	1	4
26	и того же	1	4
27	и не может	3	4
28	в этом случае	3	4
29	тот или иной	1	4
30	в том числе	1	3
31	к той или	1	3
32	более или менее	4	3
33	того или иного	2	3
34	в том случае	4	3
35	том числе и	1	3
36	на первый взгляд	1	3
37	и в частности	1	3
38	во всяком случае	6	3
39	бы то ни	4	2
40	это разумеется не	1	2
41	в большинстве случаев	2	2
42	заключает в себе	1	2
43	он не может	1	2
44	речь идет о	1	2
45	а в том	1	2
46	то ни было	1	2
47	никогда не было	1	2
48	и в том	2	2
49	в том и	2	2
50	в том чтобы	1	2
51	только то что	1	2
52	только в том	2	2
53	ни одна из	2	2
54	с самого начала	1	2
55	и то что	3	2
56	тем что он	1	2
57	том случае если	3	2
58	и не только	1	2
59	прежде всего в	1	2
60	что он не	2	1
61	лишь в том	2	1
62	к мысли что	1	1
63	что же это	1	1
64	в этом направлении	2	1
65	и тем самым	2	1
66	в применении к	1	1
67	отнюдь не является	1	1
68	и т.д эта	1	1
69	или в силу	1	1
70	в согласии с	1	1
71	и в другом	2	1
72	еще не было	1	1
73	она могла бы	1	1
74	в самом деле	1	1
75	для того чтобы	6	1
76	таким же образом	2	1
77	с ним в	1	1
78	друг от друга	2	1
79	существуют во всех	1	1
80	таком взгляде на	1	1
81	до сих пор	5	1
82	самоопределения в этом	1	1
83	не существуют в	1	1
84	не может иметь	1	1
85	человек и народ	1	1
86	но для этого	1	1
87	тех или иных	1	1
88	и таким образом	1	1
89	дальше отстоит от	1	1
90	даже и в	1	1
91	в себе те	1	1
92	они принадлежат к	2	1
93	но и от	1	1
94	как сказано выше	1	1
95	не может не	3	1
96	к участию в	1	1
97	в связи с	1	1
98	но все же	1	1
99	несмотря на все	1	1
100	в другом месте	1	1
101	но и к	2	1
102	том и в	2	1
103	при таком взгляде	1	1
104	в себе черты	1	1
105	и в этом	1	1
106	прежде всего на	1	1
107	в качестве своей	1	1
108	том случае когда	1	1
109	и не к	1	1
110	за то что	1	1
111	не знаем и	1	1
112	вместе с тем	3	1
113	к чему не	1	1
114	как другие как	1	1
115	и только в	1	1
116	на то что	4	1
117	собой и не	1	1
118	не только от	1	1
119	заключается в том	1	1
120	но она не	2	1
121	жизни в том	1	1
122	это именно так	1	1
123	в себе и	2	1
124	что не только	1	1
125	том что вся	1	1
126	не может ли	1	1
127	к одному из	1	1
128	в результате этого	1	1
129	того и другого	1	1
130	жизни но и	1	1
131	тем более что	1	1
132	перед нами не	1	1
133	ставит себя в	1	1
134	большинстве случаев это	1	1
135	в противном случае	1	1
136	на самом деле	6	1
137	и должно было	1	1
138	как и следовало	1	1
139	при этом если	1	1
140	в этом состоит	1	1
141	мы не знаем	1	1
142	можно было бы	3	1
143	не подлежит сомнению	1	1
144	между собой и	1	1
145	к богу и	1	1
146	есть то что	1	1
147	во всех этих	1	1
148	прежде всего с	1	1
149	ни к чему	2	1
150	самим собой и	2	1
151	это и есть	1	1
152	во всех областях	1	1
153	к себе и	1	1
154	в другом случае	2	1
