N	4gram	Voloshinov	Analitik
1	в то же время	1	14
2	мы имеем дело с	1	5
3	и не может быть	1	4
4	дело в том что	4	3
5	бы то ни было	3	3
6	ни в коем случае	1	2
7	один и тот же	1	2
8	какой бы то ни	1	2
9	случае мы имеем дело	1	2
10	одно и то же	2	2
11	но в то же	1	2
12	одна и та же	1	1
13	это особый тип общения	1	1
14	говорят героя слово социальное	1	1
15	как бы выводит слово	1	1
16	общения обладающий собственной только	1	1
17	за его словесные пределы	1	1
18	и не в психике	1	1
19	мы имеем в виду	1	1
20	в изолированно взятой психике	1	1
21	психике созерцателя художественное обнимает	1	1
22	слово есть выражение и	1	1
23	соприкасается говорящий со слушателями	1	1
24	того о ком или	1	1
25	и того о ком	1	1
26	который и оказывает существеннейшее	1	1
27	свое незаместимое место в	1	1
28	интонации соприкасается говорящий со	1	1
29	вещи и не в	1	1
30	и продукт социального взаимодействия	1	1
31	читателя и того о	1	1
32	и не в изолированно	1	1
33	творца и не в	1	1
34	особый тип общения обладающий	1	1
35	так как если бы	4	1
36	в психике созерцателя художественное	1	1
37	взаимодействия трех говорящего автора	1	1
38	художественное обнимает все эти	1	1
39	находится не в вещи	1	1
40	по отношению к предмету	2	1
41	слово за его словесные	1	1
42	тип общения обладающий собственной	1	1
43	выводит слово за его	1	1
44	него свое незаместимое место	1	1
45	в событии художественного творчества	1	1
46	у него свое незаместимое	1	1
47	на самом же деле	1	1
48	в науке о литературе	1	1
49	не может быть ни	1	1
50	позицию по отношению к	1	1
51	сколько бы мы ни	3	1
52	ком или о чем	1	1
53	бы оно ни было	1	1
54	на все моменты произведения	1	1
55	интонация как бы выводит	1	1
56	существеннейшее влияние на все	1	1
57	бы выводит слово за	1	1
58	в вещи и не	1	1
59	взятой психике творца и	1	1
60	все время учитывает третьего	1	1
61	все эти три момента	1	1
62	героя слово социальное событие	1	1
63	незаместимое место в событии	1	1
64	произнесенное или осмысленно написанное	1	1
65	имеем в виду не	1	1
66	влияние на все моменты	1	1
67	оказывает существеннейшее влияние на	1	1
68	выражение и продукт социального	1	1
69	и оказывает существеннейшее влияние	1	1
70	обнимает все эти три	1	1
71	учитывает третьего слушателя который	1	1
72	в самом деле в	1	1
73	собственной только ему свойственной	1	1
74	чем говорят героя слово	1	1
75	говорящий со слушателями интонация	1	1
76	психике творца и не	1	1
77	не в изолированно взятой	1	1
78	изолированно взятой психике творца	1	1
79	есть выражение и продукт	1	1
80	время учитывает третьего слушателя	1	1
81	только ему свойственной формой	1	1
82	социального взаимодействия трех говорящего	1	1
83	действительно произнесенное или осмысленно	1	1
84	о чем говорят героя	1	1
85	о ком или о	1	1
86	или о чем говорят	1	1
87	не в психике созерцателя	1	1
88	именно в интонации соприкасается	1	1
89	не в вещи и	1	1
90	в противном случае она	1	1
91	в интонации соприкасается говорящий	1	1
92	третьего слушателя который и	1	1
93	и в этом смысле	1	1
94	одним и тем же	1	1
95	созерцателя художественное обнимает все	1	1
96	место в событии художественного	1	1
97	продукт социального взаимодействия трех	1	1
98	слушателя который и оказывает	1	1
99	обладающий собственной только ему	1	1
