N	3gram	Bakhtin_Fr	KFilosof
1	по отношению к	2	22
2	не может быть	5	11
3	с точки зрения	6	10
4	в его целом	2	10
5	может быть только	1	7
6	не проникает в	1	5
7	того или иного	1	3
8	на самом деле	2	3
9	могла бы быть	1	3
10	в том что	6	2
11	той или иной	5	2
12	и может быть	1	2
13	то или иное	1	2
14	имеем в виду	2	2
15	в то же	5	2
16	и та же	1	2
17	на первом плане	4	2
18	включает в себя	3	2
19	во всех этих	2	2
20	одна и та	1	2
21	и в нем	1	2
22	то же время	5	2
23	для него самого	1	1
24	только в форме	1	1
25	время от времени	1	1
26	не было конечно	1	1
27	лежит в основе	1	1
28	но прежде всего	3	1
29	для нас своим	1	1
30	в себе в	1	1
31	во всяком случае	2	1
32	на то что	1	1
33	и во всех	2	1
34	в большинстве случаев	2	1
35	его никогда не	1	1
36	литературе о нем	1	1
37	не только от	1	1
38	до конца в	1	1
39	в средние века	12	1
40	в себя и	1	1
41	и ни к	1	1
42	во всех его	3	1
43	средних веков и	2	1
44	это уже не	3	1
45	мы будем говорить	1	1
46	что тем самым	1	1
47	в ней в	1	1
48	для того чтобы	2	1
49	в себя момент	1	1
50	существенную связь с	1	1
51	с ним в	1	1
52	рождение и смерть	1	1
53	потому что в	1	1
54	в настоящее время	1	1
55	отношению к ней	1	1
56	и ценности все	1	1
57	может быть правильно	1	1
58	но здесь этот	1	1
59	и пр и	1	1
60	не может стать	1	1
61	в виду его	1	1
62	все это только	1	1
63	до сих пор	7	1
64	не потому что	1	1
65	дело в том	2	1
66	него самого и	1	1
67	но в то	2	1
68	жизни и смерти	6	1
69	это и не	1	1
70	в нем нет	1	1
71	мы дадим здесь	1	1
72	и в то	2	1
73	как бы ни	2	1
74	и все остальные	1	1
75	только таким путем	1	1
76	готовое и завершенное	1	1
77	как необходимый момент	1	1
78	его просто не	1	1
79	средневековых мистерий в	1	1
80	остановимся еще на	1	1
81	как если бы	1	1
82	в нем в	2	1
83	во второй половине	2	1
84	никогда не может	1	1
85	будем говорить в	1	1
86	мир в его	2	1
87	но все это	2	1
88	жизни и культуры	1	1
89	и т.п но	1	1
90	но здесь мы	1	1
91	даны здесь в	1	1
92	в известном смысле	1	1
93	все это в	2	1
94	здесь одновременно и	1	1
95	в литературе о	1	1
96	и новое и	1	1
97	и этот момент	1	1
98	его жизни в	1	1
99	но это не	1	1
100	но нет и	1	1
101	в значительной степени	4	1
102	но не было	1	1
103	до конца и	1	1
104	нет и не	1	1
105	связанных с ними	1	1
106	только в единстве	1	1
107	и не знает	1	1
108	в основе своей	2	1
109	нет места для	1	1
