N	4gram	Tiupa_Anal	Vvedenie
1	той мере в какой	2	6
2	в той мере в	2	6
3	в то же время	7	6
4	не что иное как	5	5
5	и в самом деле	1	3
6	но в то же	2	3
7	есть не что иное	4	3
8	состоит в том что	6	2
9	с этой точки зрения	2	2
10	то же самое что	1	2
11	заключается в том что	1	2
12	как уже было сказано	1	2
13	в широком смысле этого	1	2
14	одно и то же	2	2
15	одной и той же	1	2
16	одного и того же	2	2
17	ответ на этот вопрос	1	2
18	в том или ином	3	2
19	можно сказать что в	1	1
20	только в том что	1	1
21	не остается ничего иного	2	1
22	не только в том	1	1
23	дело не только в	1	1
24	внешнего по отношению к	1	1
25	в самом деле как	1	1
26	собой не что иное	1	1
27	что литературное произведение есть	1	1
28	не может быть определено	1	1
29	в том что он	2	1
30	большей или меньшей степени	1	1
31	так как если бы	1	1
32	обратим внимание на то	1	1
33	принципе не может быть	1	1
34	до тех пор пока	1	1
35	и в этом втором	1	1
36	не сам по себе	1	1
37	в том смысле что	1	1
38	для того чтобы быть	1	1
39	бы то ни было	3	1
40	говорилось о том что	1	1
41	же самое что и	1	1
42	в большей или меньшей	1	1
43	в собственном смысле слова	1	1
44	его можно было бы	1	1
45	том виде в каком	1	1
46	мы имеем в виду	1	1
47	которая сама по себе	1	1
48	лишь в том что	1	1
49	в той или иной	3	1
50	и в этом смысле	1	1
51	в том виде в	1	1
52	в науке о литературе	1	1
53	какой бы то ни	2	1
54	он в то же	1	1
55	остается ничего иного как	2	1
56	не говоря уже о	1	1
57	мы имеем дело с	4	1
58	в принципе не может	1	1
