N	2gram	Nazirov_Tv	UchenyiS
1	и в	40	14
2	не только	16	10
3	а не	9	10
4	и не	12	8
5	прежде всего	10	8
6	то что	9	7
7	вот почему	3	7
8	в этом	11	7
9	не может	9	7
10	может быть	11	6
11	в искусстве	3	6
12	перестает быть	1	5
13	хотя бы	5	5
14	то же	19	5
15	художественного творчества	1	5
16	в художественном	1	5
17	и только	2	5
18	все это	14	5
19	художественное произведение	1	5
20	в конечном	4	4
21	с другой	4	4
22	в этой	7	4
23	в россии	5	4
24	конечном счете	4	4
25	что такое	1	4
26	но и	10	4
27	в их	5	4
28	к сожалению	1	3
29	бы то	1	3
30	было бы	2	3
31	не о	1	3
32	по нашему	9	3
33	этой области	1	3
34	для этого	1	3
35	это не	9	3
36	как и	16	3
37	то ни	1	3
38	вряд ли	2	3
39	для него	9	3
40	формы в	1	3
41	в своей	8	3
42	все же	9	3
43	ни было	1	3
44	в области	1	3
45	в частности	4	3
46	в то	23	3
47	у нас	2	3
48	другой стороны	2	3
49	но в	11	3
50	же время	18	3
51	нашему мнению	9	3
52	литературы и	1	2
53	все они	1	2
54	таким образом	14	2
55	в самом	6	2
56	если не	4	2
57	же не	2	2
58	материал для	1	2
59	должна была	1	2
60	его и	2	2
61	если бы	4	2
62	самом деле	4	2
63	могут быть	4	2
64	не в	3	2
65	это было	1	2
66	бы и	1	2
67	для всех	1	2
68	и с	9	2
69	в противовес	1	2
70	до сих	1	2
71	их и	1	2
72	же самое	1	2
73	думается что	1	2
74	одним из	6	2
75	еще ничего	1	2
76	крайней мере	4	2
77	но не	7	2
78	форму и	1	2
79	мы и	1	2
80	тем что	2	2
81	в себе	3	2
82	в его	19	2
83	искусства как	1	2
84	в конце	5	2
85	даже и	1	2
86	мы не	3	2
87	мы получаем	1	2
88	ничего не	3	2
89	всех этих	1	2
90	между тем	2	2
91	что она	5	2
92	не есть	2	2
93	художественного произведения	1	2
94	прием в	1	2
95	что он	11	2
96	конце концов	1	2
97	на эту	4	2
98	при таком	1	2
99	о чем	1	2
