N	3gram	Bakhtin_sl	FransuaR
1	то же время	15	55
2	в то же	15	55
3	мы уже говорили	1	43
4	как мы уже	4	28
5	в том что	4	27
6	в том числе	1	27
7	до сих пор	4	27
8	в средние века	1	25
9	в большинстве случаев	11	22
10	с точки зрения	11	20
11	но в то	6	20
12	в этом отношении	2	20
13	для того чтобы	1	17
14	том числе и	1	17
15	о том что	2	17
16	в связи с	2	16
17	большей или меньшей	5	16
18	как мы видели	2	16
19	и до конца	1	16
20	то есть в	1	15
21	но и в	2	15
22	в большей или	3	15
23	нужно сказать что	1	14
24	или меньшей степени	3	14
25	и прежде всего	1	14
26	не может быть	11	13
27	дело в том	1	13
28	с одной стороны	7	13
29	а также и	3	12
30	и в то	6	12
31	с другой стороны	5	12
32	мы уже сказали	3	12
33	все то что	1	11
34	в отличие от	12	11
35	можно сказать что	1	11
36	в той или	12	10
37	самом же деле	1	10
38	той или иной	13	10
39	как и в	2	10
40	на самом же	1	10
41	до наших дней	1	10
42	в данном случае	3	10
43	в значительной степени	6	10
44	не только в	3	10
45	мы видим что	1	9
46	по отношению к	2	9
47	так и в	5	9
48	зрения на мир	6	9
49	до известной степени	3	9
50	в свое время	1	9
51	существенную роль в	1	9
52	таким образом в	4	8
53	в его целом	1	8
54	более или менее	5	8
55	мы видели что	1	8
56	на протяжении всего	1	8
57	в мировой литературе	2	7
58	в то время	2	7
59	и в романе	2	7
60	в чем же	1	7
61	в узком смысле	13	7
62	включает в себя	3	7
63	можно было бы	2	7
64	прежде всего в	1	7
65	в своей книге	1	7
66	на первый план	1	7
67	века и в	1	7
68	во всех этих	2	7
69	как мы видим	1	7
70	во всех его	8	6
71	слов и выражений	1	6
72	и в особенности	5	6
73	но все же	1	6
74	имеем в виду	1	6
75	и все остальные	1	6
76	выходит за пределы	3	6
77	и во всех	2	6
78	в свою очередь	3	6
79	в новое время	2	6
80	с самого начала	1	6
81	в сущности только	1	6
82	как мы сказали	6	6
83	одной стороны и	2	5
84	в применении к	1	5
85	друг с другом	2	5
86	и до наших	1	5
87	со всеми его	1	5
88	но все это	1	5
89	и в частности	1	5
90	мы имеем в	1	5
91	во всяком случае	7	5
92	средние века и	1	5
93	и его современников	1	5
94	вовсе не были	1	5
95	в первом случае	2	5
96	шире и глубже	1	5
97	же время это	1	5
98	и так сказать	1	5
99	том что в	1	4
100	в собственном смысле	2	4
101	и той же	1	4
102	и в более	1	4
103	для правильного понимания	1	4
104	в особенности на	2	4
105	точки зрения на	4	4
106	и еще не	1	4
107	в одном из	1	4
108	эпохи и в	1	4
109	в нем и	1	4
110	также и в	1	4
111	и связанные с	2	4
112	вовсе не в	1	4
113	может быть и	2	4
114	здесь перед нами	1	4
115	на мир и	1	4
116	но прежде всего	1	4
117	и др все	1	4
118	одной и той	1	4
119	в нем не	1	4
120	и не может	2	4
121	а следовательно и	2	4
122	и в них	2	4
123	конечно не в	1	4
124	влияние и на	1	4
125	во всех областях	4	4
126	же время в	1	4
127	или иной степени	12	3
128	в литературе и	1	3
129	во всем своем	1	3
130	поэтому и в	1	3
131	и др но	1	3
132	и все это	1	3
133	то есть именно	1	3
134	очень далек от	1	3
135	между тем как	1	3
136	и в отношении	1	3
137	языка и стиля	1	3
138	не только не	2	3
139	и др и	2	3
140	не входит в	1	3
141	но это не	1	3
142	со всех сторон	1	3
143	дошедшие до нас	1	3
144	то есть для	2	3
145	почти вовсе не	3	3
146	он не только	1	3
147	до конца в	1	3
148	в целом ряде	1	3
149	как один из	1	3
150	но конечно не	1	3
151	так и на	1	3
152	ни с одним	1	3
153	как бы ни	2	3
154	и не могут	2	3
155	оно ни было	1	3
156	несколько слов о	2	3
157	в меньшей степени	1	3
158	прямо сказать что	2	3
159	в эту игру	1	3
160	на том же	2	3
161	в себя момент	1	3
162	можно прямо сказать	3	3
163	как у рабле	1	3
164	в одной плоскости	1	3
165	именно потому что	1	3
166	хотя и в	1	3
167	тех или иных	1	3
168	в пределах одной	3	3
169	и не в	1	3
170	все эти формы	4	3
171	и там где	5	3
172	бы то ни	1	3
173	и в том	2	3
174	то есть на	1	3
175	в разной степени	1	3
176	и в этом	2	3
177	с одним из	1	3
178	в особенности в	1	3
179	бы оно ни	1	3
180	с таким же	1	3
181	в основе их	2	3
182	еще далеко не	1	3
183	в сущности и	1	3
184	во всех формах	1	3
185	у стерна и	1	3
186	всегда в той	3	3
187	к нему не	1	2
188	точка зрения на	3	2
189	мы все время	1	2
190	всегда включает в	1	2
191	и в другом	2	2
192	с большей или	1	2
193	в первый раз	1	2
194	его отношение к	1	2
195	с ним в	1	2
196	они не только	1	2
197	в них и	1	2
198	с полной очевидностью	1	2
199	говорит о том	1	2
200	это отношение к	1	2
201	и некоторые другие	1	2
202	конечно далеко не	1	2
203	в романе и	2	2
204	это очень важно	1	2
205	нам важна здесь	1	2
206	между этими двумя	1	2
207	и по своей	1	2
208	одна из существеннейших	1	2
209	далеко не все	1	2
210	большинстве случаев в	1	2
211	и с другой	2	2
212	то ни было	1	2
213	все дело в	1	2
214	и даже по	1	2
215	и борьба с	1	2
216	или во всяком	2	2
217	все эти явления	1	2
218	и потому не	1	2
219	в нем в	6	2
220	меньшей степени чем	1	2
221	дело не с	2	2
222	идеологии и литературы	1	2
223	и может быть	1	2
224	роль в романе	1	2
225	на них и	1	2
226	все они в	1	2
227	все эти жанры	1	2
228	еще раз подчеркнуть	1	2
229	узком смысле слова	1	2
230	смысл и значение	1	2
231	да и в	1	2
232	в основе его	1	2
233	находит свое выражение	1	2
234	нем до конца	1	2
235	у нее нет	1	2
236	никогда не могут	1	2
237	что одним из	1	2
238	и все его	1	2
239	свою связь с	1	2
240	и др эти	1	2
241	не могут быть	3	2
242	никогда не может	2	2
243	пространстве и времени	1	2
244	то есть чисто	1	2
245	и в значительной	1	2
246	той же задаче	2	2
247	в нем до	1	2
248	он еще не	1	2
249	сих пор не	2	2
250	но и на	1	2
251	в последнем счете	1	2
252	из самых основных	1	2
253	между словом и	4	2
254	связанных с ними	1	2
255	они как бы	2	2
256	может быть только	3	2
257	все более и	1	2
258	а также в	1	2
259	но по существу	2	2
260	мы можем сказать	1	2
261	так и по	1	2
262	но и эти	1	2
263	имеет дело не	2	2
264	здесь как бы	1	2
265	до некоторой степени	1	2
266	чем они были	1	2
267	в известном смысле	2	2
268	и особенно в	1	2
269	не должно быть	1	2
270	до конца ни	2	2
271	с помощью которых	1	2
272	языка но и	1	2
273	с жизнью и	1	2
274	же время он	1	2
275	же время этот	1	2
276	но в нем	1	2
277	и в нем	1	2
278	и не было	1	2
279	тем чем они	1	2
280	более и более	1	2
281	мир и на	1	2
282	одна из самых	1	2
283	мира с его	1	2
284	и с точки	1	2
285	же время и	2	2
286	мы не знаем	2	2
287	слова и образа	1	2
288	в этом случае	4	2
289	том что он	1	2
290	конечно и в	2	2
291	в романе не	2	2
292	и в сущности	4	2
293	что в романе	1	2
294	мы не можем	1	2
295	в другом случае	3	2
296	большинстве случаев не	1	2
