N	2gram	Vinokur_Ku	Russkaja
1	не может	13	22
2	и не	23	19
3	в этом	31	17
4	в том	47	17
5	и в	44	14
6	то что	14	13
7	таким образом	17	11
8	то же	12	11
9	точки зрения	25	11
10	но и	13	10
11	же время	4	10
12	в то	4	10
13	не только	29	9
14	с точки	16	9
15	том что	30	9
16	во всяком	8	9
17	может быть	25	9
18	в себе	4	9
19	прежде всего	14	8
20	русской интеллигенции	1	8
21	того чтобы	25	8
22	как на	4	8
23	не будет	1	7
24	самом деле	17	7
25	к тому	8	7
26	о том	10	7
27	самого себя	1	7
28	в данном	8	7
29	и если	4	7
30	мы должны	2	7
31	и с	11	7
32	отнюдь не	5	7
33	и к	1	6
34	если в	2	6
35	и при	3	6
36	для него	2	6
37	признать что	1	6
38	все это	10	6
39	на самом	3	6
40	в своих	2	6
41	если бы	21	6
42	и для	3	6
43	в россии	1	6
44	с тем	5	6
45	что он	7	6
46	для того	23	6
47	в своем	4	6
48	всяком случае	8	6
49	а потому	6	5
50	до сих	5	5
51	и на	8	5
52	из которых	3	5
53	только в	15	5
54	или иной	3	5
55	по существу	9	5
56	в своей	4	5
57	в последние	1	5
58	жизни в	1	5
59	себя и	1	5
60	во всех	1	5
61	сих пор	5	5
62	и только	2	5
63	вопрос о	11	5
64	хотя бы	19	5
65	потому что	40	5
66	в нем	7	5
67	между тем	11	5
68	он не	4	5
69	конечно не	3	5
70	а в	7	5
71	при этом	6	5
72	было бы	28	5
73	на то	6	5
74	лишь при	1	5
75	он должен	2	5
76	никогда не	2	5
77	что в	25	4
78	во всем	1	4
79	бы то	1	4
80	и то	7	4
81	все что	1	4
82	когда они	1	4
83	так как	16	4
84	возможно лишь	1	4
85	к этой	3	4
86	тогда когда	7	4
87	в его	16	4
88	тому чтобы	2	4
89	не могут	5	4
90	его в	1	4
91	более или	3	4
92	не в	18	4
93	при том	2	4
94	лишь к	2	4
95	в корне	1	4
96	вместе с	8	4
97	как и	3	4
98	все же	17	4
99	приводит к	3	4
100	в их	3	4
101	к вопросу	4	4
102	со стороны	8	4
103	себе и	3	4
104	ли это	4	4
105	или менее	3	4
106	том случае	3	4
107	то ни	2	4
108	можно было	14	4
109	все таки	1	4
110	что же	11	4
111	в совершенно	2	4
112	от того	5	4
113	а лишь	1	4
114	идет речь	3	4
115	как бы	11	4
116	в этой	8	4
117	себя в	1	4
118	жизни и	1	4
119	но не	11	4
120	точку зрения	2	4
121	в самом	20	3
122	что они	5	3
123	этом случае	4	3
124	что оно	6	3
125	собой и	1	3
126	и этот	1	3
127	данном случае	2	3
128	и сейчас	3	3
129	должно быть	6	3
130	несмотря на	6	3
131	вопросу о	4	3
132	что это	11	3
133	в качестве	12	3
134	для них	2	3
135	что и	5	3
136	сводится к	3	3
137	находят себе	1	3
138	в виде	1	3
139	не было	6	3
140	связи с	8	3
141	или в	5	3
142	тем что	9	3
143	именно в	7	3
144	в конце	5	3
145	и как	3	3
146	вряд ли	5	3
147	и т	62	3
148	да и	5	3
149	о которых	2	3
