N	4gram	Bakhtin_Fr	Problemy
1	в то же время	12	26
2	но в то же	3	11
3	но на самом деле	1	5
4	в той или иной	1	5
5	мы уже говорили что	3	4
6	как мы уже говорили	3	3
7	большей или меньшей степени	1	3
8	в большей или меньшей	1	3
9	в целом ряде других	1	2
10	в том и в	1	2
11	том и в другом	1	2
12	и в том и	1	2
13	дело в том что	2	2
14	в большинстве случаев в	2	2
15	с начала и до	4	2
16	и по отношению к	2	2
17	и в этом отношении	1	2
18	начала и до конца	4	2
19	и в целом ряде	1	2
20	с таким же успехом	1	1
21	и до сих пор	1	1
22	таким же успехом могла	1	1
23	на самом же деле	1	1
24	и до настоящего времени	1	1
25	и прежде всего в	1	1
26	такой же характер носит	1	1
27	до сих пор еще	3	1
28	так сказать второго порядка	1	1
29	с одной стороны и	1	1
30	проявляется и в целом	1	1
31	человека а следовательно и	1	1
32	о том что он	1	1
33	поколения к другому поколению	1	1
34	одного поколения к другому	1	1
35	в пределах того же	1	1
36	одного и того же	1	1
37	с точки зрения формальной	1	1
38	от одного поколения к	1	1
39	как мы сейчас увидим	2	1
40	заключается в том что	1	1
41	можно прямо сказать что	1	1
42	в том числе и	2	1
43	все новые и новые	2	1
44	бы оно ни было	2	1
45	и в другом случае	1	1
46	сам по себе и	1	1
47	как бы оно ни	1	1
48	мы имеем в виду	2	1
49	в неразрывной связи с	1	1
50	него в руках и	1	1
51	то же время и	1	1
52	в этом отношении не	1	1
53	у него в руках	1	1
54	в том или ином	2	1
