N	3gram	Propp_Russ	PoTuStor
1	с точки зрения	3	6
2	на самом деле	1	4
3	не может быть	1	3
4	в большинстве случаев	2	3
5	во всяком случае	1	3
6	можно сказать что	1	3
7	и пр и	1	3
8	так же как	5	2
9	по аналогии с	1	2
10	о том что	6	2
11	и в этом	2	2
12	быть не может	1	1
13	все же в	1	1
14	таким образом к	1	1
15	в том что	27	1
16	друг с другом	1	1
17	связанные с ним	1	1
18	и связанных с	1	1
19	а может быть	1	1
20	мы не можем	5	1
21	не что иное	3	1
22	и та же	1	1
23	что иное как	3	1
24	в этом и	1	1
25	вместе с тем	10	1
26	мы уже знаем	2	1
27	всей их сложности	1	1
28	но вместе с	3	1
29	подобно тому как	3	1
30	ничего общего не	2	1
31	во многих случаях	4	1
32	в применении к	1	1
33	во всей их	1	1
34	можно было бы	2	1
35	только одна из	1	1
36	а вместе с	1	1
37	и таким образом	1	1
38	в данном случае	7	1
39	как мы знаем	1	1
40	мы здесь имеем	1	1
41	же как и	3	1
42	всяком случае не	1	1
43	и того же	1	1
44	а иногда и	4	1
45	мы увидим что	1	1
46	одна и та	1	1
47	на первый взгляд	1	1
48	это приводит к	1	1
49	для того чтобы	6	1
50	по его мнению	1	1
51	это вытекает из	1	1
52	так как он	1	1
53	семьи и всех	1	1
54	с одной стороны	1	1
55	в этом отношении	1	1
56	но оно в	1	1
57	это и есть	1	1
58	этим как бы	1	1
59	и связанные с	2	1
60	одного и того	1	1
61	в связи с	4	1
