N	3gram	Bakhtin_Pr	Problema
1	тем не менее	1	56
2	о том что	5	39
3	в том что	10	37
4	то же самое	1	30
5	в данном случае	3	28
6	той или иной	3	26
7	по крайней мере	3	26
8	во всяком случае	3	25
9	с другой стороны	3	25
10	с точки зрения	21	25
11	в конце концов	7	23
12	сама по себе	3	21
13	и то что	1	20
14	в этом смысле	12	19
15	ни в каком	1	18
16	как раз и	2	18
17	для того чтобы	3	17
18	то есть в	10	17
19	в то же	10	17
20	точно так же	1	16
21	как будто бы	1	14
22	до сих пор	3	14
23	в этом случае	1	14
24	ничего общего с	1	13
25	сами по себе	4	13
26	того или иного	1	13
27	на самом деле	4	13
28	можно было бы	4	13
29	не может быть	8	12
30	в нашем смысле	1	12
31	и в частности	1	12
32	и в этом	8	12
33	можно сказать что	3	12
34	в то время	3	12
35	то время как	2	12
36	дело в том	1	11
37	тех или иных	1	11
38	бы то ни	3	11
39	в той или	2	10
40	не только не	1	10
41	даже и не	1	10
42	более или менее	1	10
43	только то что	2	10
44	не только в	2	10
45	имеет ничего общего	1	9
46	не имеет ничего	1	9
47	что же касается	1	9
48	то и другое	1	9
49	может быть и	1	9
50	может быть только	3	8
51	потому что он	2	8
52	это вовсе не	2	8
53	заключается в том	2	8
54	а может быть	2	7
55	может быть даже	2	7
56	с самого начала	3	7
57	хотя и не	1	7
58	это и есть	3	7
59	и как бы	3	6
60	по себе но	1	6
61	в самом деле	5	6
62	так и в	1	6
63	и только в	1	6
64	то что в	1	6
65	и в его	3	6
66	то есть он	2	6
67	то есть не	3	6
68	и в других	1	6
69	то ни было	2	6
70	в том смысле	1	6
71	на первый взгляд	1	6
72	в этом отношении	7	6
73	само по себе	4	6
74	по себе а	1	5
75	хотя бы и	3	5
76	вовсе еще не	1	5
77	имеем в виду	2	5
78	так же как	4	5
79	та или иная	1	5
80	в том числе	1	5
81	в зависимости от	5	5
82	тем или другим	1	5
83	а вовсе не	1	5
84	быть даже и	1	5
85	том что он	4	5
