N	2gram	Vinokur_St	Komedia
1	и в	61	77
2	и не	23	47
3	в том	56	44
4	том что	49	42
5	о том	30	33
6	т е	21	33
7	в г	10	33
8	едва ли	1	32
9	но и	28	32
10	может быть	16	30
11	из них	11	29
12	таким образом	16	29
13	в то	10	28
14	v в	1	28
15	и его	11	28
16	в этом	37	27
17	потому что	13	27
18	что он	23	26
19	к тому	9	26
20	тому же	2	25
21	не только	36	25
22	вместе с	5	25
23	так как	7	24
24	как и	11	23
25	ни в	5	23
26	что в	41	23
27	в самом	14	22
28	что и	8	22
29	если бы	11	22
30	то же	7	21
31	ясно что	10	21
32	в конце	5	21
33	так и	15	21
34	а в	18	21
35	в его	19	20
36	к этому	4	19
37	во время	5	19
38	по адресу	3	19
39	со стороны	7	19
40	молодой человек	2	18
41	в этой	13	18
42	тем что	6	17
43	же время	5	17
44	в нем	9	17
45	и здесь	2	17
46	и т	36	17
47	еще не	4	17
48	при этом	4	16
49	все же	12	16
50	не менее	8	16
51	у него	3	16
52	сих пор	12	16
53	до нас	1	16
54	он не	11	16
55	действующих лиц	1	16
56	и сам	4	16
57	до сих	13	16
58	тот же	2	16
59	не в	15	15
60	в своем	8	15
61	точки зрения	16	15
62	его в	4	15
63	в которой	13	15
64	на себя	3	15
65	между тем	7	15
66	один из	1	15
67	и на	7	15
68	было бы	21	15
69	прежде всего	11	15
70	и с	6	14
71	на протяжении	1	14
72	столь же	5	14
73	к нему	2	14
74	iii в	1	14
75	все это	13	14
76	ли не	2	14
77	об этом	9	14
78	самом деле	14	13
79	о чем	4	13
80	в них	2	13
81	в одном	7	13
82	что она	5	13
83	того же	4	13
84	как раз	10	13
85	мы можем	1	13
86	в двух	4	13
87	так что	8	13
88	то что	27	13
89	того чтобы	15	13
90	но в	16	13
91	в котором	11	12
92	для того	15	12
93	так же	7	12
94	с другой	11	12
95	несмотря на	4	12
96	хотя и	4	12
97	в качестве	7	12
98	как это	6	12
99	т п	11	12
100	из которых	1	12
101	как в	15	12
102	уже в	3	12
103	в истории	5	12
104	не по	5	12
105	в начале	5	12
106	не может	10	12
107	но не	5	12
108	и даже	8	11
109	с тем	3	11
110	по отношению	3	11
111	что его	1	11
112	то время	2	11
113	должны были	1	11
114	речь идет	6	11
115	как мы	1	11
116	на этот	5	11
117	и для	4	11
118	в их	3	11
119	в частности	6	11
120	к ней	1	11
121	с этим	6	10
122	сразу же	1	10
123	он был	5	10
124	на него	3	10
125	тут же	1	10
126	с одной	3	10
127	в чем	4	10
128	как бы	8	10
129	и что	8	10
130	в отношении	11	10
131	и все	3	10
132	более чем	3	10
133	на основании	2	10
134	одной из	4	10
135	в глазах	1	10
136	с его	3	10
137	ничего не	6	10
138	мы не	3	10
139	г и	3	10
140	на его	2	10
141	тем более	4	10
142	что касается	4	10
143	еще в	3	10
144	отношение к	3	10
145	же в	1	10
146	в целом	5	10
147	все что	1	9
148	но все	9	9
149	в своей	12	9
150	больше чем	3	9
151	одной стороны	2	9
152	говорить о	3	9
153	тому что	8	9
154	время как	2	9
155	только в	11	9
156	в тех	5	9
157	даже не	5	9
158	судя по	2	9
159	и по	6	9
160	независимо от	1	9
161	из его	3	9
162	в образе	3	9
163	однако в	1	9
164	ответ на	4	9
165	того как	8	9
166	а также	4	9
167	вовсе не	24	9
168	отличие от	1	9
169	в ней	9	9
170	отношению к	3	9
171	с этой	5	8
172	а затем	1	8
173	другой стороны	9	8
174	что ни	2	8
175	г в	10	8
176	то это	3	8
177	по поводу	13	8
178	что у	8	8
179	такого рода	2	8
180	не было	7	8
181	не знает	2	8
182	бы в	2	8
183	во всех	8	8
184	то ни	2	8
185	можно было	14	8
186	что для	4	8
187	первую очередь	2	8
188	если не	4	8
189	в которых	5	8
190	да и	4	8
191	в течение	7	8
192	тех пор	1	8
193	связи с	3	8
194	возможно что	4	8
195	меньше всего	3	8
196	по своему	2	8
197	и других	1	8
198	с самого	4	8
199	как он	3	8
200	при всем	1	8
201	идет о	3	8
202	место в	2	8
203	и к	5	7
204	дело с	2	7
205	в результате	5	7
206	в этих	5	7
207	если в	2	7
208	обращает на	2	7
209	себе в	2	7
210	во всяком	8	7
211	в первую	2	7
212	вопрос о	9	7
213	хотя бы	8	7
214	в другом	5	7
215	в руках	2	7
216	ii в	1	7
217	самого начала	3	7
218	бы то	2	7
219	что они	9	7
220	ни было	1	7
221	и это	4	7
222	в других	2	7
223	так или	3	7
224	себя внимание	1	7
225	и тот	1	7
226	и хотя	1	7
227	в себе	3	7
228	и у	2	7
229	к его	2	7
230	это время	3	7
231	не имеет	5	7
232	со временем	1	7
233	не является	5	7
234	из этих	7	7
235	целый ряд	3	7
236	и во	3	7
237	до конца	4	7
238	но если	5	7
239	всяком случае	8	7
240	и вот	1	7
241	для нас	7	7
242	должен был	5	7
243	или иначе	3	7
244	этот раз	2	7
245	само собой	1	7
246	тех же	1	7
247	и о	4	7
248	конце концов	2	7
249	отрывках из	1	6
250	говоря уже	2	6
251	по всему	1	6
252	еще более	5	6
253	даже в	5	6
254	его от	1	6
255	в виду	6	6
256	с собой	1	6
257	около г	1	6
258	в своих	2	6
259	в наиболее	1	6
260	там же	1	6
261	среди которых	1	6
262	до того	4	6
263	уже о	6	6
264	как правило	2	6
265	не мог	3	6
266	не зная	2	6
267	и он	2	6
268	после того	5	6
269	с точки	10	6
270	не хочет	2	6
271	за то	5	6
272	что не	3	6
273	о которых	3	6
274	больше всего	2	6
275	на этом	1	6
276	не дает	2	6
277	и тем	3	6
278	не приходится	5	6
279	могут быть	5	6
280	мы встречаем	1	6
281	с и	1	6
282	на ее	1	6
283	в сущности	2	6
284	в другой	1	6
285	никто не	4	6
286	в середине	2	6
287	а не	19	6
288	и гг	1	6
289	которую он	3	6
290	в отличие	1	6
291	нет и	1	6
292	в и	143	6
293	в области	16	6
294	тем не	4	6
295	на вопрос	7	6
296	том числе	3	6
297	и новой	1	6
298	так в	1	6
299	здесь в	1	6
300	или в	1	6
301	что к	1	6
302	в какой	4	6
303	и как	2	6
304	к концу	3	6
305	на то	5	6
306	это было	2	6
307	не говоря	2	6
308	во второй	10	6
309	когда он	1	6
310	а по	1	6
311	на это	2	6
312	как будто	5	6
313	больше того	1	6
314	из всех	1	5
315	в изображении	1	5
316	в первом	2	5
317	из двух	3	5
318	именно в	8	5
319	что по	1	5
320	роль в	1	5
321	в это	3	5
322	а на	4	5
323	к ним	1	5
324	сказать что	9	5
