N	2gram	Ircho_Kome	IolandNe
1	и с	5	3
2	что в	11	2
3	он не	11	2
4	должен быть	2	2
5	ничего не	6	2
6	и не	28	2
7	в этом	18	2
8	говорить о	6	1
9	все эти	1	1
10	для того	9	1
11	всего творчества	1	1
12	а в	12	1
13	и о	3	1
14	жил в	1	1
15	перед отцом	3	1
16	как отец	1	1
17	это было	1	1
18	и со	2	1
19	и та	1	1
20	что для	7	1
21	для него	1	1
22	не остается	3	1
23	вплоть до	2	1
24	тех же	3	1
25	тем что	12	1
26	чтобы доказать	1	1
27	не случайно	3	1
28	а позднее	1	1
29	только что	11	1
30	бы его	1	1
31	причина того	1	1
32	от нее	5	1
33	не слишком	5	1
34	того же	9	1
35	нам в	1	1
36	не так	4	1
37	первую очередь	2	1
38	преступления и	1	1
39	жизни и	1	1
40	с другой	5	1
41	и гоголя	1	1
42	в целом	4	1
43	более чем	6	1
44	он с	2	1
45	человеке и	1	1
46	очевидно что	1	1
47	в эту	1	1
48	стороны он	1	1
49	нее и	1	1
50	другой стороны	2	1
51	я не	4	1
52	себя в	3	1
53	к отцу	2	1
54	слишком много	1	1
55	то и	1	1
56	знать и	1	1
57	после смерти	1	1
58	и еще	4	1
59	в первую	2	1
60	что при	1	1
61	творчестве так	1	1
62	как только	2	1
63	если бы	18	1
64	отношению к	4	1
65	в руки	2	1
66	по существу	4	1
67	и сам	11	1
68	того что	1	1
69	них не	1	1
70	а с	2	1
71	стало быть	2	1
72	только для	2	1
73	по поводу	1	1
74	и тот	6	1
75	а также	3	1
76	его цель	1	1
77	так и	4	1
78	свою жену	1	1
79	в основе	3	1
80	о творчестве	1	1
81	о ней	2	1
82	эти произведения	1	1
83	от этого	1	1
84	того чтобы	9	1
85	и без	2	1
86	что последний	2	1
87	а для	2	1
88	бы в	5	1
89	с жизнью	1	1
90	и ничего	1	1
91	не дает	5	1
92	а по	5	1
93	и в	37	1
94	видит в	1	1
95	дает и	1	1
96	это был	1	1
97	никогда не	5	1
98	все это	7	1
99	по отношению	6	1
100	как смерть	1	1
101	со всеми	2	1
102	на котором	1	1
103	нисколько не	3	1
104	эпизод с	1	1
105	как о	3	1
106	в них	6	1
107	во многом	1	1
