N	4gram	Kanaev_Sov	Istorich
1	не что иное как	1	11
2	мы уже знаем что	1	9
3	совершенно так же как	1	8
4	но тем не менее	1	6
5	есть не что иное	1	5
6	то же самое что	1	4
7	один и тот же	1	3
8	с одной стороны и	1	3
9	но мы уже знаем	1	3
10	но мы знаем что	1	3
11	бы то ни было	1	3
12	одной и той же	1	2
13	дело в том что	1	2
14	мы знаем что это	1	2
15	во всяком случае не	1	1
16	друг с другом мы	1	1
17	так как он в	1	1
18	до сих пор в	1	1
19	в том случае когда	1	1
20	так же как у	1	1
21	это во всяком случае	1	1
22	одни и те же	1	1
23	одна и та же	1	1
24	но уже в ином	1	1
25	не подлежит никакому сомнению	1	1
26	это значит что она	1	1
27	какой бы то ни	1	1
28	совершенно не вытекает из	1	1
29	в то же время	1	1
30	что же это за	2	1
