N	3gram	Kanaev_Sov	Freidism
1	с точки зрения	5	15
2	не может быть	4	14
3	по отношению к	1	11
4	в самом деле	1	10
5	в том что	1	9
6	во всяком случае	2	8
7	и прежде всего	1	7
8	в то же	1	6
9	мы знаем что	1	6
10	то же время	1	6
11	может быть и	2	6
12	с самого начала	3	5
13	в свою очередь	2	4
14	с помощью которых	2	4
15	тем не менее	2	4
16	на самом деле	1	4
17	в зависимости от	4	4
18	в данном случае	1	4
19	в первый период	1	4
20	не могут быть	1	4
21	и тот же	1	3
22	мы уже знаем	1	3
23	ничего общего не	1	3
24	один и тот	1	3
25	до сих пор	1	3
26	и той же	1	3
27	бы то ни	1	3
28	на этот вопрос	1	3
29	мы видели что	3	3
30	с помощью которой	1	3
31	одной и той	1	3
32	быть и речи	1	3
33	таким образом вся	1	3
34	в конечном счете	1	3
35	мы не можем	6	3
36	теперь мы должны	1	3
37	и не может	1	3
38	это как бы	1	2
39	ни о каком	1	2
40	равно как и	1	2
41	и может быть	1	2
42	в этом смысле	1	2
43	предыдущей главе мы	1	2
44	но мы знаем	1	2
45	в предыдущей главе	1	2
46	в заключение нужно	1	2
47	но если мы	1	2
48	и ни в	1	2
49	первый период развития	1	2
50	в отличие от	2	2
51	то ни было	1	2
52	с одной стороны	1	2
53	не дает нам	1	2
54	то же самое	2	2
55	в этом случае	1	1
56	и те же	1	1
57	а может быть	1	1
58	и у нас	1	1
59	всегда и всюду	1	1
60	но тем не	1	1
61	таким образом ясно	1	1
62	той или иной	1	1
63	давая себе даже	1	1
64	вместе с ним	1	1
65	мы надеемся убедить	1	1
66	по аналогии с	1	1
67	что же это	3	1
68	с этим вопросом	1	1
69	только одна из	1	1
70	же это за	2	1
71	по крайней мере	1	1
72	он приводит к	1	1
73	его таким образом	1	1
74	себе цель энтелехия	1	1
75	и все те	1	1
76	как видит читатель	1	1
77	дословном переводе с	1	1
78	точка зрения может	1	1
79	помощью которых он	1	1
80	одни и те	1	1
81	мы должны признать	1	1
82	из этих двух	1	1
83	и не было	1	1
84	центр тяжести всего	1	1
85	в свое время	1	1
86	и пр но	1	1
87	они не могут	1	1
88	вопрос о методе	1	1
89	для своего объяснения	1	1
90	мы должны еще	1	1
91	друг на друга	1	1
92	в западной европе	1	1
93	что необходимо для	1	1
94	не было бы	1	1
95	друг с другом	2	1
96	не опирается на	1	1
97	стадии своего развития	1	1
98	в совершенно готовом	1	1
99	образом ясно что	1	1
100	остается подвести итоги	1	1
101	не что иное	1	1
102	могут быть поняты	1	1
103	через некоторое время	2	1
104	дело в том	1	1
105	в такой же	1	1
106	не может ведь	1	1
107	она не может	1	1
108	дать не может	1	1
109	как мы видим	1	1
110	представители этого направления	1	1
111	назвать в отличие	1	1
112	на другую и	1	1
113	мы не знаем	1	1
114	так же как	1	1
115	точно такие же	1	1
116	все эти три	1	1
117	и в то	1	1
118	не давая себе	1	1
119	сказать несколько слов	1	1
120	есть не что	1	1
121	в дословном переводе	1	1
122	совершенно независимо от	1	1
123	что при таком	1	1
124	уже знаем что	1	1
125	всяком случае не	1	1
126	так нет и	1	1
127	в этом периоде	1	1
128	переводе с греческого	1	1
129	и все же	1	1
130	необходимо сказать несколько	1	1
131	что иное как	1	1
132	знаем что это	1	1
133	ведь именно эти	1	1
134	но все же	1	1
135	и речи мы	1	1
136	что же остается	1	1
137	можем ли мы	1	1
138	общего не имеет	1	1
139	таким образом он	1	1
140	но никогда не	1	1
141	тем же законам	1	1
142	оно может быть	1	1
143	само собою разумеется	2	1
144	тот или иной	1	1
145	можно было бы	1	1
146	в настоящее время	2	1
147	раз и навсегда	1	1
