N	3gram	Medvedev_F	Sotsiolo
1	по отношению к	4	2
2	в том что	3	2
3	и заключается что	1	2
4	в конце концов	2	2
5	не в том	3	2
6	диалектического материализма для	1	1
7	какие в частности	1	1
8	истории литературы и	1	1
9	методов какие выработала	1	1
10	в каждом своем	1	1
11	поэтическая тематика художественный	1	1
12	звук слово образ	1	1
13	и в то	4	1
14	композиция жанр поэтическая	1	1
15	формы звук слово	1	1
16	в то же	13	1
17	опираясь на психологию	1	1
18	ценная часть нашей	1	1
19	поэтической формы звук	1	1
20	по существу это	1	1
21	друг от друга	2	1
22	все это предварительно	1	1
23	практикуются ныне так	1	1
24	ровно ничего не	1	1
25	слово образ ритм	1	1
26	науки о литературе	3	1
27	художественный стиль в	1	1
28	формальным методом по	1	1
29	лингвистику и какие	1	1
30	тематика художественный стиль	1	1
31	хотя бы о	1	1
32	психологию эстетику и	1	1
33	выходит за пределы	1	1
34	это наиболее ценная	1	1
35	с одной стороны	5	1
36	в связи с	9	1
37	истории литературы как	1	1
38	и какие в	1	1
39	том и заключается	1	1
40	на первый план	1	1
41	ритм композиция жанр	1	1
42	тех методов какие	1	1
43	так называемым формальным	2	1
44	и должно было	1	1
45	чуть ли не	1	1
46	историка литературы и	1	1
47	и лингвистику и	1	1
48	она должна стать	1	1
49	наука о литературе	1	1
50	по крайней мере	1	1
51	в этой области	1	1
52	то же время	13	1
53	в противном случае	2	1
54	только то что	1	1
55	ныне так называемым	1	1
56	научной мысли в	1	1
57	наиболее ценная часть	1	1
58	элементы поэтической формы	1	1
59	стиль в целом	1	1
60	целом все это	1	1
61	какие выработала теоретическая	1	1
62	теоретическая поэтика опираясь	1	1
63	этом не было	1	1
64	частности практикуются ныне	1	1
65	сама по себе	2	1
66	это предварительно изучается	1	1
67	с помощью тех	1	1
68	предварительно изучается имманентно	1	1
69	существу это наиболее	1	1
70	не должна быть	1	1
71	во всяком случае	6	1
72	и наконец в	2	1
73	образ ритм композиция	1	1
74	помощью тех методов	1	1
75	должно было бы	1	1
76	в целом все	1	1
77	все эти вопросы	1	1
78	и в этом	6	1
79	эстетику и лингвистику	1	1
80	в том и	1	1
81	изучается имманентно с	1	1
82	не может не	1	1
83	один из путей	1	1
84	именно в том	2	1
85	называемым формальным методом	1	1
86	методом по существу	1	1
87	в настоящее время	11	1
88	имманентно с помощью	1	1
89	выработала теоретическая поэтика	1	1
90	поэтика опираясь на	1	1
91	не выходит за	1	1
92	на психологию эстетику	1	1
93	в лучшем случае	3	1
94	часть нашей работы	1	1
95	тем более не	1	1
96	в частности практикуются	1	1
97	жанр поэтическая тематика	1	1
