N	2gram	Bakhtin_KF	Poddanst
1	не только	5	17
2	и в	28	14
3	и не	28	12
4	в области	2	11
5	в этом	15	10
6	в отношении	1	10
7	в том	6	9
8	то же	5	9
9	в качестве	2	9
10	но в	5	9
11	хотя бы	5	8
12	только в	18	7
13	же время	2	7
14	в то	3	7
15	в ней	3	6
16	было бы	8	6
17	но и	9	6
18	в смысле	6	6
19	и пр	3	5
20	может быть	45	5
21	отношении к	2	5
22	не в	13	5
23	и о	1	5
24	а я	1	5
25	и к	1	4
26	что в	4	4
27	в котором	24	4
28	по себе	2	4
29	и потому	2	4
30	мы должны	1	4
31	не может	29	4
32	а в	5	4
33	то что	7	4
34	как бы	9	4
35	если бы	8	4
36	в своем	17	4
37	же в	1	4
38	том что	4	4
39	в себе	21	3
40	что мы	1	3
41	мы не	3	3
42	это не	10	3
43	для того	3	3
44	между тем	4	3
45	с точки	10	3
46	хотя и	1	3
47	с тем	2	3
48	потому что	2	3
49	прежде всего	4	3
50	сводится к	2	3
51	тем самым	4	3
52	но не	12	3
53	могут быть	3	3
54	я и	5	3
55	и как	2	3
56	с ними	4	3
57	столь же	1	3
58	в нем	32	3
59	тот же	3	3
60	точки зрения	13	3
61	с этим	1	2
62	во всех	11	2
63	именно как	1	2
64	и это	12	2
65	и других	2	2
66	осуществляется в	1	2
67	и мы	2	2
68	как факт	1	2
69	которую мы	1	2
70	более чем	1	2
71	в значительной	1	2
72	не будем	1	2
73	еще более	2	2
74	так называемые	1	2
75	в ее	17	2
76	и тем	3	2
77	того что	3	2
78	как раз	1	2
79	в его	42	2
80	не о	2	2
81	а не	17	2
82	но о	1	2
83	для нас	4	2
84	все это	10	2
85	в которую	1	2
86	говорить о	2	2
87	и есть	10	2
88	в виде	2	2
89	только это	2	2
90	творчества и	1	2
91	знать что	2	2
92	не было	8	2
93	сомнения что	1	2
94	к чему	3	2
95	и с	1	2
96	мысль о	1	2
97	нужно помнить	1	2
98	главным образом	1	2
99	именно в	5	2
100	должно быть	6	2
101	науки они	1	2
102	в жизни	2	2
103	отношения к	1	2
104	во всей	4	2
105	помнить что	1	2
106	имеет не	1	2
107	одна из	1	2
108	между прочим	1	2
109	в мире	8	2
110	не менее	3	2
111	думать что	2	2
112	отнюдь не	7	2
113	со стороны	8	2
114	точек зрения	1	2
115	не нужно	2	2
116	в эту	1	2
117	культуры в	1	2
118	но к	1	2
119	не к	1	2
120	бы ни	1	2
121	и мир	2	1
122	были бы	2	1
123	есть попытка	1	1
124	нет ничего	1	1
125	возможность не	1	1
126	поскольку она	2	1
127	как к	2	1
128	во всяком	1	1
129	ни к	2	1
130	не есть	22	1
131	и теперь	1	1
132	находятся в	1	1
133	и то	2	1
134	время есть	1	1
135	мир с	1	1
136	но как	5	1
137	бы и	3	1
138	мы можем	1	1
139	и эти	2	1
140	мы видим	1	1
141	а с	2	1
142	в данном	2	1
143	только к	1	1
144	с его	2	1
145	области и	3	1
146	видения в	1	1
147	имеют в	1	1
148	можно говорить	1	1
