N	3gram	Nazirov_Tv	TeoriaLi
1	в том что	8	10
2	по отношению к	3	10
3	не сводится к	1	9
4	в то же	19	8
5	то же время	18	8
6	в отличие от	2	7
7	того или иного	1	6
8	в конечном счете	4	6
9	с другой стороны	2	6
10	не может быть	2	5
11	в данном случае	2	5
12	одного и того	1	4
13	и того же	1	4
14	в свою очередь	2	3
15	той или иной	1	3
16	имеем в виду	1	3
17	в том числе	1	3
18	тем не менее	2	3
19	можно сказать что	2	3
20	мы имеем в	1	3
21	по сути дела	5	3
22	в связи с	2	3
23	с одной стороны	1	3
24	войне и мире	2	2
25	в русской литературе	2	2
26	при этом что	1	2
27	и в самом	1	2
28	как и в	2	2
29	в самом деле	2	2
30	в таком случае	2	2
31	в войне и	1	2
32	в отношении к	1	2
33	но в то	5	2
34	том числе и	1	2
35	и в то	3	2
36	в соответствии с	7	2
37	а с другой	1	2
38	то ни было	1	2
39	не могут быть	2	2
40	к тому что	1	2
41	это своего рода	1	2
42	бы то ни	1	2
43	в известном смысле	2	2
44	ту или иную	1	2
45	как уже говорилось	1	2
46	что он не	1	1
47	жизни то есть	1	1
48	это имеет место	1	1
49	может быть определен	1	1
50	не что иное	1	1
51	за пределами текста	1	1
52	и потому что	1	1
53	те и другие	1	1
54	человека и его	2	1
55	и прежде всего	1	1
56	является как бы	1	1
57	по себе а	1	1
58	свое я в	1	1
59	мы видим в	1	1
60	по крайней мере	4	1
61	а на деле	1	1
62	заключается в том	1	1
63	и со всеми	1	1
64	ту же самую	1	1
65	толпы так и	1	1
66	о том что	6	1
67	в xix веке	3	1
68	то или иное	1	1
69	добро и зло	1	1
70	мы говорим о	1	1
71	заключает в себе	1	1
72	дело не в	1	1
73	в каждом человеке	2	1
74	же время они	1	1
75	в целом ряде	1	1
76	и те и	1	1
77	в литературе в	1	1
78	не менее чем	1	1
79	таком случае это	1	1
80	как один из	1	1
81	это и есть	1	1
82	перед тем как	1	1
83	я никогда не	1	1
84	но в таком	1	1
85	в центр художественного	1	1
86	в основе всех	1	1
87	в настоящее время	1	1
88	и как бы	1	1
89	в одной из	4	1
90	отношений между людьми	1	1
91	со всех сторон	1	1
92	может быть назван	2	1
93	дело в том	4	1
94	то что может	1	1
95	именно потому что	1	1
96	именно в этом	1	1
97	между собой например	1	1
98	в первую очередь	1	1
99	первой части романа	1	1
100	как это имеет	1	1
101	точно так же	3	1
102	так же как	1	1
103	это уже не	2	1
104	от всех и	1	1
105	в поле зрения	1	1
106	если он не	1	1
107	одним из древнейших	1	1
108	к тому же	1	1
109	том что в	3	1
110	самим собой как	1	1
111	имеет место в	1	1
112	в романе достоевского	5	1
113	на первый взгляд	1	1
114	то же самое	1	1
115	но только не	1	1
116	что иное как	1	1
117	к вопросу о	1	1
118	только то что	1	1
119	видим в нем	1	1
120	едва ли не	2	1
121	становится самим собой	1	1
122	таким образом и	1	1
123	является одним из	3	1
124	в первой главе	1	1
125	в виду что	1	1
126	в частности с	1	1
