N	3gram	Tiupa_Disk	Vvedenie
1	в том что	18	15
2	о том что	8	13
3	не может быть	5	10
4	в этом смысле	1	10
5	но также и	1	10
6	тем не менее	1	9
7	до сих пор	1	7
8	в самом деле	1	6
9	в то же	7	6
10	в этом случае	3	6
11	то же время	9	6
12	в том чтобы	2	5
13	с другой стороны	4	5
14	во всяком случае	2	5
15	и в том	1	4
16	по отношению к	13	4
17	по крайней мере	3	4
18	с точки зрения	3	4
19	и в особенности	2	4
20	не только в	2	4
21	в данном случае	6	4
22	в отличие от	12	4
23	но все же	1	4
24	с одной стороны	12	4
25	в этом отношении	4	4
26	одной стороны и	3	3
27	той или иной	6	3
28	большей или меньшей	2	3
29	вместе с тем	1	3
30	заключается в том	1	3
31	и именно в	1	3
32	в свое время	3	3
33	можно сказать что	3	3
34	в строгом смысле	1	3
35	именно в этом	1	3
36	дело в том	3	3
37	как мы видели	1	3
38	тех или иных	1	3
39	можно говорить о	1	3
40	и то что	2	3
41	также и в	1	3
42	то же самое	2	3
43	что представляет собой	1	3
44	в известном смысле	1	3
45	в целом ряде	1	2
46	в свою очередь	3	2
47	как будто бы	2	2
48	не в том	3	2
49	и потому что	1	2
50	дело не с	2	2
51	обратим внимание на	1	2
52	на том что	1	2
53	имеют дело с	1	2
54	значении этого термина	2	2
55	как уже было	2	2
56	лежит в основании	1	2
57	том или ином	1	2
58	до наших дней	1	2
59	хотя бы и	1	2
60	что же касается	4	2
61	может быть в	1	2
62	только в том	2	2
63	и то же	2	2
64	состоит в том	3	2
65	не говоря уже	2	2
66	сам по себе	1	2
67	это еще не	2	2
68	одно и то	2	2
69	в данном отношении	1	2
70	в соответствии с	4	2
71	в том или	1	2
72	уже было сказано	2	2
73	тем или иным	1	2
74	и того же	4	2
75	подобно тому как	4	2
76	не могут быть	1	2
77	в связи с	1	2
78	в другом месте	1	2
79	к этому времени	1	2
80	одного и того	4	2
81	обратить внимание на	2	2
82	а также и	1	2
83	данной точки зрения	1	1
84	соответствии с правилами	1	1
85	не только по	1	1
86	в той или	1	1
87	внимание на то	1	1
88	в науке о	2	1
89	поскольку мы имеем	1	1
90	все то что	1	1
91	и том же	1	1
92	прежде всего он	1	1
93	одним из наиболее	1	1
94	литературы во всем	1	1
95	во главе с	1	1
96	что в одном	1	1
97	в этом качестве	1	1
98	на самом деле	1	1
99	и даже к	1	1
100	здесь как и	1	1
101	дело не в	1	1
102	что не только	1	1
103	приходит к выводу	1	1
104	или иных отношениях	1	1
105	не может ли	1	1
106	и что это	1	1
107	в том числе	3	1
108	быть и не	1	1
109	нами не как	1	1
110	она во всяком	1	1
111	один из важнейших	1	1
112	в новейшее время	1	1
113	себя в противовес	1	1
114	более или менее	2	1
115	в качестве примера	2	1
116	того или иного	2	1
117	составляет один из	1	1
118	в частности в	2	1
119	в большей или	1	1
120	в тех или	1	1
121	в таком случае	1	1
122	особое отношение к	1	1
123	говоря уже о	2	1
124	хотя бы на	1	1
125	на этом пути	1	1
126	именно в этой	1	1
127	с данной точки	1	1
128	это как будто	1	1
129	потому что в	2	1
130	что входит в	1	1
131	не только о	1	1
132	он представляет собой	1	1
133	во всех его	1	1
134	в обоих случаях	1	1
135	значение в истории	1	1
136	в этом пункте	1	1
137	науке о литературе	2	1
138	прежде всего к	1	1
139	или меньшей степени	1	1
140	а потому и	1	1
141	только потому что	1	1
142	и прежде всего	2	1
143	том что в	3	1
144	по себе не	2	1
145	а в том	2	1
146	с самого начала	2	1
147	том что он	1	1
148	может быть названа	1	1
149	одно из двух	1	1
150	том что с	1	1
151	принципе не может	1	1
152	в котором они	1	1
153	хотя оба они	1	1
154	но в этом	1	1
155	и все прочие	1	1
156	заключает в себе	1	1
157	к одной из	1	1
158	в общих чертах	1	1
159	та или иная	1	1
160	большую или меньшую	1	1
161	только то что	2	1
162	лицом к лицу	2	1
163	в каждой области	2	1
164	один из наиболее	1	1
165	ту или иную	1	1
166	точки зрения на	1	1
167	из того что	1	1
168	одном и том	1	1
169	а не только	2	1
170	имея в виду	1	1
171	служит одновременно и	1	1
172	в значительной степени	3	1
173	это прежде всего	3	1
174	прежде всего в	2	1
175	то что в	1	1
176	в чистом виде	1	1
177	как уже говорилось	1	1
178	имеем дело с	1	1
179	том что не	1	1
180	в принципе не	1	1
181	мы имеем дело	3	1
