N	3gram	Losev_Vlad	Mirosoze
1	не может быть	4	28
2	в том что	13	9
3	но он не	1	9
4	это и есть	1	9
5	для того чтобы	3	7
6	в высшей степени	1	7
7	и в этом	1	6
8	вместе с тем	2	6
9	и в нем	1	6
10	о том что	9	6
11	о человеке и	1	6
12	и вместе с	1	5
13	что и в	2	5
14	не было бы	1	5
15	в бога и	1	5
16	после того как	2	5
17	может быть и	1	5
18	что он не	3	4
19	не способен к	1	4
20	человек не может	1	4
21	его отношение к	1	4
22	потому что в	2	4
23	в конце концов	6	4
24	мужчины и женщины	1	4
25	на то что	6	4
26	в то время	6	4
27	не что иное	2	4
28	то время как	2	4
29	что иное как	2	4
30	он никогда не	2	3
31	он уже не	2	3
32	и он был	2	3
33	потому что она	1	3
34	том что он	4	3
35	и никогда не	1	3
36	есть не что	1	3
37	не может не	1	3
38	к тому что	1	3
39	он не был	1	3
40	но это не	2	3
41	так как он	2	3
42	и той же	1	3
43	одной и той	1	3
44	и ничего не	1	3
45	него не было	1	3
46	с тем что	1	3
47	во всяком случае	8	3
48	я никогда не	1	3
49	также и в	2	3
50	у него есть	1	2
51	россии и европы	1	2
52	смысле этого слова	1	2
53	не только в	3	2
54	никогда не был	1	2
55	а не к	1	2
56	он не может	1	2
57	был для него	2	2
58	и в конце	2	2
59	на всю жизнь	1	2
60	в россии и	1	2
61	было для него	2	2
62	в чем не	1	2
63	том что в	3	2
64	из любви к	1	2
65	не было ничего	1	2
66	в них нет	1	2
67	в разных местах	1	2
68	и не может	1	2
69	и для него	1	2
70	я хотел бы	1	2
71	и во всяком	1	2
72	и только в	1	2
73	он не только	2	2
74	так и не	3	2
75	на протяжении всей	1	2
76	но сам он	1	2
77	он был также	1	2
78	и всю жизнь	1	2
79	что в нем	1	2
80	как бы его	2	2
81	в этом отношении	2	2
82	бога и в	1	2
83	уже не только	2	2
84	ни в чем	1	2
85	был не только	2	1
86	большой мастер в	1	1
87	это совершенно разные	1	1
88	он был очень	1	1
89	в этот момент	1	1
90	в самом начале	1	1
91	а может быть	1	1
92	того ни с	1	1
93	если он сам	1	1
94	у него до	1	1
95	и никак не	1	1
96	вл соловьева в	33	1
97	но и у	1	1
98	на одной и	1	1
99	и это было	1	1
100	в этот период	1	1
101	и по своим	2	1
102	в самом деле	1	1
103	вл соловьева есть	1	1
104	чем он сам	1	1
105	указывает на то	1	1
106	был и оставался	1	1
107	они не могут	1	1
108	у него в	2	1
109	то в чем	1	1
110	к которой мы	1	1
111	его жизнь в	1	1
112	всякого человека в	1	1
113	он был и	1	1
114	к которой он	1	1
115	что у него	2	1
116	что он был	1	1
117	сам по себе	1	1
118	но и его	1	1
119	не в том	3	1
120	в письме к	12	1
121	не верил в	1	1
122	не потому что	1	1
123	а также в	1	1
124	что он сам	1	1
125	а во имя	1	1
126	того что в	1	1
127	он был человек	1	1
128	в русской мысли	1	1
129	чем вл соловьев	1	1
130	своего отца и	1	1
131	это нисколько не	2	1
132	ни с того	1	1
133	к богу но	1	1
134	а это было	1	1
135	не только своей	1	1
136	и тем самым	1	1
137	даже и в	1	1
138	человек может быть	1	1
139	но даже и	3	1
140	может быть названа	1	1
141	мы хотели бы	3	1
142	без которых невозможна	1	1
143	к леонтьева и	2	1
144	в своем отношении	1	1
145	у него не	3	1
146	несмотря на все	1	1
147	не только у	1	1
148	с другой стороны	3	1
149	вл соловьева и	11	1
150	и в том	2	1
151	со своей стороны	1	1
152	ни с сего	1	1
153	в той же	1	1
154	знаю что он	1	1
155	ко всему этому	2	1
156	раз и навсегда	2	1
157	я знаю что	1	1
158	у вл соловьева	20	1
159	всю мою жизнь	1	1
160	он так и	2	1
161	к вл соловьеву	8	1
162	но тот кто	1	1
163	за то что	2	1
164	он пишет в	1	1
165	в которой все	1	1
166	а в конце	2	1
167	и как бы	1	1
168	в котором до	1	1
169	по существу своему	1	1
170	по своей основной	1	1
171	не могли быть	1	1
172	выходят за пределы	1	1
173	со всеми его	1	1
174	и действительно в	1	1
175	друг друга не	1	1
176	лицом к лицу	1	1
177	своем отношении к	1	1
178	он был в	1	1
179	них нет ничего	1	1
180	есть вера в	2	1
181	и не в	1	1
182	в этой борьбе	1	1
183	а следовательно и	1	1
184	к жизни в	1	1
185	ответ на это	2	1
186	нужно сказать что	1	1
187	в то же	7	1
188	во всех своих	1	1
189	до тех пор	2	1
190	никогда не мог	1	1
191	и вл соловьева	1	1
192	не в этом	1	1
193	и это делает	1	1
194	к леонтьев в	1	1
195	то же время	7	1
196	с богом и	1	1
197	его личности и	1	1
198	чем у нас	1	1
199	жизнь и творения	1	1
200	верят в бога	1	1
201	но и мир	1	1
202	да и то	1	1
203	он слаб и	1	1
204	уже не было	1	1
205	было бы и	1	1
206	и в свою	1	1
207	в истории христианства	1	1
208	не давала ему	1	1
209	в обычном смысле	1	1
210	с того ни	1	1
211	не без основания	1	1
212	совсем не было	2	1
213	и все же	2	1
214	было у него	1	1
215	с одной стороны	1	1
216	у нас нет	2	1
217	от нее и	1	1
218	к леонтьев который	1	1
219	до конца и	1	1
220	нет и не	1	1
221	на эту тему	2	1
